gene_symbol,GeneCards,DisGeNET,OpenTargets,disease_support_count,GeneCards_score,DisGeNET_score,OpenTargets_score
7SK,0,0,1,1,,,0.00406537840153172
A1BG,0,0,1,1,,,0.0059748743174026795
A1CF,1,0,1,2,3.7,,0.4692022597380696
A2M,0,0,1,1,,,0.016274929484950986
A2ML1,0,0,1,1,,,0.00406537840153172
A2MP1,0,0,1,1,,,0.0073915970936940375
A4GALT,0,0,1,1,,,0.010076992811518021
AAAS,0,0,1,1,,,0.0
AADAC,0,0,1,1,,,0.04740281160585484
AADACL2,0,0,1,1,,,0.007680876486373594
AADAT,0,0,1,1,,,0.012011345277252809
AAGAB,0,0,1,1,,,0.2287054586357993
AAK1,0,0,1,1,,,0.008295014516256641
AAMP,0,0,1,1,,,0.10312005130019976
AANAT,0,0,1,1,,,0.010874338534428988
AAR2,0,0,1,1,,,0.004619748183558772
AARD,0,0,1,1,,,0.019986029803339127
AARS1,0,0,1,1,,,0.0196869701693857
AARS2,0,0,1,1,,,0.032349597279449555
AASDH,0,0,1,1,,,0.004989328038243475
AASDHPPT,0,0,1,1,,,0.023717114550920092
AATF,0,0,1,1,,,0.015195958968542105
AATK,0,0,1,1,,,0.007925434661571938
ABALON,0,0,1,1,,,0.07753497900286957
ABAT,0,0,1,1,,,0.009189363228717587
ABCA1,0,0,1,1,,,0.1044503485029337
ABCA10,0,0,1,1,,,0.01346925442539523
ABCA12,0,0,1,1,,,0.015576133568173566
ABCA13,0,0,1,1,,,0.010170554811805808
ABCA2,0,0,1,1,,,0.014219995553276885
ABCA3,0,0,1,1,,,0.016731290665859436
ABCA4,1,0,1,2,7.0,,0.011685775828899653
ABCA5,0,0,1,1,,,0.048481379766574136
ABCA6,0,0,1,1,,,0.0068546624643626205
ABCA7,0,0,1,1,,,0.010063454120922936
ABCA8,0,0,1,1,,,0.041247052671310146
ABCA9,0,0,1,1,,,0.013490041012794636
ABCB1,1,0,1,2,20.9,,0.11781664284071518
ABCB10,0,0,1,1,,,0.012435402776188868
ABCB11,0,0,1,1,,,0.015204207600472976
ABCB4,0,0,1,1,,,0.03273523543841239
ABCB5,0,0,1,1,,,0.056262022152734674
ABCB6,0,0,1,1,,,0.08009313143815823
ABCB7,0,0,1,1,,,0.005962144344630205
ABCB9,0,0,1,1,,,0.008895569196967632
ABCC1,1,0,1,2,13.0,,0.07404743533783574
ABCC10,1,0,1,2,3.4,,0.08862617094173278
ABCC11,0,0,1,1,,,0.03302476503219367
ABCC12,0,0,1,1,,,0.011806023135761309
ABCC13,0,0,1,1,,,0.012011345277252809
ABCC2,1,0,1,2,13.7,,0.09539819589953333
ABCC3,1,0,1,2,7.5,,0.09671936245522131
ABCC4,1,0,1,2,4.9,,0.09975404590720839
ABCC5,1,0,1,2,4.5,,0.0228041907492671
ABCC6,0,0,1,1,,,0.013430108704215725
ABCC8,0,0,1,1,,,0.028752791451131725
ABCC9,0,0,1,1,,,0.013624193563813936
ABCD1,0,0,1,1,,,0.025139232359936398
ABCD2,0,0,1,1,,,0.0036957985468470188
ABCD3,0,0,1,1,,,0.09778539421146867
ABCD4,0,0,1,1,,,0.0018478992734235094
ABCE1,0,0,1,1,,,0.09790504912222052
ABCF1,0,0,1,1,,,0.011731696520541382
ABCF2,0,0,1,1,,,0.00811022458891429
ABCG1,1,0,1,2,5.1,,0.022671294758633557
ABCG2,1,0,1,2,16.6,,0.12540592758623906
ABCG5,1,0,1,2,3.2,,0.038821992112579196
ABCG8,0,0,1,1,,,0.03363731047412813
ABHD11,0,0,1,1,,,0.10410082259851329
ABHD12,0,0,1,1,,,0.0025870589827929123
ABHD12B,0,0,1,1,,,0.3671567616379462
ABHD13,0,0,1,1,,,0.0027687024754739693
ABHD14B,0,0,1,1,,,0.0036957985468470188
ABHD16A,0,0,1,1,,,0.0014783194187388072
ABHD16B,0,0,1,1,,,0.0073915970936940375
ABHD17A,0,0,1,1,,,0.0051741179655858255
ABHD2,0,0,1,1,,,0.005175555220576267
ABHD3,0,0,1,1,,,0.0028538956378752673
ABHD4,0,0,1,1,,,0.04176252357937131
ABHD5,0,0,1,1,,,0.1036760728868467
ABHD6,0,0,1,1,,,0.028784111015693524
ABHD8,0,0,1,1,,,0.04070832459627411
ABI1,0,0,1,1,,,0.4293301121654451
ABI2,0,0,1,1,,,0.01626151360612688
ABI3,0,0,1,1,,,0.03267117051281726
ABI3BP,0,0,1,1,,,0.033849100543668825
ABL1,1,0,1,2,4.9,,0.6896026812162237
ABL2,0,0,1,1,,,0.4042376162020426
ABLIM1,0,0,1,1,,,0.08405944730105391
ABO,0,0,1,1,,,0.030122411006300646
ABR,0,0,1,1,,,0.19086389310594243
ABRACL,0,0,1,1,,,0.010009454397710674
ABRAXAS1,1,0,1,2,4.9,,0.004866134753348573
ABRAXAS2,0,0,1,1,,,0.00406537840153172
ABT1,0,0,1,1,,,0.009578277900578523
ABTB1,0,0,1,1,,,0.030845166442441375
ABTB2,0,0,1,1,,,0.0
ACAA1,0,0,1,1,,,0.014693801557665273
ACAA2,0,0,1,1,,,0.08328686303499047
ACACA,1,0,1,2,3.2,,0.051441357304568475
ACACB,0,0,1,1,,,0.0871453446437469
ACAD10,0,0,1,1,,,0.04859991064850347
ACAD8,0,0,1,1,,,0.07668781984707562
ACAD9,0,0,1,1,,,0.013653922409184817
ACADL,0,0,1,1,,,0.009350778057911643
ACADM,0,0,1,1,,,0.04019636029971816
ACADS,0,0,1,1,,,0.09102107423897428
ACADSB,0,0,1,1,,,0.0202520831039322
ACADVL,0,0,1,1,,,0.02415219102516975
ACAN,0,0,1,1,,,0.03158336813269896
ACAP1,0,0,1,1,,,0.008726191013388791
ACAP2,1,0,1,2,15.9,,0.032146701973135246
ACAP3,0,0,1,1,,,0.0
ACAT1,0,0,1,1,,,0.10148614360993558
ACAT2,0,0,1,1,,,0.08339025981955013
ACBD3,0,0,1,1,,,0.00406537840153172
ACBD4,0,0,1,1,,,0.007617451449334687
ACD,0,0,1,1,,,0.0025870589827929123
ACE,1,0,1,2,3.6,,0.10675681425893678
ACE2,0,0,1,1,,,0.10571579729583305
ACER1,0,0,1,1,,,0.0014783194187388072
ACER2,0,0,1,1,,,0.003490476405355517
ACER3,0,0,1,1,,,0.012491388444059937
ACER3-AS1,0,0,1,1,,,0.010257108609953016
ACHE,0,0,1,1,,,0.016663073095828408
ACIN1,0,0,1,1,,,0.02228525459320454
ACKR1,0,0,1,1,,,0.06464984307429718
ACKR2,0,0,1,1,,,0.010670534429830921
ACKR3,0,0,1,1,,,0.5385663934782875
ACKR4,0,0,1,1,,,0.0818857869515306
ACKR5,0,0,1,1,,,0.007206807166351686
ACLY,1,0,1,2,7.5,,0.10379394656943296
ACMSD,0,0,1,1,,,0.03875229566296441
ACO1,0,0,1,1,,,0.018190616040573697
ACO2,0,0,1,1,,,0.04284019118876182
ACOD1,0,0,1,1,,,0.030089319844672672
ACOT1,0,0,1,1,,,0.0073915970936940375
ACOT11,0,0,1,1,,,0.015178325135911285
ACOT12,0,0,1,1,,,0.03793976747195674
ACOT13,0,0,1,1,,,0.0
ACOT2,0,0,1,1,,,0.0073915970936940375
ACOT6,0,0,1,1,,,0.0
ACOT7,0,0,1,1,,,0.019594219849423163
ACOT8,0,0,1,1,,,0.06572875054496675
