gene_symbol,gene_cards_rank,gene_cards_relevance_score,gene_cards_knowledge_score,CTD,ToxCast,Tox21,T3DB,exposure_support_count,legacy_ctd_intersection
BECN1,734,11.9,86,1,0,0,0,1,1
CRP,133,23.6,87,1,0,0,0,1,1
CXCR4,376,16.6,100,1,0,0,0,1,1
DKK1,720,12.5,86,1,0,0,0,1,1
ESR1,642,15.1,100,1,0,0,0,1,1
MMP2,153,22.1,100,1,0,0,0,1,1
MMP9,126,23.7,100,1,0,0,0,1,1
NEAT1,215,19.6,65,1,0,0,0,1,1
PPARD,503,15.8,91,1,0,0,0,1,1
PPARG,50,36.7,100,1,0,0,0,1,1
PTGS1,535,15.6,90,1,0,0,0,1,1
PTGS2,44,39.9,91,1,0,0,0,1,1
RELA,693,13.4,100,1,0,0,0,1,1
SIRT1,654,14.7,97,1,0,0,0,1,1
STAT3,70,30.7,100,1,0,0,0,1,1
TIMP1,795,10.8,82,1,0,0,0,1,1
