gene_symbol
AKR1C3
ATG5
BECN1
CA9
CCL20
CRP
CXCR4
CYP1A2
CYP2C9
CYP3A4
DKK1
DUSP1
ESR1
F3
HPGD
HSPA1A
IGFBP1
IL1A
MIR675
MMP2
MMP9
NEAT1
NR1I2
NR3C1
PGR
PPARA
PPARD
PPARG
PTGER2
PTGER4
PTGES2
PTGS1
PTGS2
RELA
RXRA
SELE
SIRT1
SQSTM1
STAT3
TIMP1
TIMP2
