compartment,cell_type,group,n_cells,mean_program_score,median_program_score,sd_cell_program_score
endothelial,capillary endothelial cell,colon adenocarcinoma,496,0.07335313504762203,0.08228017530733375,0.20247817724878905
endothelial,capillary endothelial cell,normal,1324,0.02227192495698875,0.018993532285659358,0.16466912235523418
endothelial,colon endothelial cell,colon adenocarcinoma,1975,0.15053421249321014,0.12189505064050166,0.3059521532185035
endothelial,colon endothelial cell,normal,11,0.06951732525202188,-0.054341842277768615,0.3555874378220389
endothelial,endothelial cell of artery,colon adenocarcinoma,471,0.16859497006993066,0.1837790535014109,0.21426059433711442
endothelial,endothelial cell of artery,normal,428,0.05454751616859815,0.053054963595422146,0.18983757713298463
endothelial,endothelial cell of lymphatic vessel,colon adenocarcinoma,77,0.09192650097834462,0.08618940812594685,0.20421510637012133
endothelial,endothelial cell of lymphatic vessel,normal,229,0.04215637437489576,0.040885788547822426,0.17652139419937665
endothelial,endothelial cell of venule,colon adenocarcinoma,1453,0.20745391397055046,0.14693907533514106,0.3931287261449702
endothelial,endothelial cell of venule,normal,610,0.08178348119054454,0.06894433985758203,0.26332012264528104
endothelial,endothelial tip cell,colon adenocarcinoma,440,0.10892969381870334,0.08888366483510785,0.2517304247600535
endothelial,endothelial tip cell,normal,6,0.03834122451838239,0.08640175389039254,0.167435507056914
epithelial,colon goblet cell,colon adenocarcinoma,4141,-0.06792476963736843,-0.06903993682560432,0.17281417732021073
epithelial,colonocyte,colon adenocarcinoma,4902,0.054441145270230036,0.03784277323305331,0.27086665820900924
epithelial,enterocyte,colon adenocarcinoma,1347,0.03856076707519831,0.034139987151135344,0.22391693839951332
epithelial,enterocyte,normal,15816,0.026564162365690466,0.016746018897129678,0.21401300236724208
epithelial,enteroendocrine cell,colon adenocarcinoma,413,-0.01629401039279182,-0.03903127275597932,0.23666990321864134
epithelial,enteroendocrine cell,normal,134,-0.06921499689390605,-0.1361842300211315,0.28156347526694075
epithelial,glandular secretory epithelial cell,colon adenocarcinoma,138,0.1761956809702221,0.15940722823057446,0.18473345428484864
epithelial,glandular secretory epithelial cell,normal,1139,0.16641983219855086,0.16447728563247663,0.19782032527746737
epithelial,goblet cell,colon adenocarcinoma,2395,-0.024029976856161567,-0.04255613657007691,0.19060170557059522
epithelial,goblet cell,normal,9606,-0.09355290295587446,-0.11806005225241119,0.17556003213314464
epithelial,intestinal epithelial cell,colon adenocarcinoma,383,0.023203625800316856,-0.008463705967085474,0.22504254442747515
epithelial,intestinal epithelial cell,normal,6486,0.008035974996135682,-0.0030408329380017685,0.18142899213963135
epithelial,stem cell,colon adenocarcinoma,97900,-0.05512134908894061,-0.05062946095638472,0.17305303663004273
epithelial,stem cell,normal,20650,-0.13905641488048107,-0.13867756880948046,0.13866629928105947
epithelial,tuft cell of colon,colon adenocarcinoma,1597,-0.06834360867909575,-0.06669170743895207,0.17681008823384284
epithelial,tuft cell of colon,normal,1248,-0.07695775225690389,-0.07658916909604702,0.16838505545949647
fibroblast,fibroblast,colon adenocarcinoma,2820,0.40658671001802116,0.39682226614076965,0.2757125656796804
fibroblast,fibroblast,normal,2165,0.3374970569806485,0.2945039162363242,0.2992013711986344
fibroblast,myofibroblast cell,colon adenocarcinoma,211,0.1461996156042609,0.1498432765791696,0.27196951372473316
fibroblast,myofibroblast cell,normal,35,0.09708230052973332,0.08621485559657531,0.260886681082918
myeloid,conventional dendritic cell,colon adenocarcinoma,332,-0.007516634960845539,-0.0019832981286562294,0.1725539534226548
myeloid,conventional dendritic cell,normal,71,-0.17283179887781808,-0.17920414809935953,0.1691694739792899
myeloid,dendritic cell,colon adenocarcinoma,394,-0.10308343908588619,-0.10829533282541741,0.1856954212789632
myeloid,dendritic cell,normal,120,-0.2011445562181902,-0.22819857556968712,0.221277537777922
myeloid,granulocyte,colon adenocarcinoma,2039,0.1099861714927722,0.07863494124966575,0.23462433453585602
myeloid,granulocyte,normal,4,-0.134760625611137,-0.1451632304265812,0.21476595830103812
myeloid,macrophage,colon adenocarcinoma,18976,0.1568418475966615,0.16452025445296592,0.251252969340151
myeloid,macrophage,normal,1304,-0.047159378103204336,-0.03947975304554102,0.23109251807753803
myeloid,mature conventional dendritic cell,colon adenocarcinoma,1483,-0.03891305080770099,-0.025212581102544596,0.17744049163886225
myeloid,mature conventional dendritic cell,normal,113,-0.1756212687043555,-0.2018425448925294,0.17019819426652158
myeloid,monocyte,colon adenocarcinoma,13401,0.2019370273455868,0.1711598630420304,0.2845658550228928
myeloid,monocyte,normal,841,0.03750956790962275,0.03361370009345434,0.20512845267693142
myeloid,plasmacytoid dendritic cell,colon adenocarcinoma,2542,0.07632826373446634,0.07703540302168363,0.17485703706136704
myeloid,plasmacytoid dendritic cell,normal,494,0.010598865943551791,0.021046504656300126,0.18726593390831944
