compartment,group,gene_symbol,n_cells,mean_expression,fraction_detected
endothelial,colon adenocarcinoma,AKR1C3,4912,0.31765782833099365,0.25997557003257327
endothelial,colon adenocarcinoma,ATG5,4912,0.231434628367424,0.24409609120521172
endothelial,colon adenocarcinoma,BECN1,4912,0.38689762353897095,0.3574918566775244
endothelial,colon adenocarcinoma,CA9,4912,0.0019016896840184927,0.003257328990228013
endothelial,colon adenocarcinoma,CCL20,4912,0.03917216137051582,0.039291530944625404
endothelial,colon adenocarcinoma,CRP,4912,0.0037059562746435404,0.004885993485342019
endothelial,colon adenocarcinoma,CXCR4,4912,0.2729496955871582,0.16775244299674266
endothelial,colon adenocarcinoma,CYP1A2,4912,0.0001237821561517194,0.00020358306188925082
endothelial,colon adenocarcinoma,CYP2C9,4912,0.024589357897639275,0.023412052117263844
endothelial,colon adenocarcinoma,CYP3A4,4912,0.00045442100963555276,0.00020358306188925082
endothelial,colon adenocarcinoma,DKK1,4912,0.0002623233012855053,0.00020358306188925082
endothelial,colon adenocarcinoma,DUSP1,4912,2.4106035232543945,0.8387622149837134
endothelial,colon adenocarcinoma,ESR1,4912,0.0029438710771501064,0.004275244299674267
endothelial,colon adenocarcinoma,F3,4912,0.09705369919538498,0.08122964169381107
endothelial,colon adenocarcinoma,HPGD,4912,0.007866893894970417,0.008143322475570033
endothelial,colon adenocarcinoma,HSPA1A,4912,1.2437669038772583,0.5728827361563518
endothelial,colon adenocarcinoma,IGFBP1,4912,0.018736308440566063,0.021783387622149836
endothelial,colon adenocarcinoma,IL1A,4912,0.0022846574429422617,0.0012214983713355048
endothelial,colon adenocarcinoma,MMP2,4912,1.0353739261627197,0.5401058631921825
endothelial,colon adenocarcinoma,MMP9,4912,0.04987284168601036,0.05232084690553746
endothelial,colon adenocarcinoma,NEAT1,4912,4.099271297454834,0.9267100977198697
endothelial,colon adenocarcinoma,NR1I2,4912,0.001172574469819665,0.0014250814332247557
endothelial,colon adenocarcinoma,NR3C1,4912,0.4845467805862427,0.4022801302931596
endothelial,colon adenocarcinoma,PGR,4912,0.002213305328041315,0.004275244299674267
endothelial,colon adenocarcinoma,PPARA,4912,0.09738411754369736,0.11726384364820847
endothelial,colon adenocarcinoma,PPARD,4912,0.06036319211125374,0.08122964169381107
endothelial,colon adenocarcinoma,PPARG,4912,0.12518897652626038,0.12825732899022801
endothelial,colon adenocarcinoma,PTGER2,4912,0.006591967772692442,0.008346905537459284
endothelial,colon adenocarcinoma,PTGER4,4912,0.022535957396030426,0.02809446254071661
endothelial,colon adenocarcinoma,PTGES2,4912,0.24402283132076263,0.24592833876221498
endothelial,colon adenocarcinoma,PTGS1,4912,0.08963287621736526,0.09344462540716612
