donor_id,group,compartment,subtype,program_score,sd_cell_score,n_cells
C140,colon adenocarcinoma,myeloid,dendritic,0.0036840791685049,0.14795243890656523,122
C140,colon adenocarcinoma,myeloid,granulocyte,-0.040660086201878276,0.36974890751217604,2
C140,colon adenocarcinoma,myeloid,macrophage,0.07531253682306847,0.2050150553133273,331
C140,colon adenocarcinoma,myeloid,monocyte,0.07288206162373792,0.16779605379814466,160
C140,normal,epithelial,normal_epithelial,-0.16911034352861964,0.14547509665151143,1162
C140,normal,myeloid,dendritic,-0.2341679901092215,0.16759721540484027,10
C140,normal,myeloid,macrophage,-0.20241524434320832,0.07603670456172924,3
C140,normal,myeloid,monocyte,0.049262433500323756,,1
C142,colon adenocarcinoma,epithelial,other_tumor_epithelial,0.023435732551222048,0.22357542900946675,133
C142,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.04909907671387407,0.17647152829140778,1250
C142,colon adenocarcinoma,myeloid,dendritic,-0.0751653344227265,0.18100914108864388,37
C142,colon adenocarcinoma,myeloid,granulocyte,-0.11217292875723132,,1
C142,colon adenocarcinoma,myeloid,macrophage,-0.0593887315072269,0.1854475414525753,88
C142,colon adenocarcinoma,myeloid,monocyte,0.034615895116764266,0.17063363930765496,97
C142,normal,epithelial,normal_epithelial,-0.08323490763303991,0.17486038653650224,1393
C142,normal,myeloid,dendritic,-0.20932326782091637,0.2143415566783179,4
C142,normal,myeloid,macrophage,-0.1569292463142064,0.14821089174533073,6
C142,normal,myeloid,monocyte,-0.0712810477654574,0.2663284597456613,3
C143,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.2328688679153151,0.16942753249163844,34
C143,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.07609855044137678,0.17216990788260805,1244
C143,colon adenocarcinoma,myeloid,dendritic,-0.014048486380581697,0.152327386337083,154
C143,colon adenocarcinoma,myeloid,granulocyte,-0.09684139674017467,0.11583197476303621,6
C143,colon adenocarcinoma,myeloid,macrophage,0.0749674745965791,0.22467161605198446,157
C143,colon adenocarcinoma,myeloid,monocyte,0.10495424454782004,0.20357821594419429,247
C143,normal,epithelial,normal_epithelial,-0.11870795988655247,0.16258998767281235,2104
C143,normal,myeloid,dendritic,-0.21637585527313974,0.13066620729454054,12
C143,normal,myeloid,macrophage,-0.16086817447923263,0.18789886982627266,3
C143,normal,myeloid,monocyte,-0.15236736328867456,0.09700371665590618,8
C144,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.07497380207601634,0.19703670156800562,68
C144,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.10123823089280708,0.18054181097716523,854
C144,colon adenocarcinoma,myeloid,dendritic,-0.11449579960854002,0.1723415510061191,29
C144,colon adenocarcinoma,myeloid,granulocyte,-0.009180373815045023,0.1787494897137939,45
C144,colon adenocarcinoma,myeloid,macrophage,-0.06373049493857037,0.2598114178553093,172
C144,colon adenocarcinoma,myeloid,monocyte,-0.0032218249685782947,0.17654611794179975,196
C145,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.1953332931283965,0.11085654962373946,8
C145,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.1419837938244982,0.1103314469860079,2134
C145,colon adenocarcinoma,myeloid,dendritic,-0.11522336878344927,0.1679764499485117,87
C145,colon adenocarcinoma,myeloid,granulocyte,-0.0165954959824518,0.16385808328654994,7
C145,colon adenocarcinoma,myeloid,macrophage,0.0548573381188611,0.19143612136068622,202
C145,colon adenocarcinoma,myeloid,monocyte,0.07268358417688874,0.20481934778953345,157
C146,colon adenocarcinoma,epithelial,other_tumor_epithelial,0.01083695826090015,0.21287535577704458,17
C146,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.08599289253491757,0.13760589931111303,1872
C146,colon adenocarcinoma,myeloid,dendritic,0.0012649763784038433,0.14649771044820928,102
C146,colon adenocarcinoma,myeloid,macrophage,0.10595567284062829,0.18513693297007983,225
C146,colon adenocarcinoma,myeloid,monocyte,0.054047107445052076,0.16444644469519276,244
C147,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.01597627649574178,0.1540534591677868,9
C147,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.033768966598230914,0.1561412601688504,2087
C147,colon adenocarcinoma,myeloid,dendritic,-0.05681860756254163,0.14395968947975984,19
C147,colon adenocarcinoma,myeloid,granulocyte,-0.1728112284284574,0.12299375587188992,4
C147,colon adenocarcinoma,myeloid,macrophage,0.1001323884633844,0.19277697045633302,501
C147,colon adenocarcinoma,myeloid,monocyte,0.1480044543465322,0.2319603647071854,201
C149,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.061637965293882366,0.1549306241560842,222
C149,colon adenocarcinoma,epithelial,source_tumor_labeled_epithelial,-0.12965885233774432,0.15573214832596521,1080
C149,colon adenocarcinoma,myeloid,dendritic,0.01706275081056441,0.1806379507225106,115
C149,colon adenocarcinoma,myeloid,granulocyte,0.03346411489844883,0.0767656394027434,3
C149,colon adenocarcinoma,myeloid,macrophage,0.06033335522950187,0.21381484983403373,157
C149,colon adenocarcinoma,myeloid,monocyte,0.07214681660673714,0.14589577894564545,89
C150,colon adenocarcinoma,epithelial,other_tumor_epithelial,-0.17511210104157385,0.1775840374317372,8
