gene_symbol,present_in_source,usable_for_score,source_feature_name
AKR1C3,True,True,AKR1C3
ATG5,True,True,ATG5
BECN1,True,True,BECN1
CA9,True,True,CA9
CCL20,True,True,CCL20
CRP,True,True,CRP
CXCR4,True,True,CXCR4
CYP1A2,True,True,CYP1A2
CYP2C9,True,True,CYP2C9
CYP3A4,True,True,CYP3A4
DKK1,True,True,DKK1
DUSP1,True,True,DUSP1
ESR1,True,True,ESR1
F3,True,True,F3
HPGD,True,True,HPGD
HSPA1A,True,True,HSPA1A
IGFBP1,True,True,IGFBP1
IL1A,True,True,IL1A
MIR675,False,False,
MMP2,True,True,MMP2
MMP9,True,True,MMP9
NEAT1,True,True,NEAT1
NR1I2,True,True,NR1I2
NR3C1,True,True,NR3C1
PGR,True,True,PGR
PPARA,True,True,PPARA
PPARD,True,True,PPARD
PPARG,True,True,PPARG
PTGER2,True,True,PTGER2
PTGER4,True,True,PTGER4
PTGES2,True,True,PTGES2
PTGS1,True,True,PTGS1
PTGS2,True,True,PTGS2
RELA,True,True,RELA
RXRA,True,True,RXRA
SELE,True,True,SELE
SIRT1,True,True,SIRT1
SQSTM1,True,True,SQSTM1
STAT3,True,True,STAT3
TIMP1,True,True,TIMP1
TIMP2,True,True,TIMP2
