contrast,family,target,donor_id,tumor_score,normal_score,tumor_minus_normal
epithelial tumor vs normal,compartment,epithelial,C106,-0.08358832771707045,-0.044627806633634415,-0.038960521083436034
epithelial tumor vs normal,compartment,epithelial,C107,-0.023735756947520295,-0.1315209645852278,0.1077852076377075
epithelial tumor vs normal,compartment,epithelial,C109,-0.17950285078008998,-0.06508713652954085,-0.11441571425054914
epithelial tumor vs normal,compartment,epithelial,C110,-0.0470106178762433,-0.06578320109108561,0.018772583214842313
epithelial tumor vs normal,compartment,epithelial,C111,-0.06905635846270201,-0.0015703728181723645,-0.06748598564452965
epithelial tumor vs normal,compartment,epithelial,C112,-0.1271663494617432,-0.028833835869564384,-0.09833251359217883
epithelial tumor vs normal,compartment,epithelial,C113,-0.08146051262245285,-0.12473508815525206,0.0432745755327992
epithelial tumor vs normal,compartment,epithelial,C114,-0.06807078050917853,-0.03528208735097346,-0.03278869315820507
epithelial tumor vs normal,compartment,epithelial,C115,-0.10634403805695228,-0.07714546769368376,-0.02919857036326852
epithelial tumor vs normal,compartment,epithelial,C116,-0.11121697516374363,-0.06425162852572518,-0.04696534663801845
epithelial tumor vs normal,compartment,epithelial,C119,-0.158312084918605,0.05150213959868433,-0.20981422451728932
epithelial tumor vs normal,compartment,epithelial,C122,-0.030468628086322936,-0.07293883317782279,0.04247020509149986
epithelial tumor vs normal,compartment,epithelial,C123,-0.08378230527959772,-0.11490066392620844,0.031118358646610722
epithelial tumor vs normal,compartment,epithelial,C124,-0.061396916937160984,0.005310165462285105,-0.06670708239944609
epithelial tumor vs normal,compartment,epithelial,C125,-0.060730204706109056,-0.09478219139323958,0.034051986687130525
epithelial tumor vs normal,compartment,epithelial,C126,-0.055879468067668935,-0.06172092136814923,0.005841453300480297
epithelial tumor vs normal,compartment,epithelial,C129,-0.05649186988862223,-0.15239684954485358,0.09590497965623135
epithelial tumor vs normal,compartment,epithelial,C130,-0.09238841207780077,-0.11657966089714843,0.024191248819347658
epithelial tumor vs normal,compartment,epithelial,C132,-0.08074863999401041,-0.2068952676840646,0.1261466276900542
epithelial tumor vs normal,compartment,epithelial,C133,-0.032414817840391276,-0.0013183562573512377,-0.03109646158304004
epithelial tumor vs normal,compartment,epithelial,C134,-0.08175466017608403,0.04275414667708218,-0.1245088068531662
epithelial tumor vs normal,compartment,epithelial,C135,-0.17964366732962173,-0.10848419151050871,-0.07115947581911301
epithelial tumor vs normal,compartment,epithelial,C136,-0.14942110104344705,-0.09489869340769812,-0.054522407635748935
epithelial tumor vs normal,compartment,epithelial,C137,-0.219619393003362,-0.07627613957821482,-0.1433432534251472
epithelial tumor vs normal,compartment,epithelial,C138,-0.09887493782584582,0.012295079658385664,-0.11117001748423148
epithelial tumor vs normal,compartment,epithelial,C139,-0.0002346882797276649,-0.09157311149236633,0.09133842321263866
epithelial tumor vs normal,compartment,epithelial,C140,-0.11397601433552129,-0.16911034352861964,0.05513432919309835
epithelial tumor vs normal,compartment,epithelial,C142,-0.01283167208132601,-0.08323490763303991,0.0704032355517139
epithelial tumor vs normal,compartment,epithelial,C143,-0.15448370917834595,-0.11870795988655247,-0.035775749291793474
epithelial tumor vs normal,compartment,epithelial,C151,-0.06356304011716063,-0.02749682290612026,-0.03606621721104037
epithelial tumor vs normal,compartment,epithelial,C152,-0.07630798553596754,-0.07300669270553438,-0.003301292830433164
epithelial tumor vs normal,compartment,epithelial,C155,-0.028582592442976378,-0.020497033873453203,-0.008085558569523175
epithelial tumor vs normal,compartment,epithelial,C157,0.0460297294018742,0.09541223123081176,-0.04938250182893756
epithelial tumor vs normal,compartment,epithelial,C162,-0.043000893117186675,-0.05504350556432786,0.012042612447141186
epithelial tumor vs normal,compartment,epithelial,C165,-0.01012844336537371,0.012422172760616119,-0.02255061612598983
epithelial tumor vs normal,compartment,epithelial,C170,-0.09529351657844826,-0.06431932309806195,-0.03097419348038631
myeloid tumor vs normal,compartment,myeloid,C106,-0.0145701268767977,-0.11896154751361054,0.10439142063681284
myeloid tumor vs normal,compartment,myeloid,C107,0.019701785510875452,-0.0026471306165085314,0.022348916127383985
myeloid tumor vs normal,compartment,myeloid,C109,0.01951862483406273,-0.22736699897710022,0.24688562381116294
myeloid tumor vs normal,compartment,myeloid,C110,0.13087809875697015,-0.17301087168500565,0.3038889704419758
myeloid tumor vs normal,compartment,myeloid,C111,0.11142206417809522,-0.08030288119582474,0.19172494537391996
myeloid tumor vs normal,compartment,myeloid,C112,0.057949781583144504,-0.03441000949976083,0.09235979108290533
myeloid tumor vs normal,compartment,myeloid,C113,0.025601966465791652,-0.197949942280898,0.22355190874668965
myeloid tumor vs normal,compartment,myeloid,C114,-0.007175978220865931,-0.07299656851231053,0.06582059029144459
myeloid tumor vs normal,compartment,myeloid,C115,0.09012099370313917,-0.03926636550365906,0.12938735920679822
myeloid tumor vs normal,compartment,myeloid,C116,-0.08761808322598509,0.005827060881420959,-0.09344514410740605
myeloid tumor vs normal,compartment,myeloid,C119,-0.021597891480694978,-0.09566038023448498,0.07406248875379
myeloid tumor vs normal,compartment,myeloid,C122,0.014572048236613889,-0.12558801607580278,0.14016006431241668
myeloid tumor vs normal,compartment,myeloid,C123,-0.013841130900224992,-0.1339472391729368,0.12010610827271181
myeloid tumor vs normal,compartment,myeloid,C124,0.01912178321462591,0.0863290981912092,-0.06720731497658328
myeloid tumor vs normal,compartment,myeloid,C125,-0.021193516587638378,-0.02778266048566642,0.006589143898028043
myeloid tumor vs normal,compartment,myeloid,C126,0.09716719823382924,0.004275986645905806,0.09289121158792343
myeloid tumor vs normal,compartment,myeloid,C129,0.019825779938734068,-0.09717875868694925,0.11700453862568332
myeloid tumor vs normal,compartment,myeloid,C130,0.059797807276501386,0.04296987258044912,0.016827934696052267
myeloid tumor vs normal,compartment,myeloid,C132,0.11950356668918563,-0.2805725524161732,0.4000761191053588
myeloid tumor vs normal,compartment,myeloid,C133,0.08802496293606817,0.16161985127410172,-0.07359488833803356
myeloid tumor vs normal,compartment,myeloid,C134,0.016813953646423636,0.05044279778876851,-0.03362884414234488
myeloid tumor vs normal,compartment,myeloid,C135,-0.02118743822886177,-0.03434856402135365,0.013161125792491884
myeloid tumor vs normal,compartment,myeloid,C136,0.022623332501076225,0.033165302944197964,-0.010541970443121738
myeloid tumor vs normal,compartment,myeloid,C137,0.11854966674776954,-0.028486259166108436,0.14703592591387799
myeloid tumor vs normal,compartment,myeloid,C138,0.06407856435294086,-0.08949746855380343,0.1535760329067443
myeloid tumor vs normal,compartment,myeloid,C139,-0.014843301740477086,-0.07917306770945248,0.0643297659689754
