outcome_id,outcome_name,cycle,available,male_cases,female_cases,male_controls,female_controls,eligible_n,male_eligible_n,female_eligible_n,source_component,source_variables,operational_definition,eligibility_note,source_file(s),unavailability_reason
T2D,Type 2 diabetes,1999-2000,True,274,285,1692,1969,4220,1966,2254,DIQ; HbA1c,DIQ010; DIQ050; diagnosis-age field; LBXGH,"Age >=20. Case: diagnosed diabetes excluding current-insulin cases diagnosed before 20, or DIQ010=No with HbA1c >=6.5%. Control: DIQ010=No with HbA1c <6.5%.",Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,1999-2000_DEMO.XPT;1999-2000_DIQ.XPT;1999-2000_LAB10.XPT,
T2D,Type 2 diabetes,2001-2002,True,298,291,1935,2221,4745,2233,2512,DIQ; HbA1c,DIQ010; DIQ050; diagnosis-age field; LBXGH,"Age >=20. Case: diagnosed diabetes excluding current-insulin cases diagnosed before 20, or DIQ010=No with HbA1c >=6.5%. Control: DIQ010=No with HbA1c <6.5%.",Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2001-2002_DEMO.XPT;2001-2002_DIQ.XPT;2001-2002_L10_B.XPT,
T2D,Type 2 diabetes,2003-2004,True,315,309,1860,2022,4506,2175,2331,DIQ; HbA1c,DIQ010; DIQ050; diagnosis-age field; LBXGH,"Age >=20. Case: diagnosed diabetes excluding current-insulin cases diagnosed before 20, or DIQ010=No with HbA1c >=6.5%. Control: DIQ010=No with HbA1c <6.5%.",Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_DIQ.XPT;2003-2004_L10_C.XPT,
T2D,Type 2 diabetes,2005-2006,True,294,297,1833,2041,4465,2127,2338,DIQ; HbA1c,DIQ010; DIQ050; diagnosis-age field; LBXGH,"Age >=20. Case: diagnosed diabetes excluding current-insulin cases diagnosed before 20, or DIQ010=No with HbA1c >=6.5%. Control: DIQ010=No with HbA1c <6.5%.",Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_DIQ.XPT;2005-2006_GHB_D.XPT,
T2D,Type 2 diabetes,2007-2008,True,445,466,2140,2279,5330,2585,2745,DIQ; HbA1c,DIQ010; DIQ050; diagnosis-age field; LBXGH,"Age >=20. Case: diagnosed diabetes excluding current-insulin cases diagnosed before 20, or DIQ010=No with HbA1c >=6.5%. Control: DIQ010=No with HbA1c <6.5%.",Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_DIQ.XPT;2007-2008_GHB_E.XPT,
T2D,Type 2 diabetes,2009-2010,True,446,420,2292,2506,5664,2738,2926,DIQ; HbA1c,DIQ010; DIQ050; diagnosis-age field; LBXGH,"Age >=20. Case: diagnosed diabetes excluding current-insulin cases diagnosed before 20, or DIQ010=No with HbA1c >=6.5%. Control: DIQ010=No with HbA1c <6.5%.",Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_DIQ.XPT;2009-2010_GHB_F.XPT,
T2D,Type 2 diabetes,2011-2012,True,420,414,2027,2095,4956,2447,2509,DIQ; HbA1c,DIQ010; DIQ050; diagnosis-age field; LBXGH,"Age >=20. Case: diagnosed diabetes excluding current-insulin cases diagnosed before 20, or DIQ010=No with HbA1c >=6.5%. Control: DIQ010=No with HbA1c <6.5%.",Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_DIQ.XPT;2011-2012_GHB_G.XPT,
T2D,Type 2 diabetes,2013-2014,True,404,415,2094,2341,5254,2498,2756,DIQ; HbA1c,DIQ010; DIQ050; diagnosis-age field; LBXGH,"Age >=20. Case: diagnosed diabetes excluding current-insulin cases diagnosed before 20, or DIQ010=No with HbA1c >=6.5%. Control: DIQ010=No with HbA1c <6.5%.",Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_DIQ.XPT;2013-2014_GHB_H.XPT,
T2D,Type 2 diabetes,2015-2016,True,504,457,1963,2198,5122,2467,2655,DIQ; HbA1c,DIQ010; DIQ050; diagnosis-age field; LBXGH,"Age >=20. Case: diagnosed diabetes excluding current-insulin cases diagnosed before 20, or DIQ010=No with HbA1c >=6.5%. Control: DIQ010=No with HbA1c <6.5%.",Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_DIQ.XPT;2015-2016_GHB_I.XPT,
T2D,Type 2 diabetes,2017-2018,True,530,488,1829,2072,4919,2359,2560,DIQ; HbA1c,DIQ010; DIQ050; diagnosis-age field; LBXGH,"Age >=20. Case: diagnosed diabetes excluding current-insulin cases diagnosed before 20, or DIQ010=No with HbA1c >=6.5%. Control: DIQ010=No with HbA1c <6.5%.",Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_DIQ.XPT;2017-2018_GHB_J.XPT,
any_cancer_history,Any cancer history,1999-2000,True,192,194,2074,2415,4875,2266,2609,MCQ,MCQ220,Age >=20. Case: MCQ220=Yes. Control: MCQ220=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,1999-2000_DEMO.XPT;1999-2000_MCQ.XPT,
any_cancer_history,Any cancer history,2001-2002,True,253,267,2282,2601,5403,2535,2868,MCQ,MCQ220,Age >=20. Case: MCQ220=Yes. Control: MCQ220=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2001-2002_DEMO.XPT;2001-2002_MCQ.XPT,
any_cancer_history,Any cancer history,2003-2004,True,218,260,2198,2353,5029,2416,2613,MCQ,MCQ220,Age >=20. Case: MCQ220=Yes. Control: MCQ220=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_MCQ.XPT,
any_cancer_history,Any cancer history,2005-2006,True,181,233,2204,2357,4975,2385,2590,MCQ,MCQ220,Age >=20. Case: MCQ220=Yes. Control: MCQ220=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_MCQ.XPT,
any_cancer_history,Any cancer history,2007-2008,True,283,293,2623,2725,5924,2906,3018,MCQ,MCQ220,Age >=20. Case: MCQ220=Yes. Control: MCQ220=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_MCQ.XPT,
any_cancer_history,Any cancer history,2009-2010,True,288,332,2712,2879,6211,3000,3211,MCQ,MCQ220,Age >=20. Case: MCQ220=Yes. Control: MCQ220=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_MCQ.XPT,
any_cancer_history,Any cancer history,2011-2012,True,243,245,2494,2572,5554,2737,2817,MCQ,MCQ220,Age >=20. Case: MCQ220=Yes. Control: MCQ220=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_MCQ.XPT,
any_cancer_history,Any cancer history,2013-2014,True,236,311,2522,2700,5769,2758,3011,MCQ,MCQ220,Age >=20. Case: MCQ220=Yes. Control: MCQ220=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_MCQ.XPT,
any_cancer_history,Any cancer history,2015-2016,True,269,280,2476,2689,5714,2745,2969,MCQ,MCQ220,Age >=20. Case: MCQ220=Yes. Control: MCQ220=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_MCQ.XPT,
any_cancer_history,Any cancer history,2017-2018,True,276,312,2426,2553,5567,2702,2865,MCQ,MCQ220,Age >=20. Case: MCQ220=Yes. Control: MCQ220=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_MCQ.XPT,
arthritis,Arthritis,1999-2000,True,478,761,1788,1846,4873,2266,2607,MCQ,MCQ160A,Age >=20. Case: MCQ160A=Yes. Control: MCQ160A=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,1999-2000_DEMO.XPT;1999-2000_MCQ.XPT,
arthritis,Arthritis,2001-2002,True,532,799,2001,2073,5405,2533,2872,MCQ,MCQ160A,Age >=20. Case: MCQ160A=Yes. Control: MCQ160A=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2001-2002_DEMO.XPT;2001-2002_MCQ.XPT,
arthritis,Arthritis,2003-2004,True,557,851,1855,1764,5027,2412,2615,MCQ,MCQ160A,Age >=20. Case: MCQ160A=Yes. Control: MCQ160A=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_MCQ.XPT,
arthritis,Arthritis,2005-2006,True,531,716,1852,1870,4969,2383,2586,MCQ,MCQ160A,Age >=20. Case: MCQ160A=Yes. Control: MCQ160A=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_MCQ.XPT,
arthritis,Arthritis,2007-2008,True,724,1031,2179,1991,5925,2903,3022,MCQ,MCQ160A,Age >=20. Case: MCQ160A=Yes. Control: MCQ160A=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_MCQ.XPT,
arthritis,Arthritis,2009-2010,True,691,983,2305,2222,6201,2996,3205,MCQ,MCQ160A,Age >=20. Case: MCQ160A=Yes. Control: MCQ160A=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_MCQ.XPT,
arthritis,Arthritis,2011-2012,True,539,826,2195,1990,5550,2734,2816,MCQ,MCQ160A,Age >=20. Case: MCQ160A=Yes. Control: MCQ160A=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_MCQ.XPT,
arthritis,Arthritis,2013-2014,True,568,940,2184,2064,5756,2752,3004,MCQ,MCQ160A,Age >=20. Case: MCQ160A=Yes. Control: MCQ160A=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_MCQ.XPT,
arthritis,Arthritis,2015-2016,True,587,883,2157,2081,5708,2744,2964,MCQ,MCQ160A,Age >=20. Case: MCQ160A=Yes. Control: MCQ160A=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_MCQ.XPT,
arthritis,Arthritis,2017-2018,True,725,970,1972,1885,5552,2697,2855,MCQ,MCQ160A,Age >=20. Case: MCQ160A=Yes. Control: MCQ160A=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_MCQ.XPT,
asthma,Asthma,1999-2000,True,178,336,2086,2275,4875,2264,2611,MCQ,MCQ010,Age >=20. Case: MCQ010=Yes. Control: MCQ010=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,1999-2000_DEMO.XPT;1999-2000_MCQ.XPT,
asthma,Asthma,2001-2002,True,212,328,2322,2545,5407,2534,2873,MCQ,MCQ010,Age >=20. Case: MCQ010=Yes. Control: MCQ010=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2001-2002_DEMO.XPT;2001-2002_MCQ.XPT,
asthma,Asthma,2003-2004,True,243,359,2170,2262,5034,2413,2621,MCQ,MCQ010,Age >=20. Case: MCQ010=Yes. Control: MCQ010=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_MCQ.XPT,
asthma,Asthma,2005-2006,True,282,368,2099,2223,4972,2381,2591,MCQ,MCQ010,Age >=20. Case: MCQ010=Yes. Control: MCQ010=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_MCQ.XPT,
asthma,Asthma,2007-2008,True,318,456,2588,2567,5929,2906,3023,MCQ,MCQ010,Age >=20. Case: MCQ010=Yes. Control: MCQ010=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_MCQ.XPT,
asthma,Asthma,2009-2010,True,349,498,2652,2712,6211,3001,3210,MCQ,MCQ010,Age >=20. Case: MCQ010=Yes. Control: MCQ010=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_MCQ.XPT,
asthma,Asthma,2011-2012,True,346,464,2392,2354,5556,2738,2818,MCQ,MCQ010,Age >=20. Case: MCQ010=Yes. Control: MCQ010=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_MCQ.XPT,
asthma,Asthma,2013-2014,True,350,528,2406,2480,5764,2756,3008,MCQ,MCQ010,Age >=20. Case: MCQ010=Yes. Control: MCQ010=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_MCQ.XPT,
asthma,Asthma,2015-2016,True,351,491,2393,2480,5715,2744,2971,MCQ,MCQ010,Age >=20. Case: MCQ010=Yes. Control: MCQ010=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_MCQ.XPT,
asthma,Asthma,2017-2018,True,364,472,2336,2392,5564,2700,2864,MCQ,MCQ010,Age >=20. Case: MCQ010=Yes. Control: MCQ010=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_MCQ.XPT,
