,GSE77932|HCT116,GSE77932|DLD1,GSE42387|HCT116,GSE42387|HT29,GSE42387|LoVo,GSE119603|HCT116
HEBP1,1.0924408951490159,0.3039571932739194,0.4205482179162067,0.4463940026575389,-0.49557601552679986,0.3390495088683445
KCNE4,1.1097437265448804,1.075850383558625,-0.09329249600541989,-1.126259685764691,-0.06251775826925984,1.1359833830426078
BPIFA3,1.7130864911346126,0.38201253231240695,-0.17898193183983796,-0.5228549700071738,-0.24583667121497654,0.0
LOC100129869,-0.2125366704076619,1.190991281907209,,,,0.0
IRG1,1.0963946666004798,0.829628434646793,,,,
SNAR-G2,-1.217571683502415,-0.014313659723787064,,,,0.0
LOC100506844,0.4108743501557649,0.1649009062328899,,,,0.9941832391258087
CKLF,0.017818106272863288,0.1717342943179935,1.2375050867781534,-0.20002030661328574,0.27542838196442276,0.33932169929548006
MGST2,0.8795499795113858,-0.002008015782243633,-0.1672052044497383,-0.3782475385034915,0.35104407181347264,1.3705840609324835
CLK1,-0.11827410993930809,-1.3011548678782539,0.7210319504030526,-0.3428673887277533,-0.9918009956542979,1.526871283379986
OCLM,-1.7844963229331725,0.7684411771290731,-0.7856712836713295,1.2142905535124424,-0.23308403314877219,-1.2279465141407842
CASC2,-0.6520721949012973,1.078750567864749,0.4831426163806996,-0.27153057205335307,-2.1407742671365337,-0.16529425071160495
PWRN1,1.7202383838057589,0.31352776231536283,,,,0.0
MBNL3,1.0755992437002224,-0.1830206750036062,-0.013763941683736736,-0.06350124360264298,0.13823784954914295,0.9356008390663231
CYB5R4,0.6714484964841814,0.10745676224780876,-0.2728745447254777,0.6339116296235389,-0.6641994121303965,0.4273116890134472
HOXC4,0.8996849832400065,-0.038537886595386706,-1.4739064161360558,2.0347710598678974,0.7379472023814908,-1.4905201357954474
AK3,-0.5649886623387795,-0.2613390141441607,-0.14862526097984996,0.07222134313302003,-0.19665545143824115,1.434318185434675
FAR1,-0.32647713821733826,-1.286116753286536,-0.1309082610521628,1.0519548290028027,0.8660570567034364,-0.10837596525103073
XLOC_L2_013153,0.13119004146249008,-1.4220073852396584,,,,
LOC100129203,-0.7168900654983622,1.4107949555499177,,,,0.6019088417916754
MAPK8,-0.9423292300765949,-0.4749257564519368,-0.1786968208883808,0.27103243318468295,0.11776161195312151,1.2884798692069832
THAP3,-0.7331144560916047,0.3587045511797442,0.4547504822926838,0.5767267792126048,0.4808389210422188,1.5831281668235069
XLOC_005939,0.13241132354447627,-0.7370315776676244,,,,
TMEM14B,-0.2846019939983715,1.2137634947114966,0.9743364257157562,-0.408863714399716,-0.6510540164258735,-0.8074639617002362
XLOC_005179,1.0643083026761766,1.6788196722996471,,,,
PHLPP1,-0.042108572045455483,-0.27083735872779713,-1.2067369171372775,0.6792891768034259,-1.4183676844348048,-0.6983453439693679
KRT1,1.737139013042981,0.24392389174619608,-0.10280553059735617,-0.9658432389858285,-0.24948506915819157,0.0
SDC4,1.4046582014108844,0.6460392301327833,0.3837168383377654,-0.33317649818083206,0.17481609582644153,-1.8116648993863738
XLOC_L2_015038,0.14960609082134718,1.419038376158315,,,,
DKFZP547G183,1.1702185305082844,-0.678636987113771,-0.5607145698160162,-0.5675783219141867,-0.6009007612649714,
LOC286087,0.2493346206687307,-5.38002701813145e-05,,,,
LOC389634,-0.7860343897903614,0.7025244154450643,0.006163477974076816,-0.08073383930317268,0.17077064266893716,
UBAP2L,-1.6768207537771072,0.8400627248591295,-0.7825144682248333,-0.11104384889677357,0.2520749006706312,1.3406884843719888
