window,n_samples,protein_rg_A_mean,protein_rg_A_sd,ligand_rg_A_mean,ligand_rg_A_sd,protein_sasa_complex_A2_mean,protein_sasa_complex_A2_sd,protein_sasa_isolated_A2_mean,protein_sasa_isolated_A2_sd,protein_buried_by_ligand_A2_mean,protein_buried_by_ligand_A2_sd,ligand_sasa_complex_A2_mean,ligand_sasa_complex_A2_sd,complex_sasa_A2_mean,complex_sasa_A2_sd,ligand_sasa_isolated_A2_mean,ligand_sasa_isolated_A2_sd,ligand_buried_A2_mean,ligand_buried_A2_sd,initial_pocket_sasa_complex_A2_mean,initial_pocket_sasa_complex_A2_sd
0_10ns,100,19.40223078883705,0.0820408100471505,4.022248561165098,0.17704165233243319,13674.751499953669,219.4014632764815,13994.02944572087,218.8025494801633,319.2779457672003,18.546169403848662,30.40813742765135,12.205546772253928,13705.15963738132,222.90405726727192,530.3740515030239,8.898445158144812,499.9659140753725,13.61229219784984,53.989709724250545,21.212882999570084
10_50ns,400,19.417259302598055,0.07582514036065367,4.0586725789612395,0.14956649711822467,13660.928500761967,181.57306214280723,13987.02006894725,183.54280323369156,326.09156818528226,16.288969420530922,38.180471131925344,10.039178646267517,13699.108971893895,182.82474662912642,529.6395951881781,8.35718448398807,491.45912405625285,12.800643016368285,73.52655746859824,17.13105458809197
50_80ns,300,19.362394858447345,0.07905457680873418,4.182140751428834,0.14835773848466993,13685.428642685813,216.231758452961,13991.757993017933,217.9974664243339,306.32935033211766,16.12572694448627,21.585554796814744,7.062664320354956,13707.014197482627,216.5220690629577,524.7238926793768,8.02100766990764,503.1383378825622,10.795983877955212,81.52014372989282,16.759012125121682
80_100ns,200,19.302638510432214,0.10839542391107262,4.202918225164348,0.1024533663954917,13457.625333519076,234.26232178047653,13762.945077365635,237.13465925224654,305.3197438465617,18.670523984722134,20.287075237439897,8.074764761685703,13477.912408756516,238.977844140758,522.6661479461328,6.167273380373957,502.379072708693,8.741165286896454,76.54680563471513,15.848374926979815
0_100ns,1000,19.376372959543573,0.09517215967690336,4.1209197581625245,0.1603649200822453,13629.000209809714,224.3158739300639,13944.327385529494,227.7356486839799,315.3271757197806,19.484535048166098,28.84608368206768,12.188611828253736,13657.84629349178,227.5857575697481,526.8436406186132,8.473209480879701,497.9975569365456,12.774834743926737,74.57499820577522,18.81550279021051
