concept_label,disease_id,disease_name,target_id,gene_symbol,overall_score,datasource_scores_json
left_sigmoid_strict,MONDO_0001464,sigmoid colon cancer,ENSG00000095002,MSH2,0.40707484821284234,"[{""id"": ""eva"", ""score"": 0.547137717850459}, {""id"": ""gene_burden"", ""score"": 0.486770786160718}, {""id"": ""europepmc"", ""score"": 0.03495602086266821}]"
left_sigmoid_strict,MONDO_0001464,sigmoid colon cancer,ENSG00000134982,APC,0.11216748589680699,"[{""id"": ""eva"", ""score"": 0.18237923928348632}, {""id"": ""europepmc"", ""score"": 0.04255515583281348}]"
left_sigmoid_strict,MONDO_0001464,sigmoid colon cancer,ENSG00000133703,KRAS,0.02589453022108341,"[{""id"": ""europepmc"", ""score"": 0.2129726798084198}]"
left_sigmoid_strict,MONDO_0001464,sigmoid colon cancer,ENSG00000105388,CEACAM5,0.01638162616140143,"[{""id"": ""europepmc"", ""score"": 0.1347326556390954}]"
left_sigmoid_strict,MONDO_0001464,sigmoid colon cancer,ENSG00000148773,MKI67,0.01626151360612688,"[{""id"": ""europepmc"", ""score"": 0.13374477547455663}]"
left_sigmoid_strict,MONDO_0001464,sigmoid colon cancer,ENSG00000137673,MMP7,0.01626151360612688,"[{""id"": ""europepmc"", ""score"": 0.13374477547455663}]"
left_sigmoid_strict,MONDO_0001464,sigmoid colon cancer,ENSG00000110092,CCND1,0.01626151360612688,"[{""id"": ""europepmc"", ""score"": 0.13374477547455663}]"
left_sigmoid_strict,MONDO_0001464,sigmoid colon cancer,ENSG00000112715,VEGFA,0.01404403447801867,"[{""id"": ""europepmc"", ""score"": 0.115506851546208}]"
left_sigmoid_strict,MONDO_0001464,sigmoid colon cancer,ENSG00000168036,CTNNB1,0.009609076221802246,"[{""id"": ""europepmc"", ""score"": 0.07903100368951074}]"
left_sigmoid_strict,MONDO_0001464,sigmoid colon cancer,ENSG00000039068,CDH1,0.009609076221802246,"[{""id"": ""europepmc"", ""score"": 0.07903100368951074}]"
