rank,gene,n_backgrounds,n_positive_backgrounds,n_stable_backgrounds_rho_ge_0.10,n_resampling_supported_backgrounds,median_background_vulnerability_rho,meta_empirical_p_value_fisher,meta_empirical_q_value,leave_HCT116_out_median_vulnerability_rho,prior_analytical_meta_q_value,tier1_flag,tier2_flag,tier3_flag,strict_empirical_convergence_flag,primary_tier
1057,FN1,4,3,2,0,0.12168109668109664,0.14579587330440072,0.5462114878660362,0.1929292929292929,0.7932007612869654,False,True,False,False,Tier2_discovery
1129,HSP90B1,4,2,2,2,0.12031024531024531,0.0002920160740381971,0.10198333625841559,-0.0861471861471861,0.3037620576762209,False,False,False,False,none
1883,ITGB1,4,3,2,0,0.09816017316017309,0.2860814868383414,0.7011482511974192,0.1641414141414141,0.8600122202400136,False,False,False,False,none
2237,GPX4,4,2,2,1,0.0903679653679654,0.007055805352012074,0.18333956665164614,-0.0343434343434343,0.486273370298092,False,False,False,False,none
2654,CPT2,4,2,2,0,0.08181818181818186,0.5549365584471336,0.8790427679670606,0.1732323232323232,0.967764685892012,False,False,False,False,none
3195,PSMB5,4,2,2,1,0.07240259740259744,0.010253697940254894,0.20887469334466066,0.2106782106782107,0.496679863834481,False,False,False,False,none
4608,EDEM1,4,3,1,0,0.0501082251082251,0.05585035979128584,0.3833450635023017,0.0056998556998557,0.781527496984418,False,False,False,False,none
6714,SLC22A5,4,3,1,0,0.024458874458874447,0.8736371295919569,1.0,0.0064213564213564,1.0,False,False,False,False,none
7887,DERL1,4,2,2,0,0.010606060606060605,0.022014944695664368,0.273663203956198,-0.0898268398268398,0.758864830364514,False,False,False,False,none
7931,SLC7A11,4,2,0,0,0.010101010101010097,0.5117534235457306,0.8544040820147049,-0.071067821067821,0.9867353966370948,False,False,False,False,none
10007,VCP,4,2,1,0,-0.011940836940836953,0.46891994263974823,0.8311393792553601,-0.0893939393939394,0.990488677069018,False,False,False,False,none
12279,CPT1A,4,1,0,0,-0.0402236652236652,0.5868694345794323,0.8985996664133226,-0.0602453102453102,1.0,False,False,False,False,none
13390,DHODH,4,1,1,0,-0.05533910533910524,0.3844745347367805,0.7747884445094452,-0.024098124098124,0.9831656058131936,False,False,False,False,none
14481,RRM2,4,2,1,1,-0.0728715728715729,0.0022472483118299203,0.13284343144122104,-0.2054112554112554,0.49915878641105,False,False,False,False,none
