cohort,proxy,gene,n_right,n_left,right_minus_left_mean_z,welch_p,mannwhitney_p,welch_fdr_within_cohort,mannwhitney_fdr_within_cohort
GSE200997,AA_proxy_core,SLC7A11,8,8,0.47618039174407967,0.35889203351338056,0.3706183398171955,0.5105595749846767,0.7209013209013208
GSE200997,AA_proxy_core,MBOAT2,8,8,-0.3454207733551793,0.5105595749846767,0.7209013209013208,0.5105595749846767,0.7209013209013208
GSE200997,AA_proxy_core,MBOAT1,8,8,-0.42902472675158027,0.4107146261512568,0.5053613053613053,0.5105595749846767,0.7209013209013208
GSE200997,AA_proxy_expanded,SLC7A11,8,8,0.47618039174407967,0.35889203351338056,0.3706183398171955,0.5105595749846767,0.7209013209013208
GSE200997,AA_proxy_expanded,MBOAT2,8,8,-0.3454207733551793,0.5105595749846767,0.7209013209013208,0.5105595749846767,0.7209013209013208
GSE200997,AA_proxy_expanded,MBOAT1,8,8,-0.42902472675158027,0.4107146261512568,0.5053613053613053,0.5105595749846767,0.7209013209013208
GSE132465,AA_proxy_core,SLC7A11,11,12,0.9433139947341812,0.024804137987978096,0.021001057890991107,0.07441241396393429,0.06300317367297333
GSE132465,AA_proxy_core,MBOAT2,11,12,0.6011639099579322,0.15370535906078944,0.23008418191625113,0.15370535906078944,0.23008418191625113
GSE132465,AA_proxy_core,MBOAT1,11,12,0.7442316373748631,0.08841842972511192,0.13955159003894713,0.13262764458766788,0.2093273850584207
GSE132465,AA_proxy_expanded,SLC7A11,11,12,0.9433139947341812,0.024804137987978096,0.021001057890991107,0.07441241396393429,0.06300317367297333
GSE132465,AA_proxy_expanded,MBOAT2,11,12,0.6011639099579322,0.15370535906078944,0.23008418191625113,0.15370535906078944,0.23008418191625113
GSE132465,AA_proxy_expanded,MBOAT1,11,12,0.7442316373748631,0.08841842972511192,0.13955159003894713,0.13262764458766788,0.2093273850584207
