dataset_id,donor_key,donor_id,group,compartment,n_cells,PPARA,PPARD,PPARG,NR1I2,NR1I3,NR1H2,NR1H3,RELA,STAT3,target_gene_total_counts,PPAR_nuclear_receptor_score,PPAR_nuclear_receptor_score_n_genes,RELA_STAT3_score,RELA_STAT3_score_n_genes,DINP_axis_9_gene_score,DINP_axis_9_gene_score_n_genes
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,normal,epithelial,626,302.0,273.0,514.0,117.0,2.0,227.0,113.0,95.0,379.0,2022.0,0.48028929812908616,7,-1.3912696819370844,2,0.06438730255882599,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,tumor,epithelial,154,33.0,21.0,40.0,17.0,0.0,30.0,9.0,26.0,114.0,290.0,0.0029600001280695293,7,0.5628569689686433,2,0.12738154875930816,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C118,C118,tumor,epithelial,261,59.0,61.0,70.0,30.0,0.0,60.0,5.0,61.0,240.0,586.0,-0.0716182839181709,7,0.8059018048429056,2,0.12338618025095721,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C119,C119,normal,epithelial,22,5.0,2.0,7.0,5.0,0.0,6.0,1.0,2.0,14.0,42.0,0.050484821498045056,7,-0.4528178653054214,2,-0.061360220013836377,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C119,C119,tumor,epithelial,36,6.0,1.0,11.0,3.0,0.0,4.0,3.0,1.0,9.0,38.0,0.09607871485128214,7,-1.7047034524475446,2,-0.3040951001040127,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,normal,epithelial,1497,440.0,249.0,636.0,117.0,2.0,341.0,268.0,147.0,588.0,2788.0,0.44788373582920255,7,-1.0653194613160764,2,0.11161635868580724,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,tumor,epithelial,366,112.0,75.0,203.0,39.0,0.0,125.0,52.0,70.0,305.0,981.0,0.08715629745464361,7,-0.08413418629651956,2,0.049091745509940686,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,normal,epithelial,975,295.0,208.0,343.0,89.0,0.0,243.0,135.0,102.0,404.0,1819.0,0.17455092088320842,7,-0.9093099093228789,2,-0.06630704138481097,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,tumor,epithelial,433,68.0,95.0,86.0,16.0,0.0,98.0,16.0,59.0,271.0,709.0,-0.005690729218317235,7,0.42939203358215766,2,0.09099432918178829,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,normal,epithelial,5704,1633.0,2616.0,4466.0,623.0,11.0,2719.0,247.0,1017.0,3594.0,16926.0,0.38622141232942814,7,-0.899321131312308,2,0.10054529152015343,9
