DRUG_NAME,drug_key,GDSC1_status,GDSC1_global_q,GDSC1_T,GDSC2_status,GDSC2_global_q,GDSC2_T,PRISM_status,CTRPv2_status,replication_level
(5Z)-7-Oxozeaenol,5Z7OXOZEAENOL,tested,0.048159075667859624,0.09231316336579495,drug_absent_or_insufficient,,,unavailable_local,unavailable_local,Level3_single_dataset
123138,123138,drug_absent_or_insufficient,,,tested,0.09650582703972026,-0.03159536054272897,unavailable_local,unavailable_local,Level3_single_dataset
123829,123829,drug_absent_or_insufficient,,,tested,0.09650582703972026,0.0292236568552358,unavailable_local,unavailable_local,Level3_single_dataset
150412,150412,drug_absent_or_insufficient,,,tested,0.06627245979375554,-0.12506565269723166,unavailable_local,unavailable_local,Level3_single_dataset
5-Fluorouracil,5FLUOROURACIL,tested,0.0002492038905651706,-0.1007404165298902,tested,0.08536070563665045,-0.17276093611138543,unavailable_local,unavailable_local,exploratory_same_direction_or_underpowered
5-azacytidine,5AZACYTIDINE,drug_absent_or_insufficient,,,tested,0.0006043235797284987,0.05636687107275341,unavailable_local,unavailable_local,Level3_single_dataset
50869,50869,drug_absent_or_insufficient,,,tested,0.09650582703972026,0.023987854251012145,unavailable_local,unavailable_local,Level3_single_dataset
615590,615590,drug_absent_or_insufficient,,,tested,0.08536070563665045,0.06433964328701172,unavailable_local,unavailable_local,Level3_single_dataset
630600,630600,drug_absent_or_insufficient,,,tested,0.09650582703972026,0.017712550607287436,unavailable_local,unavailable_local,Level3_single_dataset
667880,667880,drug_absent_or_insufficient,,,tested,0.061608917154622175,0.14051865630812999,unavailable_local,unavailable_local,Level3_single_dataset
720427,720427,drug_absent_or_insufficient,,,tested,0.06707991734986336,-0.11911861253966519,unavailable_local,unavailable_local,Level3_single_dataset
729189,729189,drug_absent_or_insufficient,,,tested,0.09384789708724921,-0.051646788488893744,unavailable_local,unavailable_local,Level3_single_dataset
741909,741909,drug_absent_or_insufficient,,,tested,0.08966855277593129,-0.06539008644271803,unavailable_local,unavailable_local,Level3_single_dataset
743380,743380,drug_absent_or_insufficient,,,tested,0.0787999880338893,-0.09664897691213481,unavailable_local,unavailable_local,Level3_single_dataset
765771,765771,drug_absent_or_insufficient,,,tested,0.09650582703972026,0.018683663420505522,unavailable_local,unavailable_local,Level3_single_dataset
776928,776928,drug_absent_or_insufficient,,,tested,0.09650582703972026,0.0464848451690557,unavailable_local,unavailable_local,Level3_single_dataset
965-D2,965D2,tested,0.0002492038905651706,-0.05035577449370553,drug_absent_or_insufficient,,,unavailable_local,unavailable_local,Level3_single_dataset
993-D2,993D2,tested,0.0002492038905651706,0.0035577449370552813,drug_absent_or_insufficient,,,unavailable_local,unavailable_local,Level3_single_dataset
A-366,A366,drug_absent_or_insufficient,,,tested,0.0006043235797284987,0.08787947611477023,unavailable_local,unavailable_local,Level3_single_dataset
A-83-01,A8301,tested,0.0002492038905651706,0.013950416581995528,drug_absent_or_insufficient,,,unavailable_local,unavailable_local,Level3_single_dataset
ABT737,ABT737,drug_absent_or_insufficient,,,tested,0.0006043235797284987,-0.04312105627895101,unavailable_local,unavailable_local,Level3_single_dataset
ACY-1215,ACY1215,tested,0.0002492038905651706,0.024884195936827513,drug_absent_or_insufficient,,,unavailable_local,unavailable_local,Level3_single_dataset
