gene,n_trajectories,median_vulnerability_rho,mean_vulnerability_rho,n_positive,min_p_BH,n_bootstrap_supported,directional_convergence_fraction,strict_convergent_vulnerability,exploratory_convergent_signal,convergent_vulnerability
BBOX1,6,0.015584415584415583,0.021428571428571425,3,0.8060692638000957,0,0.5,False,False,False
CAD,6,-0.10704032809295967,-0.10518341307814992,3,0.601482761970365,0,0.5,False,False,False
CPT1A,6,0.05324675324675325,0.03214855320118479,4,0.7090026605906358,0,0.6666666666666666,False,False,False
CPT2,6,0.07843472317156529,0.04524948735475052,4,0.7082341277092754,0,0.6666666666666666,False,False,False
DERL1,6,0.05840738209159262,0.04305080884028253,4,0.36429428096218947,0,0.6666666666666666,False,False,False
DHODH,6,-0.0671907040328093,-0.045682387787650956,2,0.5542649286778996,0,0.3333333333333333,False,False,False
EDEM1,6,0.010184552289815449,0.048678514467988154,3,0.3213183782062394,0,0.5,False,False,False
FN1,6,0.12129186602870813,0.07518796992481203,4,0.7743275695219828,0,0.6666666666666666,False,False,False
GPX4,6,0.10317840054682162,0.11362497151970836,4,0.10854450962981586,1,0.6666666666666666,False,False,False
HSP90B1,6,0.03930280246069721,0.05782638414217361,3,0.3436071829529875,0,0.5,False,False,False
HSPA5,6,0.06319207108680794,0.05762132604237868,3,0.47209400105777,0,0.5,False,False,False
MANF,6,-0.13704716336295286,-0.0844269765322397,2,0.8352612311717872,0,0.3333333333333333,False,False,False
NFE2L2,6,-0.022863978127136024,-0.01201868307131465,3,0.4465695534228191,0,0.5,False,False,False
PSMA1,6,0.06975393028024608,0.05299612668033721,3,0.4294792546229106,0,0.5,False,False,False
PSMB5,6,0.05837320574162679,0.034358623832308026,3,0.355538343566837,0,0.5,False,False,False
RRM2,6,-0.009876965140123034,0.0016974253816359145,2,0.20276809752956057,0,0.3333333333333333,False,False,False
SERPINE1,6,-0.012235133287764868,-0.030451127819548868,2,0.9585447262437224,0,0.3333333333333333,False,False,False
SLC22A5,6,0.024333561175666443,0.020141262246525415,3,0.7217762998704016,0,0.5,False,False,False
SLC25A20,6,0.0362611073137389,0.07064251537935749,4,0.49173730477936106,0,0.6666666666666666,False,False,False
SLC7A11,6,0.04781271360218729,0.06810207336523126,4,0.6912383148186266,0,0.6666666666666666,False,False,False
TGFBR1,6,-0.040157211209842794,-0.023171565276828437,2,0.9068000945078452,0,0.3333333333333333,False,False,False
TGFBR2,6,0.06927546138072455,0.05678970152654363,5,0.8705361938886272,0,0.8333333333333334,False,False,False
UMPS,6,-0.11151742993848258,-0.11606288448393713,2,0.6296236158756263,0,0.3333333333333333,False,False,False
VCP,6,-0.004237867395762132,0.015983139667350193,3,0.6549251885657642,0,0.5,False,False,False
