rank,gene,n_backgrounds,n_positive_backgrounds,n_stable_backgrounds_rho_ge_0.10,n_resampling_supported_backgrounds,median_background_vulnerability_rho,meta_empirical_p_value_fisher,meta_empirical_q_value,leave_HCT116_out_median_vulnerability_rho,prior_analytical_meta_q_value,tier1_flag,tier2_flag,tier3_flag,strict_empirical_convergence_flag,primary_tier
1,C16ORF86,4,3,3,1,0.3196969696969697,4.883849936470761e-05,0.08524552111969391,0.2994949494949495,0.2318632186178979,False,True,False,False,Tier2_discovery
2,HS3ST3B1,4,3,3,1,0.28398268398268395,0.00023760796732177214,0.09959553957535099,0.3213564213564213,0.2694606985777902,False,True,False,False,Tier2_discovery
3,TJP1,4,3,3,1,0.2758658008658008,1.146215704984288e-05,0.05881762068576367,0.2865079365079365,0.0643739878522325,False,True,False,False,Tier2_discovery
4,FOXF1,4,3,3,1,0.2697691197691197,0.0005263752309402779,0.10594610806643626,0.221067821067821,0.3701570606117131,False,True,False,False,Tier2_discovery
5,CFAP90,4,3,3,0,0.26424963924963923,0.0006776321731726497,0.11044417937639385,0.2994949494949495,0.3285702092176518,False,True,False,False,Tier2_discovery
6,ZFP36L1,4,3,3,2,0.2633838383838384,0.0004181024697436179,0.10594610806643626,0.3430735930735931,0.2331740694536369,False,True,True,False,Tier2_discovery
7,ADAMTS9,4,3,3,2,0.2630952380952381,2.232409829205366e-05,0.05881762068576367,0.1292929292929293,0.1593936942840152,False,True,True,True,Tier2_discovery
8,DIAPH3,4,3,3,1,0.2576118326118325,0.00045505817076586325,0.10594610806643626,0.2565656565656565,0.2694606985777902,False,True,False,False,Tier2_discovery
9,SPRY1,4,4,3,0,0.2533189033189033,0.012870921147767118,0.230033163721403,0.2664502164502164,0.5091253731598537,False,True,False,False,Tier2_discovery
10,SOD2,4,3,3,0,0.2523809523809524,0.00012865493245580687,0.09959553957535099,0.2767676767676768,0.2318632186178979,False,True,False,False,Tier2_discovery
11,ATP6V0E2,4,3,3,1,0.25097402597402596,0.000795839021651281,0.11504497946525892,0.2277777777777777,0.3672393014376026,False,True,False,False,Tier2_discovery
12,MOB4,4,3,2,2,0.25086580086580085,7.170737238588302e-05,0.09446421920806003,0.0892496392496392,0.0643739878522325,False,True,True,True,Tier2_discovery
13,SLC25A14,4,3,3,1,0.24884559884559887,0.0005744515971720233,0.10594610806643626,0.2085137085137085,0.3341783134680429,False,True,False,False,Tier2_discovery
14,PPP6R2,4,3,3,1,0.2486291486291486,4.1000388697758544e-05,0.08524552111969391,0.2812409812409812,0.2318632186178979,False,True,False,False,Tier2_discovery
15,MXD4,4,4,3,0,0.24650072150072144,0.002810193866407659,0.14238346678584243,0.2091630591630591,0.482538359518903,False,True,False,False,Tier2_discovery
16,SLC52A3,4,4,3,0,0.2438311688311688,0.004095090950259167,0.15733982523170767,0.2617604617604617,0.5293120211396741,False,True,False,False,Tier2_discovery
17,AFDN,4,4,3,2,0.24227994227994223,0.0034509125622661303,0.15045304827084166,0.3522366522366522,0.3608751795884778,False,True,True,False,Tier2_discovery
18,IFNA10,4,3,3,2,0.24141414141414141,0.00046092204042949667,0.10594610806643626,0.1605339105339105,0.3285702092176518,False,True,True,False,Tier2_discovery
19,JDP2,4,3,3,1,0.2406204906204906,0.00020076392903088522,0.09959553957535099,0.1899711399711399,0.2331740694536369,False,True,False,False,Tier2_discovery
20,KDM5B,4,3,3,1,0.23989898989898983,0.0005743218349336121,0.10594610806643626,0.304040404040404,0.2378260739410022,False,True,False,False,Tier2_discovery
21,MAPK15,4,3,3,2,0.23845598845598845,0.0001425580926179962,0.09959553957535099,0.1707070707070707,0.2331740694536369,False,True,True,True,Tier2_discovery
22,ZNF500,4,3,3,0,0.23751803751803752,0.000321624247879673,0.10594610806643626,0.2297979797979798,0.34050064766964,False,True,False,False,Tier2_discovery
23,SKA1,4,3,3,0,0.23740981240981235,0.002158714807845244,0.13257261612225704,0.20007215007215,0.4649748129474142,False,True,False,False,Tier2_discovery
24,TNNT1,4,3,3,0,0.2372294372294372,0.0008904943183764166,0.11504497946525892,0.2142135642135642,0.4074461785997215,False,True,False,False,Tier2_discovery
25,GSDMC,4,3,3,0,0.23629148629148625,0.0016561478495313408,0.124576723502625,0.253030303030303,0.496679863834481,False,True,False,False,Tier2_discovery
26,CCSER1,4,3,3,0,0.23618326118326116,0.0019449710205312286,0.12949855787601966,0.2262626262626262,0.4845246247526812,False,True,False,False,Tier2_discovery
27,STK10,4,3,3,2,0.23607503607503605,8.894642859912746e-05,0.09959553957535099,0.1312409812409812,0.0333063057485155,False,True,True,True,Tier2_discovery
28,LRRC3,4,3,2,2,0.23607503607503605,0.00042188668634696457,0.10594610806643626,0.0984126984126984,0.2331740694536369,False,True,True,False,Tier2_discovery
29,TRIM60,4,3,3,2,0.23524531024531026,0.0009078401889278254,0.11504497946525892,0.1295093795093795,0.383654781657845,False,True,True,False,Tier2_discovery
30,PSEN1,4,3,3,0,0.23502886002886,0.0052939033624284275,0.16718400635833475,0.2358585858585858,0.51368752205928,False,True,False,False,Tier2_discovery
31,PLXDC2,4,3,3,0,0.233008658008658,5.322455735342066e-05,0.08524552111969391,0.2494949494949495,0.2318632186178979,False,True,False,False,Tier2_discovery
32,BFAR,4,3,3,1,0.23199855699855695,0.0036450508065417886,0.15248518829507646,0.3031746031746031,0.4038461209729796,False,True,False,False,Tier2_discovery
33,B4GALT5,4,3,3,0,0.23023088023088017,0.03874801597151063,0.33384579315798046,0.2351370851370851,0.5893082724538388,False,True,False,False,Tier2_discovery
34,TRMU,4,3,3,2,0.230050505050505,6.191807563529363e-05,0.08784269761090156,0.1155844155844155,0.2318632186178979,False,True,True,True,Tier2_discovery
35,LPIN2,4,3,3,0,0.22929292929292924,0.00042807998830292555,0.10594610806643626,0.2216450216450216,0.2694606985777902,False,True,False,False,Tier2_discovery
36,UNC50,4,4,3,1,0.2263347763347763,0.013864264697110969,0.23619654178272775,0.2278499278499278,0.496679863834481,False,True,False,False,Tier2_discovery
37,TAS2R60,4,3,3,0,0.22518037518037515,0.006996191521063652,0.18276311646314014,0.1768398268398268,0.5591284994988994,False,True,False,False,Tier2_discovery
38,UCK1,4,3,3,1,0.22467532467532464,0.0002573078248744186,0.10149950196975359,0.1899711399711399,0.2904377911145447,False,True,False,False,Tier2_discovery
39,SPACA9,4,3,3,0,0.22330447330447326,0.009504391591744953,0.20194642180478362,0.2086580086580086,0.6101418087214281,False,True,False,False,Tier2_discovery
40,MALT1,4,3,3,2,0.22326839826839823,0.00014708765974817735,0.09959553957535099,0.1808802308802309,0.1593936942840152,False,True,True,True,Tier2_discovery
41,GRK4,4,4,3,1,0.22204184704184698,0.001903685762410062,0.1281136850536555,0.174098124098124,0.4481268443987662,False,True,False,False,Tier2_discovery
42,PLEKHB1,4,3,3,0,0.22193362193362193,0.0037784833513465218,0.153333786554953,0.2274891774891775,0.5009572593571773,False,True,False,False,Tier2_discovery
43,PRR22,4,3,3,0,0.2213203463203463,0.0018474918156282769,0.1281136850536555,0.1484848484848485,0.4984557792997737,False,True,False,False,Tier2_discovery
44,CHD2,4,3,3,1,0.21919191919191916,0.0014381967796692652,0.1222420135053668,0.1812409812409812,0.406952270422526,False,True,False,False,Tier2_discovery
45,ALDH16A1,4,4,3,1,0.2186507936507936,0.002517737377262183,0.13964504005055833,0.176046176046176,0.3715438152508876,False,True,False,False,Tier2_discovery
46,RANBP10,4,3,3,0,0.2178571428571428,0.007412668929440572,0.1877910069583413,0.2397546897546897,0.51368752205928,False,True,False,False,Tier2_discovery
47,PKN1,4,3,3,1,0.21572871572871566,0.016528661560817993,0.25078170050003623,0.2277777777777777,0.63543933033509,False,True,False,False,Tier2_discovery
48,SHC2,4,3,2,2,0.21479076479076475,0.00037661247756572234,0.10594610806643626,0.0767676767676767,0.2694606985777902,False,True,True,False,Tier2_discovery
49,SLC27A4,4,3,3,0,0.21471861471861464,0.0007235557543379982,0.11217971775964747,0.1614718614718614,0.383654781657845,False,True,False,False,Tier2_discovery
50,GALM,4,3,3,0,0.2146464646464646,0.0023918639383959414,0.13911115365841886,0.268037518037518,0.383654781657845,False,True,False,False,Tier2_discovery
51,ITSN1,4,3,3,0,0.21446608946608942,0.005334679113414353,0.1672906059029917,0.2757575757575757,0.496679863834481,False,True,False,False,Tier2_discovery
52,TNFRSF1A,4,3,3,1,0.21388888888888885,0.0006081300412627603,0.11044417937639385,0.1618326118326118,0.2694606985777902,False,True,False,False,Tier2_discovery
53,CDC42,4,4,2,2,0.21388888888888885,0.006920295128668312,0.18190942313209965,0.3911255411255411,0.2331740694536369,False,True,True,False,Tier2_discovery
54,ZYG11B,4,3,3,1,0.2138528138528138,0.005488984012672011,0.16912261048604665,0.2382395382395382,0.4223505758819073,False,True,False,False,Tier2_discovery
55,SLCO1C1,4,4,4,2,0.21338383838383834,0.0010480070798688484,0.11890562251492398,0.1382395382395382,0.2875067374692208,False,True,True,False,Tier2_discovery
56,IRF2BP1,4,3,3,0,0.21327561327561326,0.004818804212563519,0.16318974586473184,0.1873015873015873,0.5347756678850399,False,True,False,False,Tier2_discovery
57,RAB9B,4,3,3,0,0.21305916305916306,0.008147884873352024,0.19214844300813083,0.1945887445887446,0.6295081340510525,False,True,False,False,Tier2_discovery
58,MRGPRX3,4,3,3,1,0.2123376623376623,0.0037287557545885343,0.1532850792531013,0.1831168831168831,0.5269205919903682,False,True,False,False,Tier2_discovery
59,RAB28,4,3,3,1,0.2114357864357864,0.00941904995480071,0.20182743470554299,0.3027417027417027,0.496679863834481,False,True,False,False,Tier2_discovery
60,SEMA3D,4,3,3,0,0.2108225108225108,0.0041189137362984355,0.15733982523170767,0.2148629148629148,0.5054858403086586,False,True,False,False,Tier2_discovery
61,GPI,4,3,3,0,0.20966810966810967,0.03374979197865337,0.3174132654065804,0.2641414141414141,0.569602996983095,False,True,False,False,Tier2_discovery
62,CSAD,4,3,3,0,0.2094155844155844,0.011207663567149027,0.2155819847301459,0.1919191919191919,0.63543933033509,False,True,False,False,Tier2_discovery
63,TBR1,4,3,3,0,0.20930735930735925,0.004918057156760431,0.1637901769932385,0.1991341991341991,0.5646448830801327,False,True,False,False,Tier2_discovery
64,PDK2,4,3,3,0,0.20815295815295815,0.02534127508613359,0.28810094794693797,0.1906926406926407,0.6994450506718236,False,True,False,False,Tier2_discovery
65,ZNF10,4,3,3,1,0.20761183261183258,0.004698141857479256,0.1615953139756873,0.2691197691197691,0.51368752205928,False,True,False,False,Tier2_discovery
66,SLC22A9,4,3,3,0,0.20703463203463202,0.02890366392299042,0.29763834379213416,0.2514430014430014,0.6442862054610886,False,True,False,False,Tier2_discovery
67,REEP3,4,3,3,0,0.2065295815295815,0.00017930923516208496,0.09959553957535099,0.1334054834054834,0.2331740694536369,False,True,False,False,Tier2_discovery
68,NAT8,4,3,3,1,0.20631313131313128,0.0026167903509576617,0.14142851504223306,0.1468975468975469,0.496679863834481,False,True,False,False,Tier2_discovery
69,POLR1F,4,3,3,1,0.20620490620490617,0.0056756849878234145,0.17171831582707867,0.2745310245310245,0.3495812119398188,False,True,False,False,Tier2_discovery
70,DEDD,4,3,3,0,0.206060606060606,0.017709464299658743,0.254092048999418,0.2747474747474747,0.5683605070563273,False,True,False,False,Tier2_discovery
71,UNKL,4,3,3,1,0.20559163059163055,0.000636574289348788,0.11044417937639385,0.1362193362193362,0.4342628683008377,False,True,False,False,Tier2_discovery
72,RBMS2,4,3,3,0,0.2055555555555555,0.0073176287937390515,0.18615038323162664,0.1913419913419913,0.5591284994988994,False,True,False,False,Tier2_discovery
73,SLC43A2,4,3,3,0,0.20544733044733038,0.001801901686206811,0.1281136850536555,0.2134199134199134,0.3977744506556703,False,True,False,False,Tier2_discovery
74,IL2,4,3,3,0,0.20541125541125535,0.007184381290226623,0.18505802253582349,0.2039682539682539,0.5293120211396741,False,True,False,False,Tier2_discovery
75,KLK15,4,3,3,0,0.20443722943722942,0.01763847536092718,0.2539869096351363,0.2357142857142857,0.6008977572288304,False,True,False,False,Tier2_discovery
76,ZFP28,4,4,3,0,0.2042207792207792,0.03531096205761097,0.3228755940647095,0.2128427128427128,0.7170757862584356,False,True,False,False,Tier2_discovery
77,PARD6B,4,3,3,1,0.20371572871572868,0.0031746421609825915,0.14785334690657054,0.2787878787878788,0.2331740694536369,False,True,False,False,Tier2_discovery
78,RMND1,4,4,4,0,0.20310245310245312,0.008473465968667437,0.19625105310480606,0.2676046176046176,0.5169389072386679,False,True,False,False,Tier2_discovery
79,TMED6,4,3,3,1,0.20288600288600284,0.004105941627864784,0.15733982523170767,0.2943001443001443,0.383654781657845,False,True,False,False,Tier2_discovery
80,RRP8,4,4,3,1,0.20266955266955267,0.007845658604609857,0.19066565015888598,0.1937950937950938,0.5263785353366573,False,True,False,False,Tier2_discovery
81,FBXO31,4,3,3,0,0.2026334776334776,0.002040040237029673,0.13112622377603916,0.1702020202020202,0.496679863834481,False,True,False,False,Tier2_discovery
82,TEX36,4,3,3,0,0.20227272727272727,0.0034686127156491006,0.15045304827084166,0.1466089466089466,0.5591284994988994,False,True,False,False,Tier2_discovery
83,ZDHHC2,4,3,3,0,0.20223665223665221,0.015681248975365623,0.24592625412641855,0.2657287157287157,0.5420938634190781,False,True,False,False,Tier2_discovery
84,CREB3,4,3,3,0,0.20198412698412693,0.006223274322450746,0.17679239421438803,0.2068542568542568,0.5293120211396741,False,True,False,False,Tier2_discovery
85,DNAAF6,4,3,3,1,0.2018398268398268,0.006134837743961567,0.17650397553605063,0.1646464646464646,0.51368752205928,False,True,False,False,Tier2_discovery
86,CTSF,4,3,3,1,0.20176767676767676,0.004014203113152869,0.15608410520683402,0.1634199134199134,0.5591284994988994,False,True,False,False,Tier2_discovery
87,COQ4,4,3,3,0,0.20162337662337654,0.01556990484662403,0.2453249556408103,0.2278499278499278,0.5606723309177125,False,True,False,False,Tier2_discovery
88,GJA9,4,3,3,0,0.20155122655122648,0.01788881388786255,0.2545088636128048,0.2119769119769119,0.543415689090802,False,True,False,False,Tier2_discovery
89,CDKL3,4,3,3,0,0.20129870129870125,0.02438146245472633,0.2852047138156371,0.2077200577200577,0.7093930221572899,False,True,False,False,Tier2_discovery
90,SLC6A5,4,3,3,0,0.20108225108225103,0.008168106019539911,0.19214844300813083,0.2157287157287157,0.5542819381299536,False,True,False,False,Tier2_discovery
91,GLRX5,4,3,3,0,0.20075757575757575,0.009832764159208284,0.20360782245620151,0.2797258297258297,0.5169389072386679,False,True,False,False,Tier2_discovery
92,CYP4A11,4,3,3,0,0.20061327561327555,0.005725950060560557,0.17227356764587007,0.2223665223665223,0.5091253731598537,False,True,False,False,Tier2_discovery
93,TRAF4,4,3,3,0,0.2004329004329004,0.012108848093827788,0.22332348539446586,0.2546897546897547,0.5626289549844877,False,True,False,False,Tier2_discovery
94,PCOLCE,4,3,3,0,0.20028860028860018,0.009607431279720439,0.20311848893998405,0.1844877344877344,0.5821084681056179,False,True,False,False,Tier2_discovery
95,MSL3,4,3,2,2,0.2001443001443001,0.0005078432528737181,0.10594610806643626,0.0241702741702741,0.2694606985777902,False,True,True,False,Tier2_discovery
96,KIF2A,4,4,3,1,0.19981962481962479,0.0024111740466742815,0.13911115365841886,0.2318903318903319,0.3777370446423715,False,True,False,False,Tier2_discovery
97,TMEM102,4,3,3,1,0.1995310245310245,0.003567111266005733,0.15193587316153287,0.1815295815295815,0.4042166603189308,False,True,False,False,Tier2_discovery
98,SIKE1,4,3,2,1,0.1994227994227994,0.0050882147434408226,0.1639166099442814,0.3025974025974026,0.4044959376847635,False,True,False,False,Tier2_discovery
