ChemicalID,ChemicalName,canonical_name,synonyms,CasRN,PubChemCID,DTXSID,chemical_class,entity_type,parent_compound,metabolite_of,exposure_family
C573544,mono(carboxy-isooctyl)phthalate,mono carboxy isooctyl phthalate,mono(carboxy-isooctyl)phthalate;phthalate;plasticizer,,CID:121232681,,phthalates,phthalate parent or monoester metabolite,DINP,DINP,phthalates
D008982,Molybdenum,molybdenum,Molybdenum;7439-98-7,7439-98-7,CID:23932,DTXSID1024207,heavy_metals,elemental species or metal compound,,,heavy_metals
C033729,fluorotelomer alcohols,fluorotelomer alcohols,fluorotelomer alcohols,,,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C008745,"4,4'-bisphenol F",4 4 bisphenol f,"4,4'-bisphenol F",,CID:12111,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
D013793,Thallium,thallium,Thallium;7440-28-0,7440-28-0,,DTXSID2036035,heavy_metals,elemental species or metal compound,,,heavy_metals
C031721,naphthalene,naphthalene,naphthalene;91-20-3,91-20-3,CID:931,DTXSID8020913,pahs,CTD entity,,,pahs
C032279,phthalic acid,phthalic acid,phthalic acid;88-99-3,88-99-3,,DTXSID8021484,phthalates,CTD entity,,,phthalates
C011363,terephthalic acid,terephthalic acid,terephthalic acid;100-21-0,100-21-0,,DTXSID6026080,phthalates,CTD entity,,,phthalates
C041260,mono-n-octyl phthalate,mono n octyl phthalate,mono-n-octyl phthalate;5393-19-1;phthalate;plasticizer,5393-19-1,,DTXSID4052714,phthalates,phthalate parent or monoester metabolite,,,phthalates
C005020,folpet,folpet,folpet;133-07-3,133-07-3,CID:8607,DTXSID0021385,phthalates,CTD entity,,,phthalates
C035197,nickel nitrate,nickel nitrate,nickel nitrate;13138-45-9,13138-45-9,,DTXSID70872958,heavy_metals,elemental species or metal compound,,,heavy_metals
C028419,cuprous chloride,cuprous chloride,cuprous chloride;7758-89-6,7758-89-6,CID:62652,DTXSID5035242,heavy_metals,elemental species or metal compound,,,heavy_metals
D005708,Gallium,gallium,Gallium;7440-55-3,7440-55-3,CID:5360835,DTXSID401029758,heavy_metals,elemental species or metal compound,,,heavy_metals
C018520,"2,6-diisopropylnaphthalene",2 6 diisopropylnaphthalene,"2,6-diisopropylnaphthalene;24157-81-1",24157-81-1,CID:32241,DTXSID7035272,pahs,CTD entity,,,pahs
C019174,dinonylphthalate,dinonylphthalate,dinonylphthalate;84-76-4;phthalate;plasticizer,84-76-4,CID:6787,DTXSID9047966,phthalates,phthalate parent or monoester metabolite,DINP,DINP,phthalates
C027718,didecyl phthalate,didecyl phthalate,didecyl phthalate;84-77-5;phthalate;plasticizer,84-77-5,CID:6788,DTXSID3026512,phthalates,phthalate parent or monoester metabolite,,,phthalates
C049841,mono-n-hexyl phthalate,mono n hexyl phthalate,mono-n-hexyl phthalate;24539-57-9;phthalate;plasticizer,24539-57-9,CID:90532,DTXSID40947420,phthalates,phthalate parent or monoester metabolite,,,phthalates
D001729,Bismuth,bismuth,Bismuth;7440-69-9,7440-69-9,CID:5359367,DTXSID3052484,heavy_metals,elemental species or metal compound,,,heavy_metals
C073340,ranitidine bismuth citrate,ranitidine bismuth citrate,ranitidine bismuth citrate,,CID:62984,,heavy_metals,elemental species or metal compound,,,heavy_metals
C043041,gold cyanide,gold cyanide,gold cyanide;506-65-0,506-65-0,,DTXSID1060136,heavy_metals,elemental species or metal compound,,,heavy_metals
C034020,anthracene,anthracene,anthracene;120-12-7,120-12-7,CID:8418,DTXSID0023878,pahs,CTD entity,,,pahs
C517113,bisphenol Z,bisphenol z,bisphenol Z,,CID:232446,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
C035983,dimethoxyethyl phthalate,dimethoxyethyl phthalate,dimethoxyethyl phthalate;117-82-8;phthalate;plasticizer,117-82-8,CID:8344,DTXSID8025094,phthalates,phthalate parent or monoester metabolite,,,phthalates
D010984,Platinum,platinum,Platinum;7440-06-4,7440-06-4,CID:23939,DTXSID9064681,heavy_metals,elemental species or metal compound,,,heavy_metals
C007379,diethyl phthalate,diethyl phthalate,diethyl phthalate;84-66-2;phthalate;plasticizer,84-66-2,CID:6781,DTXSID7021780,phthalates,phthalate parent or monoester metabolite,,,phthalates
D009764,o-Phthalaldehyde,o phthalaldehyde,o-Phthalaldehyde;643-79-8,643-79-8,CID:4807,DTXSID6032514,phthalates,CTD entity,,,phthalates
C047969,"2,2'-bisphenol F",2 2 bisphenol f,"2,2'-bisphenol F",,CID:75575,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
C049098,diallyl phthalate,diallyl phthalate,diallyl phthalate;131-17-9;phthalate;plasticizer,131-17-9,CID:8560,DTXSID7020392,phthalates,phthalate parent or monoester metabolite,,,phthalates
D003678,"Defoliants, Chemical",defoliants chemical,"Defoliants, Chemical",,,,pesticides,CTD entity,,,pesticides
C040654,titanium nickelide,titanium nickelide,titanium nickelide;12035-60-8,12035-60-8,CID:159408,DTXSID40923345,heavy_metals,elemental species or metal compound,,,heavy_metals
C056699,picene,picene,picene;213-46-7,213-46-7,CID:9162,DTXSID8073895,pahs,CTD entity,,,pahs
C063732,sulfluramid,sulfluramid,sulfluramid;4151-50-2,4151-50-2,CID:77797,DTXSID1032646,pfas_perfluoro,CTD entity,,,pfas_perfluoro
C000606252,ARV-825,arv 825,ARV-825,,CID:92044400,,phthalates,CTD entity,,,phthalates
D005466,Fluorocarbons,fluorocarbons,Fluorocarbons,,CID:6393,,pfas_perfluoro,CTD entity,,,pfas_perfluoro
C020758,indium trichloride,indium trichloride,indium trichloride;10025-82-8,10025-82-8,CID:24812,DTXSID8033566,heavy_metals,elemental species or metal compound,,,heavy_metals
C012125,diisononyl phthalate,diisononyl phthalate,diisononyl phthalate;28553-12-0;phthalate;plasticizer,28553-12-0,,DTXSID4022521,phthalates,phthalate parent or monoester metabolite,DINP,DINP,phthalates
C089799,diheptyl phthalate,diheptyl phthalate,diheptyl phthalate;3648-21-3;phthalate;plasticizer,3648-21-3,,DTXSID8040779,phthalates,phthalate parent or monoester metabolite,,,phthalates
C000720117,fluorotelomer sulfonic acids,fluorotelomer sulfonic acids,fluorotelomer sulfonic acids,,,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C108042,perfluorobutane,perfluorobutane,perfluorobutane;PFAS;PFbutane,,CID:9638,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C028541,zirconium oxide,zirconium oxide,zirconium oxide;1314-23-4,1314-23-4,,DTXSID1042520,heavy_metals,elemental species or metal compound,,,heavy_metals
C106479,di-n-propylphthalate,di n propylphthalate,di-n-propylphthalate;131-16-8;phthalate;plasticizer,131-16-8,CID:8559,DTXSID5031133,phthalates,phthalate parent or monoester metabolite,,,phthalates
C017558,nickel sulfide,nickel sulfide,nickel sulfide;16812-54-7,16812-54-7,CID:166709,DTXSID5036921,heavy_metals,elemental species or metal compound,,,heavy_metals
