gene,sex,n_transitions,mean_delta,median_delta,n_down,n_up,fraction_down
CAD,Female,2,0.19198450166666525,0.19198450166666525,1,1,0.5
CAD,Male,2,-0.007379060000001658,-0.007379060000001658,1,1,0.5
CAD,All,4,0.0923027208333318,0.06209050333333099,2,2,0.5
CMPK1,Female,2,-0.28610449049999875,-0.28610449049999875,2,0,1.0
CMPK1,Male,2,0.13967903533333192,0.13967903533333192,1,1,0.5
CMPK1,All,4,-0.07321272758333341,-0.05463146133333385,3,1,0.75
CTPS1,Female,1,0.06333333333333258,0.06333333333333258,0,1,0.0
CTPS1,Male,0,,,0,0,
CTPS1,All,1,0.06333333333333258,0.06333333333333258,0,1,0.0
CTPS2,Female,2,0.14793403316666698,0.14793403316666698,1,1,0.5
CTPS2,Male,2,-0.06099755216666569,-0.06099755216666569,1,1,0.5
CTPS2,All,4,0.04346824050000064,0.0689729311666678,2,2,0.5
DCTD,Female,2,0.0859371933333346,0.0859371933333346,0,2,0.0
DCTD,Male,2,0.00946495500000033,0.00946495500000033,1,1,0.5
DCTD,All,4,0.04770107416666747,0.0859371933333346,1,3,0.25
DHFR,Female,2,0.20409418949999836,0.20409418949999836,0,2,0.0
DHFR,Male,2,0.10945311499999821,0.10945311499999821,0,2,0.0
DHFR,All,4,0.15677365224999829,0.17834360666666527,0,4,0.0
DHODH,Female,2,0.15389292499999918,0.15389292499999918,0,2,0.0
DHODH,Male,2,0.377608218333334,0.377608218333334,0,2,0.0
DHODH,All,4,0.2657505716666666,0.2041889949999991,0,4,0.0
DUT,Female,2,0.3124316483333338,0.3124316483333338,0,2,0.0
DUT,Male,2,-0.2454627683333328,-0.2454627683333328,2,0,1.0
DUT,All,4,0.033484440000000504,0.05536078,2,2,0.5
PAICS,Female,2,0.1651275333333322,0.1651275333333322,1,1,0.5
PAICS,Male,2,0.030179691666665676,0.030179691666665676,1,1,0.5
PAICS,All,4,0.09765361249999893,0.1651275333333322,2,2,0.5
PPAT,Female,2,0.22041908500000051,0.22041908500000051,0,2,0.0
PPAT,Male,2,-0.16290646833333344,-0.16290646833333344,1,1,0.5
PPAT,All,4,0.028756308333333536,0.16288049333333277,1,3,0.25
RRM1,Female,2,0.024228925000000068,0.024228925000000068,1,1,0.5
RRM1,Male,2,0.41649179666666747,0.41649179666666747,0,2,0.0
RRM1,All,4,0.22036036083333377,0.2726864466666674,1,3,0.25
RRM2,Female,2,0.32528895666666724,0.32528895666666724,0,2,0.0
RRM2,Male,2,-0.15412525999999893,-0.15412525999999893,1,1,0.5
RRM2,All,4,0.08558184833333415,0.0639045866666681,1,3,0.25
TK1,Female,2,0.24511552499999922,0.24511552499999922,0,2,0.0
TK1,Male,2,-0.3700383733333341,-0.3700383733333341,2,0,1.0
TK1,All,4,-0.062461424166667445,-0.13012155166666783,2,2,0.5
TYMS,Female,2,0.33125581333333365,0.33125581333333365,0,2,0.0
TYMS,Male,2,-0.27450950499999927,-0.27450950499999927,2,0,1.0
TYMS,All,4,0.02837315416666719,-0.007077868333332127,2,2,0.5
UCK2,Female,2,0.19838541499999973,0.19838541499999973,1,1,0.5
UCK2,Male,2,0.17445692333333085,0.17445692333333085,1,1,0.5
UCK2,All,4,0.1864211691666653,0.17445692333333085,2,2,0.5
UMPS,Female,2,-0.21157499833333393,-0.21157499833333393,2,0,1.0
UMPS,Male,2,0.08965141333333282,0.08965141333333282,0,2,0.0
UMPS,All,4,-0.060961792500000556,-0.006182846666667352,2,2,0.5
