database,DRUG_NAME,drug_key,n_trajectory_rows,n_trajectories_n20,n_trajectories_n30,max_crc_n,median_crc_n,any_trajectory_n20,any_trajectory_n30,three_trajectories_n20,three_trajectories_n30,all_four_trajectories_n20,primary_discovery_gate,SYNONYMS,TARGET,TARGET_PATHWAY,prism_name,prism_disease_area,prism_indication,prism_phase,prism_name_count_by_key,clinical_status,clinical_context,approved_nononcology_high_confidence,annotation_source
GDSC1,Midostaurin,MIDOSTAURIN,6,6,6,31,30.0,True,True,True,True,True,none,"PKC412, benzoylstaurosporine, CGP-41251","PKC, PPK, FLT1, c-FGR, others",Other,midostaurin,hematologic malignancy,acute myeloid leukemia (AML),Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Mirin,MIRIN,6,6,0,29,29.0,True,False,True,False,True,none,,MRE11,Genome integrity,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Mitomycin-C,MITOMYCINC,6,6,6,31,30.0,True,True,True,True,True,none,"Mytozytrex, NSC-26980, MMC, Mitosol, Mitozytrex",DNA crosslinker,DNA replication,mitomycin-c,oncology,"pancreatic cancer, gastric adenocarcinoma",Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Motesanib,MOTESANIB,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,"AMG-706, AMG 706, AMG706","VEGFR, RET, KIT, PDGFR",RTK signaling,motesanib,,,Phase 3,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,N22899-6-C1,N228996C1,6,6,6,39,38.0,True,True,True,True,True,TierB_moderate_candidate,,Peptidyl arginine deaminase (PAD),Unclassified,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,N23918-95-7,N23918957,6,6,6,39,38.0,True,True,True,True,True,TierA_strong_collateral,,JMJ histone demethylase,Chromatin histone methylation,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,N24798-49-A1,N2479849A1,6,6,6,38,37.0,True,True,True,True,True,none,,JMJ histone demethylase,Chromatin histone methylation,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,NG-25,NG25,6,6,6,38,37.0,True,True,True,True,True,TierB_moderate_candidate,NG25,"TAK1, M4K2","Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,NPK76-II-72-1,NPK76II721,6,6,6,38,37.0,True,True,True,True,True,none,,PLK3,Cell cycle,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,NSC-207895,NSC207895,6,6,6,38,37.0,True,True,True,True,True,none,"XI-006, NSC207895",MDM4,p53 pathway,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,NSC-87877,NSC87877,6,6,6,31,30.0,True,True,True,True,True,none,NSC 87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,NSC319726,NSC319726,6,6,6,37,36.0,True,True,True,True,True,none,,P53 Mut specific,p53 pathway,NSC-319726,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,NU7441,NU7441,6,6,6,38,37.0,True,True,True,True,True,none,"KU-57788, NU-7432, NU-7741",DNAPK,Genome integrity,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,NVP-BHG712,NVPBHG712,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,BHG712,"EPHB4, RAF, SRC, ABL","Other, kinases",NVP-BHG712,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,NVP-TAE684,NVPTAE684,6,0,0,13,13.0,False,False,False,False,False,,"NVP-TAE 684, TAE684, TAE-684",ALK,RTK signaling,NVP-TAE684,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Navitoclax,NAVITOCLAX,6,6,6,38,37.0,True,True,True,True,True,none,"ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W",Apoptosis regulation,navitoclax,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Nilotinib,NILOTINIB,6,6,6,38,37.0,True,True,True,True,True,none,"Tasigna, AMN 107",ABL,ABL signaling,nilotinib,hematologic malignancy,chronic myeloid leukemia (CML),Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Nutlin-3a (-),NUTLIN3A,6,6,6,38,37.0,True,True,True,True,True,TierB_moderate_candidate,,MDM2,p53 pathway,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,OSI-027,OSI027,6,6,6,38,37.0,True,True,True,True,True,none,A-1065-5,"MTORC1, MTORC2",PI3K/MTOR signaling,OSI-027,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,OSI-930,OSI930,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,OSI 930 OSI930,"KIT, VEGFR2",RTK signaling,OSI-930,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,OSU-03012,OSU03012,6,6,1,30,29.0,True,True,True,False,True,none,"AR-12, OSU 03012, OSU03012, PDK1 inhibitor AR-12",PDK1 (PDPK1),Metabolism,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Obatoclax Mesylate,OBATOCLAXMESYLATE,6,6,6,31,30.0,True,True,True,True,True,none,"GX15-070MS, Obatoclax, GX15-070","BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Olaparib,OLAPARIB,6,6,6,39,38.0,True,True,True,True,True,none,"AZD2281, KU0059436,  Lynparza","PARP1, PARP2",Genome integrity,olaparib,oncology,ovarian cancer,Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Omipalisib,OMIPALISIB,6,6,6,38,37.0,True,True,True,True,True,none,"GSK2126458, GSK-2126458, EX-8678, GSK458","PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,PAC-1,PAC1,6,6,1,30,29.0,True,True,True,False,True,none,GTPL5238,"Procaspase-3, Procaspase-7",Apoptosis regulation,PAC-1,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,PARP_0108,PARP0108,6,6,6,39,38.0,True,True,True,True,True,TierA_strong_collateral,SN1044053371,"PARP1, PARP2, PARP6",Genome integrity,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,PARP_9482,PARP9482,6,6,6,39,38.0,True,True,True,True,True,none,SN1031920820,"PARP1, PARP2, PARP5a",Genome integrity,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,PARP_9495,PARP9495,6,6,6,39,38.0,True,True,True,True,True,none,SN1024601395,"PARP1, PARP2, PARP7",Genome integrity,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,PD0325901,PD0325901,6,6,6,37,36.0,True,True,True,True,True,none,"PD-0325901, PD 0325901","MEK1, MEK2",ERK MAPK signaling,PD-0325901,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,PD173074,PD173074,6,6,6,38,37.0,True,True,True,True,True,none,"PD-173074, PD 173074","FGFR1, FGFR2, FGFR3",RTK signaling,PD-173074,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,PF-00299804,PF00299804,6,6,6,38,37.0,True,True,True,True,True,none,,"EGFR, ERBB2, ERBB4",RTK signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,PF-4708671,PF4708671,6,6,6,38,37.0,True,True,True,True,True,none,"PF 4708671, PF4708671",S6K1,PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,PF-562271,PF562271,6,6,6,31,30.0,True,True,True,True,True,none,PF-00562271,"FAK, FAK2",Cytoskeleton,PF-562271,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,PFI-1,PFI1,6,6,6,39,38.0,True,True,True,True,True,none,,BRD4,Chromatin other,PFI-1,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,PFI-3,PFI3,6,6,0,28,28.0,True,False,True,False,True,none,BDF00016096,"PB1, SMARCA4, SMARCA2",Chromatin other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,PHA-665752,PHA665752,6,0,0,13,13.0,False,False,False,False,False,,"PHA665752, PHA 665752",MET,RTK signaling,PHA-665752,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,PHA-793887,PHA793887,6,6,6,38,37.0,True,True,True,True,True,none,"PHA793887, PHA 793887","CDK2, CDK7, CDK5",Cell cycle,PHA-793887,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,PI-103,PI103,6,6,6,38,37.0,True,True,True,True,True,none,"PI-103, PI103, PI 103","PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2","Other, kinases",PI-103,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,PI3Ka_4409,PI3KA4409,6,6,6,39,38.0,True,True,True,True,True,none,SN1037097676,"PI3Kalpha, PI3Kdelta",PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,PIK-93,PIK93,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,"PIK 93, PIK93",PK3CG,PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,PLK_6522,PLK6522,6,6,6,39,38.0,True,True,True,True,True,none,SN1077317349,"PLK1, PLK2, PLK3",Cell cycle,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,PLX-4720,PLX4720,6,6,6,39,38.0,True,True,True,True,True,none,"PLX4720, PLX 4720",BRAF,ERK MAPK signaling,PLX-4720,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Paclitaxel,PACLITAXEL,6,0,0,13,13.0,False,False,False,False,False,,"BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane",Microtubule stabiliser,Mitosis,paclitaxel,oncology,"ovarian cancer, breast cancer, non-small cell lung cancer (NSCLC)",Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Palbociclib,PALBOCICLIB,6,6,6,37,36.0,True,True,True,True,True,none,"PD0332991, PD-0332991, PF-00080665-73","CDK4, CDK6",Cell cycle,palbociclib,oncology,breast cancer,Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Panobinostat,PANOBINOSTAT,6,6,6,37,36.0,True,True,True,True,True,TierB_moderate_candidate,"Farydak, LBH589",HDAC,Chromatin histone acetylation,panobinostat,hematologic malignancy,multiple myeloma,Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Parthenolide,PARTHENOLIDE,6,0,0,13,13.0,False,False,False,False,False,,,HDAC1,Chromatin histone acetylation,parthenolide,,,Phase 1,2.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Pazopanib,PAZOPANIB,6,6,6,31,30.0,True,True,True,True,True,none,Votrient,"CSF1R, KIT,  PDGFRA, PDGFRB",RTK signaling,pazopanib,oncology,"renal cell carcinoma (RCC), soft tissue sarcoma (STS)",Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Pelitinib,PELITINIB,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,"EKB-569, EKB 569",EGFR,EGFR signaling,pelitinib,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Pemetrexed,PEMETREXED,6,6,6,37,36.0,True,True,True,True,True,none,,TYMS,DNA replication,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Pevonedistat,PEVONEDISTAT,6,6,0,24,24.0,True,False,True,False,True,none,"MLN4924, MLN 4924, MLN-4924",NAE,Other,pevonedistat,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Phenformin,PHENFORMIN,6,6,6,38,37.0,True,True,True,True,True,none,DBI,Biguanide agent,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Pictilisib,PICTILISIB,6,6,6,39,38.0,True,True,True,True,True,none,"GDC-0941, GDC0941, RG-7621",PI3K (class 1),PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Pilaralisib,PILARALISIB,6,6,6,38,37.0,True,True,True,True,True,none,XL-147,PI3K,PI3K/MTOR signaling,pilaralisib,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Piperlongumine,PIPERLONGUMINE,6,6,6,39,38.0,True,True,True,True,True,none,Piplartine,Induces reactive oxygen species,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Ponatinib,PONATINIB,6,6,6,31,30.0,True,True,True,True,True,none,"AP24534, AP-24534, KIN001-192, Iclusig","ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases",ponatinib,hematologic malignancy,"chronic myeloid leukemia (CML), acute lymphoblastic leukemia (ALL)",Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Pyrimethamine,PYRIMETHAMINE,6,0,0,13,13.0,False,False,False,False,False,,"Daraprim, Chloridine",Dihydrofolate reductase (DHFR),Other,pyrimethamine,infectious disease,malaria,Launched,1.0,approved,approved_nononcology_high_confidence,True,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,QL-VIII-58,QLVIII58,6,6,6,31,30.0,True,True,True,True,True,none,,"MTOR, ATR",Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,QL-X-138,QLX138,6,6,6,38,37.0,True,True,True,True,True,none,,BTK,"Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,QL-XI-92,QLXI92,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,,DDR1,Cytoskeleton,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,QL-XII-47,QLXII47,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,,"BTK, BMX","Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,QL-XII-61,QLXII61,6,6,0,29,28.0,True,False,True,False,True,none,,"BMX, BTK","Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,QS11,QS11,6,6,6,31,30.0,True,True,True,True,True,none,944328-88-5,ARFGAP1,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Quizartinib,QUIZARTINIB,6,6,6,38,37.0,True,True,True,True,True,none,"AC220, AC 220, AC-220, Asp-2689",FLT3,RTK signaling,quizartinib,,,Phase 3,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,RAF_9304,RAF9304,6,6,6,39,38.0,True,True,True,True,True,TierB_moderate_candidate,SN1034259943,"ARAF, BRAF, CRAF",ERK MAPK signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,RO-3306,RO3306,6,6,6,38,37.0,True,True,True,True,True,none,,CDK1,Cell cycle,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,RU-SKI 43,RUSKI43,6,6,6,37,36.0,True,True,True,True,True,none,,Shh,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Rapamycin,RAPAMYCIN,6,0,0,11,11.0,False,False,False,False,False,,"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune",MTORC1,PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Refametinib,REFAMETINIB,6,6,6,39,38.0,True,True,True,True,True,none,"RDEA119, BAY-86-9766, BAY 869766","MEK1, MEK2",ERK MAPK signaling,refametinib,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Rucaparib,RUCAPARIB,6,6,6,38,37.0,True,True,True,True,True,none,"PF-01367338, AG-014699, AG-14447, AG-14699","PARP1, PARP2",Genome integrity,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Ruxolitinib,RUXOLITINIB,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,"INCB-18424, Ruxolitinib Phosphate, Jakafi","JAK1, JAK2","Other, kinases",ruxolitinib,"hematologic malignancy, hematology","myelofibrosis, polycythemia vera",Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,S-Trityl-L-cysteine,STRITYLLCYSTEINE,6,0,0,13,13.0,False,False,False,False,False,,"NSC 83265, Tritylcysteine",KIF11,Mitosis,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,SB216763,SB216763,6,6,6,34,33.0,True,True,True,True,True,none,"SB-216763, SB 216763","GSK3A, GSK3B",WNT signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,SB505124,SB505124,6,6,6,40,39.0,True,True,True,True,True,TierB_moderate_candidate,"SB 505124, SB505124","TGFBR1, ACVR1B, ACVR1C",RTK signaling,SB-505124,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,SB52334,SB52334,6,6,6,38,37.0,True,True,True,True,True,none,"SB-52334, SB 52334",ALK5,RTK signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,SB590885,SB590885,6,6,6,37,36.0,True,True,True,True,True,none,SB-590885,BRAF,ERK MAPK signaling,SB-590885,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,SGC0946,SGC0946,6,6,6,37,37.0,True,True,True,True,True,none,,DOT1L,Chromatin histone methylation,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,SL0101,SL0101,6,6,6,37,36.0,True,True,True,True,True,none,"SL-0101, SL 0101-1","RSK, AURKB, PIM1, PIM3","Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,SN-38,SN38,6,6,6,39,38.0,True,True,True,True,True,TierA_strong_collateral,SN1095903706,TOP1,DNA replication,SN-38,oncology,colorectal cancer,Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,SNX-2112,SNX2112,6,6,6,38,37.0,True,True,True,True,True,TierB_moderate_candidate,SNX 2112,HSP90,Protein stability and degradation,SNX-2112,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,STF-62247,STF62247,6,6,6,38,37.0,True,True,True,True,True,none,STF62247,Autophagy inducer,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,SU11274,SU11274,6,6,6,38,37.0,True,True,True,True,True,none,,MET,RTK signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Salubrinal,SALUBRINAL,6,0,0,13,13.0,False,False,False,False,False,,EIF-2alpha Inhibitor,EIF2A,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Saracatinib,SARACATINIB,6,0,0,13,13.0,False,False,False,False,False,,"AZD0530, AZD-0530, AZ-10353926","ABL, SRC","Other, kinases",saracatinib,,,Phase 2/Phase 3,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Seliciclib,SELICICLIB,6,0,0,13,13.0,False,False,False,False,False,,"Roscovitine, CYC-202, AL-39256","CDK2, CDK7, CDK9",Cell cycle,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Selisistat,SELISISTAT,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,"EX-527, EX 527",SIRT1,Chromatin histone acetylation,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Selumetinib,SELUMETINIB,6,6,6,39,38.0,True,True,True,True,True,none,"AZD6244, AZD-6244, ARRY-886","MEK1, MEK2",ERK MAPK signaling,selumetinib,,,Phase 3,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Sepantronium bromide,SEPANTRONIUMBROMIDE,6,6,6,37,36.0,True,True,True,True,True,TierB_moderate_candidate,"YM155, YM-155, YM 155",BIRC5,Apoptosis regulation,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Serdemetan,SERDEMETAN,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,JNJ-26854165,MDM2,p53 pathway,serdemetan,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Shikonin,SHIKONIN,6,6,1,30,29.0,True,True,True,False,True,none,Anchusin,not defined,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Sorafenib,SORAFENIB,6,0,0,13,13.0,False,False,False,False,False,,"Nexavar, 284461-73-0, BAY 43-9006","PDGFR, KIT, VEGFR, RAF",RTK signaling,sorafenib,oncology,"renal cell carcinoma (RCC), thyroid cancer, hepatocellular carcinoma (HCC)",Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Sphingosine Kinase 1 Inhibitor II,SPHINGOSINEKINASE1INHIBITORII,6,6,6,38,37.0,True,True,True,True,True,TierB_moderate_candidate,PF-543,Sphingosine Kinase,"Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Sunitinib,SUNITINIB,6,0,0,13,13.0,False,False,False,False,False,,"Sutent, Sunitinib Malate, SU-11248","PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",RTK signaling,sunitinib,oncology,"gastrointestinal stromal tumors (GIST), renal cell carcinoma (RCC), neuroendocrine tumors of pancreatic origin (PNET)",Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,T0901317,T0901317,6,6,6,37,36.0,True,True,True,True,True,TierA_strong_collateral,"TO-901317, TO901317","LXR, FXR",Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,TAK-715,TAK715,6,6,6,38,37.0,True,True,True,True,True,none,"KIN001-201, TAK 715","p38alpha, p38beta",JNK and p38 signaling,TAK-715,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,TANK_1366,TANK1366,6,6,6,39,38.0,True,True,True,True,True,TierA_strong_collateral,SN1032446568,"Tankyrase 1/2 (PARP5a, PARP5b)",Genome integrity,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,TGX221,TGX221,6,0,0,13,13.0,False,False,False,False,False,,"TGX-221, Tgx 221",PI3Kbeta,PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,THZ-1-87,THZ187,6,0,0,16,15.0,False,False,False,False,False,,,"BTK, BMX","Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,THZ-2-102-1,THZ21021,6,6,6,37,36.0,True,True,True,True,True,TierB_moderate_candidate,,CDK7,Cell cycle,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,THZ-2-49,THZ249,6,6,6,37,36.0,True,True,True,True,True,TierB_moderate_candidate,,CDK9,Cell cycle,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,THZ-2-98-01,THZ29801,6,0,0,16,15.0,False,False,False,False,False,,,IRAK1,Unclassified,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
