database,DRUG_NAME,drug_key,n_trajectory_rows,n_trajectories_n20,n_trajectories_n30,max_crc_n,median_crc_n,any_trajectory_n20,any_trajectory_n30,three_trajectories_n20,three_trajectories_n30,all_four_trajectories_n20,primary_discovery_gate,SYNONYMS,TARGET,TARGET_PATHWAY,prism_name,prism_disease_area,prism_indication,prism_phase,prism_name_count_by_key,clinical_status,clinical_context,approved_nononcology_high_confidence,annotation_source
GDSC1,Flavopiridol,FLAVOPIRIDOL,6,6,6,37,36.0,True,True,True,True,True,none,,CDK,Cell cycle,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,Foretinib,FORETINIB,6,6,6,38,37.0,True,True,True,True,True,none,"GSK1363089, XL-880, EXEL-2880, GSK089","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,foretinib,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Fulvestrant,FULVESTRANT,6,6,6,39,38.0,True,True,True,True,True,TierB_moderate_candidate,"Faslodex, ICI-182780",ESR,Hormone-related,fulvestrant,oncology,breast cancer,Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,GNF-2,GNF2,6,0,0,13,13.0,False,False,False,False,False,,KIN001-013,BCR-ABL,ABL signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,GSK-J4,GSKJ4,6,6,6,38,37.0,True,True,True,True,True,none,,KDM6B,Chromatin histone methylation,GSK-J4,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,GSK1059615,GSK1059615,6,6,6,38,37.0,True,True,True,True,True,none,,PI3K,PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,GSK1070916,GSK1070916,6,6,6,37,36.0,True,True,True,True,True,none,GSK-1070916,"AURKA, AURKC",Mitosis,GSK1070916,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,GSK1904529A,GSK1904529A,6,6,6,31,30.0,True,True,True,True,True,none,"GSK-1904529A, GSK 1904529A","IGF1R, IR",RTK signaling,GSK1904529A,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,GSK269962A,GSK269962A,6,6,6,39,38.0,True,True,True,True,True,none,GSK 269962A,"ROCK1, ROCK2",Cytoskeleton,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,GSK319347A,GSK319347A,6,0,0,13,13.0,False,False,False,False,False,,"KIN001-135, IKK-3 inhibitor",IKK,"Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,GSK429286A,GSK429286A,6,6,6,38,37.0,True,True,True,True,True,none,,"ROCK1, ROCK2",Cytoskeleton,GSK429286A,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,GSK650394,GSK650394,6,6,1,30,29.0,True,True,True,False,True,none,"GSK-650394, GSK 650394","SGK2, SGK3","Other, kinases",GSK650394,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
