cohort,compartment,n_right,spearman_rho,spearman_p,spearman_fdr_within_cohort
GSE132465,B_cells,11,0.13636363636363638,0.6893090205863619,0.8616362757329523
GSE132465,T_cells,11,0.3272727272727273,0.3258949410128415,0.8147373525321038
GSE132465,myeloid,11,0.48181818181818187,0.13343383825682875,0.6671691912841438
GSE132465,stromal,11,0.19090909090909092,0.5739131682855213,0.8616362757329523
GSE132465,tumor_epithelial,11,0.05454545454545456,0.8734465775233149,0.8734465775233149
GSE200997,immune_like,8,0.7142857142857144,0.046528232284167255,0.06979234842625089
GSE200997,malignant_epithelial_like,8,0.7857142857142858,0.020815127253525273,0.06244538176057582
GSE200997,stromal_like,7,0.5843065474681433,0.16831782476033647,0.16831782476033644
