Analysis,Population,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message
Age_ge_40,CRC_vs_cancer_free,ok,8512,102,8410,-0.01759618908066712,0.08666873815576336,0.9825577197956792,0.8279370874742306,1.166054386662722,0.8393828244934284,153,301,148,Newton-IRLS converged
Colon_only,CRC_vs_cancer_free,ok,13775,100,13675,-0.026899309981923508,0.09154806127544177,0.973459254219708,0.8124013616491133,1.1664467397031284,0.7692881663940779,153,301,148,Newton-IRLS converged
Recent_CRC_excluded,CRC_vs_cancer_free,ok,13768,93,13675,-0.0639606374063999,0.08570873958469113,0.9380419225670094,0.7919270553491531,1.1111157808660315,0.4566580453797393,153,301,148,Newton-IRLS converged
All_nonCRC_control_definition,CRC_vs_all_nonCRC,ok,15007,104,14903,-0.031969720652497216,0.08785067195634605,0.9685359082705418,0.8142183893845422,1.15210098155424,0.7164277531930847,153,301,148,Newton-IRLS converged
