Analysis,Cycles,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,Excluded_known_timing_CRC_N,Timing_known_CRC_N,Timing_missing_CRC_N,Exam_age_median,Exam_age_Q1,Exam_age_Q3,Diagnosis_age_median,Diagnosis_age_Q1,Diagnosis_age_Q3,Years_since_diagnosis_median,Years_since_diagnosis_Q1,Years_since_diagnosis_Q3
Primary_all_cases,,ok,9936,70,9866,0.219542496313676,0.07309672751901093,1.2455067762777348,1.0775254462916757,1.4396756337333279,0.003311358522765674,109.0,214.0,105.0,Newton-IRLS converged,0.0,73,3,73.0,66.0,80.0,59.0,50.0,71.0,6.0,2.0,20.0
Exclude_diagnosis_lt_1y,,ok,9928,62,9866,0.21609900813718033,0.07848456272443993,1.2412252643184896,1.0624155713190178,1.4501294958146722,0.006911572174626734,109.0,214.0,105.0,Newton-IRLS converged,13.0,73,3,73.0,66.0,80.0,59.0,50.0,71.0,6.0,2.0,20.0
Exclude_diagnosis_lt_2y,,ok,9921,55,9866,0.23343953750805757,0.08304662963876454,1.262936465296543,1.0712688825566703,1.4888965238765344,0.005858077553983505,109.0,214.0,105.0,Newton-IRLS converged,23.0,73,3,73.0,66.0,80.0,59.0,50.0,71.0,6.0,2.0,20.0
Exclude_diagnosis_lt_5y,,ok,9910,44,9866,0.23468222164030253,0.0896769742588933,1.2645068719596275,1.0585979819286881,1.510467294033474,0.010130732854087127,109.0,214.0,105.0,Newton-IRLS converged,43.0,73,3,73.0,66.0,80.0,59.0,50.0,71.0,6.0,2.0,20.0
Descriptive_CRC_interval_le_5y,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,descriptive_only,34,34,0,,,,,,,,,,,,34,0,73.0,65.0,80.0,70.0,64.0,78.75,2.0,1.0,4.0
Descriptive_CRC_interval_gt_5y,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,descriptive_only,39,39,0,,,,,,,,,,,,39,0,72.0,67.5,80.0,54.0,47.5,58.5,19.0,9.5,24.0
