metric,n_right,n_left,right_mean,left_mean,right_minus_left,hedges_g,se_g,welch_p,mannwhitney_p,cohort,welch_fdr_across_cohorts
pufa_incorporation_score,224,342,0.06958910028044564,-0.053987112885100386,0.12357621316554603,0.22280604075597946,0.08621062381848672,0.010170335733419068,0.008918488437323544,GSE39582,0.030511007200257203
antioxidant_buffering_score,224,342,0.08330255974657334,-0.0412204704166688,0.12452303016324215,0.24303764176330903,0.08625906877527749,0.005778479124930633,0.0016610049205495908,GSE39582,0.016544431684541817
SLC7A11,224,342,0.2880892881459782,-0.137075059335266,0.4251643474812442,0.43599347058637616,0.08692975381102142,1.2798811157746356e-06,2.5258497624509776e-06,GSE39582,3.8396433473239065e-06
GCH1,224,342,0.2826623606133452,-0.22700587941449055,0.5096682400278357,0.5260627984389401,0.0873704814863201,2.187612358264701e-09,1.163259965130816e-09,GSE39582,6.562837074794103e-09
pufa_incorporation_score,83,104,0.014755358434251218,0.017511391027109875,-0.0027560325928586565,-0.005864853597293612,0.14718583610525615,0.9686726209268245,0.8929241908283869,GSE41258,0.9686726209268245
antioxidant_buffering_score,83,104,0.06509391529626812,-0.08202459261898401,0.14711850791525213,0.3782830192485222,0.1484935313510167,0.011029621123027878,0.014336356584115998,GSE41258,0.016544431684541817
SLC7A11,83,104,0.46397174116381085,0.05123458066988196,0.4127371604939289,0.5036473426673921,0.14949630998582158,0.0010725144724592778,0.00241813394902068,GSE41258,0.0012550354097423085
GCH1,83,104,0.02419421044371861,-0.23944572873872189,0.2636399391824405,0.35970127304996996,0.14836868467242367,0.01554831147775118,0.0017883892472034453,GSE41258,0.01554831147775118
pufa_incorporation_score,0,0,,,,,,,,GSE4554,
antioxidant_buffering_score,0,0,,,,,,,,GSE4554,
SLC7A11,0,0,,,,,,,,GSE4554,
GCH1,0,0,,,,,,,,GSE4554,
pufa_incorporation_score,0,0,,,,,,,,GSE75316,
antioxidant_buffering_score,0,0,,,,,,,,GSE75316,
SLC7A11,0,0,,,,,,,,GSE75316,
GCH1,0,0,,,,,,,,GSE75316,
pufa_incorporation_score,218,140,0.0036805309999898023,-0.05893604072628885,0.06261657172627866,0.08484090181724299,0.10835184643879049,0.4309053427126525,0.6751176658986913,TCGA-COAD,0.6463580140689787
antioxidant_buffering_score,218,140,0.06774248573328295,-0.02931808123410964,0.0970605669673926,0.2252135062513991,0.10863356129218227,0.03323016700323922,0.017845048549937584,TCGA-COAD,0.03323016700323922
SLC7A11,218,140,0.18903935250281012,-0.1550517645238291,0.3440911170266392,0.3446348207905585,0.10907258748968728,0.0012550354097423085,0.00030929847585356316,TCGA-COAD,0.0012550354097423085
GCH1,218,140,0.20259627658612767,-0.3231344248823648,0.5257307014684924,0.5335698404098718,0.11013568053386928,1.087414622391667e-06,9.09311888020421e-07,TCGA-COAD,1.6311219335875006e-06
