drug_key,platforms_tested,n_platforms_tested,GDSC1_DRUG_NAME,GDSC1_status,GDSC2_DRUG_NAME,GDSC2_status,PRISM_DRUG_NAME,PRISM_status,PRISM_median_background_rho,PRISM_global_empirical_q_value,PRISM_n_backgrounds_available,PRISM_n_positive_backgrounds,PRISM_n_positive_nonHCT116_backgrounds,PRISM_leave_HCT116_out_median_rho,PRISM_n_models_direction_consistent_ge3of4,PRISM_signature_robust_flag,PRISM_strict_database_gate,CTRPv2_DRUG_NAME,CTRPv2_status,strict_platforms,n_strict_gdsc_platforms,n_strict_external_platforms,replication_level,external_replication_flag,GDSC2_median_background_rho,GDSC2_global_empirical_q_value,GDSC2_n_backgrounds_available,GDSC2_n_positive_backgrounds,GDSC2_n_positive_nonHCT116_backgrounds,GDSC2_leave_HCT116_out_median_rho,GDSC2_n_models_direction_consistent_ge3of4,GDSC2_signature_robust_flag,GDSC2_strict_database_gate,CTRPv2_median_background_rho,CTRPv2_global_empirical_q_value,CTRPv2_n_backgrounds_available,CTRPv2_n_positive_backgrounds,CTRPv2_n_positive_nonHCT116_backgrounds,CTRPv2_leave_HCT116_out_median_rho,CTRPv2_n_models_direction_consistent_ge3of4,CTRPv2_signature_robust_flag,CTRPv2_strict_database_gate,GDSC1_median_background_rho,GDSC1_global_empirical_q_value,GDSC1_n_backgrounds_available,GDSC1_n_positive_backgrounds,GDSC1_n_positive_nonHCT116_backgrounds,GDSC1_leave_HCT116_out_median_rho,GDSC1_n_models_direction_consistent_ge3of4,GDSC1_signature_robust_flag,GDSC1_strict_database_gate
CABOZANTINIB,CTRPv2;GDSC1;PRISM,3,Cabozantinib,tested,,not_tested_or_name_unmatched,cabozantinib,tested,0.1580769230769231,0.060094162985584704,4.0,4.0,3.0,0.16384615384615386,6.0,True,True,Cabozantinib,tested,GDSC1;PRISM;CTRPv2,1,2,Level1_GDSC_plus_independent_external,True,,,,,,,,,,0.17041739111164447,0.00019996000799840029,4.0,4.0,3.0,0.21927294115945226,6.0,True,True,0.0870171791224422,0.0002492038905651,4.0,3.0,3.0,0.1642958748221906,4.0,True,True
BMS754807,CTRPv2;GDSC1;GDSC2;PRISM,4,BMS-754807,tested,BMS-754807,tested,BMS-754807,tested,0.10150984786364915,0.08865123527018735,4.0,3.0,2.0,0.13757772851874966,4.0,True,True,BMS-754807,tested,PRISM;CTRPv2,0,2,Level1_independent_external_platforms,True,-0.0894736842105263,0.3716179840954885,4.0,1.0,1.0,-0.1716599190283401,0.0,False,False,0.05459240425870014,0.00019996000799840029,4.0,3.0,2.0,0.027093596059113295,4.0,True,True,-0.1083426028921023,0.0002492038905651,4.0,1.0,1.0,-0.0963292547274749,0.0,False,False
CICLOPIROX,CTRPv2;PRISM,2,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,ciclopirox,tested,0.12391304347826085,0.0003439312137572485,4.0,4.0,3.0,0.17652173913043476,4.0,True,True,Ciclopirox,tested,PRISM;CTRPv2,0,2,Level1_independent_external_platforms,True,,,,,,,,,,0.09716427076636697,0.00019996000799840029,4.0,3.0,2.0,0.17128427200584337,5.0,True,True,,,,,,,,,
IXAZOMIB,CTRPv2;PRISM,2,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,ixazomib,tested,0.2259096459096459,0.056884964470520535,4.0,3.0,3.0,0.2490842490842491,6.0,True,True,Ixazomib,tested,PRISM;CTRPv2,0,2,Level1_independent_external_platforms,True,,,,,,,,,,0.09961685823754789,0.00019996000799840029,4.0,3.0,2.0,0.1330049261083744,4.0,True,True,,,,,,,,,
NILOTINIB,CTRPv2;GDSC1;GDSC2;PRISM,4,Nilotinib,tested,Nilotinib,tested,nilotinib,tested,0.1529933110367893,0.0003439312137572485,4.0,3.0,3.0,0.2452173913043478,6.0,True,True,Nilotinib,tested,PRISM;CTRPv2,0,2,Level1_independent_external_platforms,True,0.0276288434183171,0.0006043235797284,4.0,2.0,2.0,0.0666374876901192,1.0,False,False,0.1969005750696271,0.00019996000799840029,4.0,3.0,2.0,0.24515288990882425,6.0,True,True,0.0096928912718386,0.0002492038905651,4.0,2.0,2.0,0.1083451872925556,3.0,True,False
CHIR99021,CTRPv2;GDSC1;PRISM,3,CHIR-99021,tested,,not_tested_or_name_unmatched,CHIR-99021,tested,0.09875494071146246,0.0003439312137572485,4.0,3.0,2.0,0.04434782608695652,4.0,True,True,CHIR-99021,tested,GDSC1;PRISM,1,1,Level1_GDSC_plus_independent_external,True,,,,,,,,,,0.02675235507976542,0.00019996000799840029,4.0,2.0,2.0,0.05696691449362745,4.0,True,False,0.1012692854798118,0.0439870646560343,4.0,3.0,3.0,0.1538461538461538,6.0,True,True
CISPLATIN,GDSC1;GDSC2;PRISM,3,Cisplatin,tested,Cisplatin,tested,cisplatin,tested,0.11822742474916387,0.0003439312137572485,4.0,3.0,3.0,0.1226086956521739,6.0,True,True,,not_tested_or_name_unmatched,GDSC1;PRISM,1,1,Level1_GDSC_plus_independent_external,True,0.0442728442728442,0.0006043235797284,4.0,2.0,2.0,0.1809523809523809,1.0,True,False,,,,,,,,,,0.0486814749972644,0.0608937036122187,4.0,3.0,3.0,0.0795491848123427,4.0,True,True
GEMCITABINE,GDSC1;GDSC2;PRISM,3,Gemcitabine,tested,Gemcitabine,tested,gemcitabine,tested,0.17029926595143988,0.0003439312137572485,4.0,4.0,3.0,0.174025974025974,6.0,True,True,,not_tested_or_name_unmatched,GDSC2;PRISM,1,1,Level1_GDSC_plus_independent_external,True,0.2090600722179669,0.0437355827803511,4.0,3.0,3.0,0.269942006784112,6.0,True,True,,,,,,,,,,0.0361719006455848,0.065726537232236,4.0,3.0,3.0,0.0564777327935222,3.0,True,False
MASITINIB,CTRPv2;GDSC1;PRISM,3,Masitinib,tested,,not_tested_or_name_unmatched,masitinib,tested,0.10566064370412198,0.0003439312137572485,4.0,3.0,3.0,0.1057312252964427,6.0,True,True,Masitinib,tested,GDSC1;PRISM,1,1,Level1_GDSC_plus_independent_external,True,,,,,,,,,,-0.026476821211004895,0.00019996000799840029,4.0,2.0,2.0,0.009399381691875654,3.0,True,False,0.1509373746215851,0.0002492038905651,4.0,3.0,3.0,0.1647700331910858,4.0,True,True
RAPAMYCIN,CTRPv2;GDSC2,2,,not_tested_or_name_unmatched,Rapamycin,tested,,not_tested_or_name_unmatched,,,,,,,,,,Rapamycin,tested,GDSC2;CTRPv2,1,1,Level1_GDSC_plus_independent_external,True,0.055361376414008,0.0006043235797284,4.0,4.0,3.0,0.0661518661518661,6.0,True,True,0.10255911323004784,0.00019996000799840029,4.0,3.0,2.0,0.011331444845157655,6.0,True,True,,,,,,,,,
