r3_rank,gene,median_background_vulnerability_rho,n_positive_backgrounds,n_resampling_supported_backgrounds,tier1_flag,tier2_flag,tier3_flag,observed_global_T_median_vulnerability_rho,global_empirical_p_value,n_permutations,permutation_unit,self_line_exclusion,global_empirical_q_value,cross_method_stable_flag,n_models_top500,n_models_direction_ge3of4,median_rank_percentile,leave_HCT116_out_median_vulnerability_rho,leave_HCT116_out_n_positive_backgrounds,adjusted_partial_rho_median,adjusted_partial_rho_min,adjusted_positive_fraction,adjusted_audit_n,final_shortlist_flag,previous_19_reclassified_as_internal_stability
2,ADAMTS9,0.2630952380952381,3,2,False,True,True,0.2630952380952381,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,6,6,0.001328417285691,0.1292929292929293,2,0.2968275691167537,-0.27629083561942297,0.8333333333333334,6.0,True,True
4,MALT1,0.2232683982683982,3,2,False,True,True,0.22326839826839823,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,6,6,0.0024670606734262,0.1808802308802309,2,0.12901422019465675,-0.019757080254866607,0.8333333333333334,6.0,True,True
5,STK10,0.236075036075036,3,2,False,True,True,0.23607503607503605,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,6,6,0.0042292468687306,0.1312409812409812,2,0.2829909230005541,-0.16352463785720356,0.8333333333333334,6.0,True,True
6,MOB4,0.2508658008658008,3,2,False,True,True,0.25086580086580085,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,5,6,0.0064794230873502,0.0892496392496392,2,0.27261870033240415,-0.1858511453506564,0.6666666666666666,6.0,True,True
7,TRMU,0.230050505050505,3,2,False,True,True,0.230050505050505,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,5,6,0.0067505286558585,0.1155844155844155,2,0.2492422013723103,-0.25781384470872143,0.6666666666666666,6.0,True,True
13,ENTPD2,0.1983044733044732,3,2,False,True,False,0.19830447330447326,0.005994005994005994,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.07757715968242285,True,6,5,0.0071029658949194,0.0279942279942279,2,0.2679552303488539,-0.14198271196609674,0.6666666666666666,6.0,True,True
14,C16ORF86,0.3196969696969697,3,1,False,True,False,0.3196969696969697,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,6,6,5.422111370167543e-05,0.2994949494949495,2,0.3453462806205308,-0.1494159341411724,0.8333333333333334,6.0,False,True
18,JDP2,0.2406204906204906,3,1,False,True,False,0.2406204906204906,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,6,6,0.0010030906034809,0.1899711399711399,2,0.2921066080416542,-0.13877815871606333,0.8333333333333334,6.0,False,True
21,PPP6R2,0.2486291486291486,3,1,False,True,False,0.2486291486291486,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,6,6,0.0020604023206636,0.2812409812409812,2,0.19639561800349428,-0.2563974647562345,0.8333333333333334,6.0,False,True
23,TJP1,0.2758658008658008,3,1,False,True,False,0.2758658008658008,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,6,6,0.0032261562652496,0.2865079365079365,2,0.2564933129233659,-0.09136907293363235,0.8333333333333334,6.0,False,True
24,PLXDC2,0.233008658008658,3,0,False,True,False,0.233008658008658,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,6,6,0.0036870357317139,0.2494949494949495,2,0.180411865219676,-0.4385268940110172,0.6666666666666666,6.0,False,True
29,HS3ST3B1,0.2839826839826839,3,1,False,True,False,0.28398268398268395,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,5,5,0.0072927397928753,0.3213564213564213,2,0.2910449286851392,-0.12262672297963143,0.8333333333333334,6.0,False,True
1288,SOD2,0.2523809523809524,3,0,False,True,False,0.2523809523809524,0.001998001998001998,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.02800087450543378,True,6,6,0.0006235428075692,0.2767676767676768,2,0.23586887600235623,-0.30967732016835403,0.8333333333333334,6.0,False,True
1371,REEP3,0.2065295815295815,3,0,False,True,False,0.2065295815295815,0.004995004995004995,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.06584909015216378,True,4,6,0.0057203274955267,0.1334054834054834,2,0.14444666625418162,-0.2715317665602404,0.6666666666666666,6.0,False,True
1552,IL15,0.1869408369408369,3,1,False,True,False,0.18694083694083696,0.011988011988011988,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.1410943874249554,True,6,5,0.0081602776121021,0.0795093795093795,2,0.22452334125479684,-0.3532072734323284,0.8333333333333334,6.0,False,True
1570,CLTA,0.1759740259740259,3,1,False,True,False,0.17597402597402595,0.012987012987012988,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.15026316218286107,True,5,5,0.0114677655479043,0.0354256854256854,2,0.18582428501985324,-0.325108667257597,0.6666666666666666,6.0,False,True
1614,SMARCA2,0.1806277056277055,3,1,False,True,False,0.18062770562770558,0.014985014985014986,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.1686202753926976,True,6,5,0.0069131919969636,0.0512265512265512,2,0.22793795648434179,-0.3239377282483782,0.8333333333333334,6.0,False,True
1725,MSL1,0.1724747474747474,3,2,False,True,False,0.17247474747474745,0.01998001998001998,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.2102062227561372,True,6,6,0.0101664588190641,0.0219336219336219,2,0.2167289935142818,-0.40602086552581906,0.8333333333333334,6.0,False,True
1946,SIMC1,0.1662698412698412,3,2,False,True,False,0.16626984126984126,0.028971028971028972,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.2717765449199834,True,5,5,0.016022339098845,0.0115440115440115,2,0.20074119490690118,-0.31567546941120633,0.6666666666666666,6.0,False,True
