database,signature_size,scoring_method,DRUG_NAME,drug_key,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,median_background_rho,IQR_background_rho,min_background_rho,max_background_rho,leave_HCT116_out_median_rho,primary_discovery_gate,tested_status,rank_within_database_signature,global_empirical_p_value,global_empirical_q_value,global_null_permutations,global_null_unit
PRISM,500,weighted,vemurafenib,VEMURAFENIB,4,1,0,-0.221265243436008,0.3546126462344919,-0.3927562949192331,0.03945018784522076,-0.38563926046492697,none,tested,1288.0,0.041991601679664065,0.06703569465747569,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,venetoclax,VENETOCLAX,4,4,3,0.07207660869901744,0.08291193814734724,0.010124384491251342,0.2591274248945993,0.05830249000134394,none,tested,297.0,0.05538892221555689,0.0843810666438141,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,verubulin,VERUBULIN,4,2,2,0.018931623931623936,0.29717948717948717,-0.3276923076923077,0.4623076923076923,0.08538461538461539,none,tested,500.0,0.09278144371125775,0.11835183202593931,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,vidarabine,VIDARABINE,4,2,1,0.039280936454849494,0.19564381270903008,-0.44260869565217387,0.09043478260869564,-0.002307692307692308,none,tested,411.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,vinblastine,VINBLASTINE,4,2,2,0.03991638795986621,0.3594732441471572,-0.16869565217391302,0.2773913043478261,0.2052173913043478,none,tested,408.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,vincamine,VINCAMINE,4,3,3,0.20538461538461536,0.22525641025641024,-0.3627350427350427,0.2547008547008547,0.2526495726495726,TierA_strong_collateral,tested,41.0,0.12577484503099381,0.1477161836355196,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,vincristine,VINCRISTINE,4,3,3,0.09773504273504274,0.31512820512820516,-0.4130769230769231,0.3123076923076923,0.18692307692307694,none,tested,223.0,0.06778644271145771,0.09736996566204001,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,vindesine,VINDESINE,4,2,2,-0.0011111111111111044,0.31435897435897436,-0.2630769230769231,0.31384615384615383,0.11230769230769232,none,tested,586.0,0.10937812437512498,0.13006337180378374,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,vinflunine,VINFLUNINE,4,2,2,-0.036538461538461534,0.33786324786324784,-0.21914529914529915,0.31769230769230766,0.09923076923076923,none,tested,741.0,0.09658068386322735,0.12145476565064346,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,vinorelbine,VINORELBINE,4,2,2,0.07543345543345545,0.3724908424908425,-0.38051282051282054,0.27589743589743587,0.21435897435897436,none,tested,284.0,0.3369326134773045,0.37584198641443256,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,vismodegib,VISMODEGIB,4,3,3,0.11188945312942877,0.15667875623573424,-0.028346282043428882,0.249239308112641,0.1700776922605733,TierB_moderate_candidate,tested,182.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,volasertib,VOLASERTIB,4,1,1,-0.1461415117402547,0.2126319734257071,-0.210043850465609,0.3008594032774726,-0.08953740508029688,none,tested,1149.0,0.3379324135172965,0.37664206289176944,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,voreloxin,VORELOXIN,4,1,1,-0.1976923076923077,0.11899572649572651,-0.28136752136752136,0.1346153846153846,-0.18769230769230769,none,tested,1254.0,0.02959408118376325,0.04937285383974519,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,vorinostat,VORINOSTAT,4,2,1,-0.09539146184692282,0.30842612779032585,-0.24060495602089105,0.23232013687526498,-0.22218803155778072,none,tested,969.0,0.5176964607078585,0.560137485489915,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,voxtalisib,VOXTALISIB,4,2,2,-0.05956521739130434,0.20360367892976589,-0.25217391304347825,0.11615384615384615,0.014782608695652172,none,tested,843.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,500,weighted,xanomeline,XANOMELINE,4,0,0,-0.16495726495726495,0.13615384615384615,-0.23965811965811962,-0.03863247863247863,-0.10769230769230768,none,tested,1194.0,0.13437312537492502,0.1569845540094435,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
