gene,n_trajectories,median_vulnerability_rho,mean_vulnerability_rho,n_positive,min_p_BH,n_bootstrap_supported,directional_convergence_fraction,strict_convergent_vulnerability,exploratory_convergent_signal,convergent_vulnerability
A1BG,6,0.039849624060150385,0.022157666894509,3,0.5949279908994246,0,0.5,False,False,False
A1CF,6,0.1196514012303486,0.07425381635907952,4,0.5193946045994392,0,0.6666666666666666,False,False,False
A2M,6,-0.026896787423103214,-0.02578035999088631,2,0.7290126480380646,0,0.3333333333333333,False,False,False
A2ML1,6,0.08147641831852359,0.0899293688767373,5,0.7362824318873903,0,0.8333333333333334,False,False,False
A3GALT2,6,0.03332194121667805,0.03246753246753246,3,0.31953153397368034,0,0.5,False,False,False
A4GALT,6,0.03639781271360219,0.012257917521075414,4,0.9117768382059633,0,0.6666666666666666,False,False,False
A4GNT,6,0.04330143540669857,0.036887673729779,4,0.8355137821549257,0,0.6666666666666666,False,False,False
AAAS,6,0.005468215994531775,-0.031704260651629075,3,0.5248296719083715,0,0.5,False,False,False
AACS,6,-0.005844155844155843,-0.03538391433128275,3,0.3679427743276327,0,0.5,False,False,False
AADAC,6,-0.07648667122351333,-0.056744133059922534,2,0.6226336819722273,0,0.3333333333333333,False,False,False
AADACL2,6,0.0527341079972659,0.05397584871269081,5,0.7627916906009975,0,0.8333333333333334,False,False,False
AADACL3,6,-0.027614490772385508,-0.02271588061061745,3,0.46937050311101153,0,0.5,False,False,False
AADACL4,6,0.019343814080656187,0.011244019138755985,5,0.9383294903876245,0,0.8333333333333334,False,False,False
AADAT,6,-0.02566643882433357,0.014069264069264073,3,0.43470952482839564,0,0.5,False,False,False
AAGAB,6,-0.049419002050581,-0.030416951469583054,2,0.788857790187436,0,0.3333333333333333,False,False,False
AAK1,6,-0.004032809295967191,0.03794714057871953,3,0.7827894251320439,0,0.5,False,False,False
AAMDC,6,-0.03205741626794259,0.043859649122807015,2,0.7509288637370588,0,0.3333333333333333,False,False,False
AAMP,6,0.1165755297334245,0.029847345636819327,4,0.4565991160273164,0,0.6666666666666666,False,False,False
AANAT,6,0.03609022556390978,0.038926862611073136,3,0.7174242571088951,0,0.5,False,False,False
AAR2,6,0.007963089542036915,0.026862611073137404,3,0.7655439254241376,0,0.5,False,False,False
AARD,6,0.0900205058099795,0.08597630439735704,5,0.870888249434831,0,0.8333333333333334,False,False,False
AARS1,6,0.0330827067669173,0.02642971064023696,4,0.7611647094842164,0,0.6666666666666666,False,False,False
AARS2,6,0.02590567327409433,0.07000455684666211,3,0.4353801622315571,0,0.5,False,False,False
AARSD1,6,-0.02177033492822967,0.035794030530872635,3,0.5344204121574556,0,0.5,False,False,False
AASDH,6,0.021428571428571432,-0.0274436090225564,3,0.5870781961694861,0,0.5,False,False,False
AASDHPPT,6,-0.01452494873547505,-0.01151742993848257,3,0.8924206534889628,0,0.5,False,False,False
AASS,6,-0.07385509227614491,-0.08271815903394851,1,0.8043752100696208,0,0.16666666666666666,False,False,False
AATF,6,-0.06476418318523582,-0.05035315561631352,2,0.34961200561966504,0,0.3333333333333333,False,False,False
AATK,6,0.05020505809979494,0.02874231032125768,3,0.39147650992939875,0,0.5,False,False,False
ABAT,6,0.051674641148325366,0.055228981544771016,4,0.9503275000409332,0,0.6666666666666666,False,False,False
ABCA1,6,-0.04302802460697198,-0.06782866256550467,2,0.43417973766994916,0,0.3333333333333333,False,False,False
ABCA10,6,0.057928913192071094,-0.007518796992481198,4,0.8013047178071684,0,0.6666666666666666,False,False,False
ABCA12,6,-0.027375256322624747,-0.03388015493278651,3,0.7479070527465447,0,0.5,False,False,False
ABCA13,6,0.035645933014354064,-0.009614946457051727,4,0.4460705009569849,0,0.6666666666666666,False,False,False
ABCA2,6,0.0937799043062201,0.07190704032809297,4,0.7480338131709654,0,0.6666666666666666,False,False,False
ABCA3,6,-0.002118933697881067,-0.015584415584415581,3,0.9023875424197694,0,0.5,False,False,False
ABCA4,6,0.06896787423103214,0.054226475279106866,5,0.8808682313286776,0,0.8333333333333334,False,False,False
ABCA5,6,-0.03380041011619959,-0.02686261107313739,3,0.618179121649314,0,0.5,False,False,False
ABCA6,6,0.03417634996582365,0.03815219867851447,5,0.7834408673310627,0,0.8333333333333334,False,False,False
ABCA7,6,-0.050273410799726595,-0.037411711095921625,2,0.5035550015964814,0,0.3333333333333333,False,False,False
ABCA8,6,-0.07416267942583732,-0.05476190476190477,2,0.648425421650299,0,0.3333333333333333,False,False,False
ABCA9,6,-0.1479494190020506,-0.13941672362724997,1,0.5689638061465974,0,0.16666666666666666,False,False,False
ABCB1,6,0.13318523581681477,0.05087719298245615,4,0.4772669580148448,0,0.6666666666666666,False,False,False
ABCB10,6,0.09251537935748463,0.08950786056049213,5,0.8060692638000957,0,0.8333333333333334,False,False,False
ABCB11,6,-0.02453861927546138,-0.01386420596946912,2,0.48799529153184684,0,0.3333333333333333,False,False,False
ABCB4,6,-0.06784005468215995,-0.038368648894964684,1,0.8614888618964723,0,0.16666666666666666,False,False,False
ABCB5,6,0.0290498974709501,0.05306447938026885,3,0.5402968920658655,0,0.5,False,False,False
ABCB6,6,-0.03465481886534518,-0.028092959671907034,2,0.9469015011422282,0,0.3333333333333333,False,False,False
ABCB7,6,0.04166097060833903,0.0592276144907724,4,0.5947141060593649,0,0.6666666666666666,False,False,False
ABCB8,6,0.05386192754613807,0.02663476874003191,3,0.43701385684458477,0,0.5,False,False,False
ABCB9,6,0.08342447026657554,0.0763271815903395,4,0.7908178180302059,0,0.6666666666666666,False,False,False
ABCC1,6,0.0860902255639098,0.034210526315789476,3,0.44114703616496753,0,0.5,False,False,False
ABCC10,6,-0.03998632946001367,-0.006163135110503533,2,0.8664862561015239,0,0.3333333333333333,False,False,False
ABCC11,6,-0.04678742310321258,-0.04805194805194806,3,0.7742408508562192,0,0.5,False,False,False
ABCC12,6,-0.047676008202324,0.010252904989747088,2,0.8548735759664978,0,0.3333333333333333,False,False,False
ABCC2,6,-0.0872863978127136,-0.06244019138755982,2,0.8036769285164994,0,0.3333333333333333,False,False,False
ABCC3,6,0.08684210526315789,0.031339712918660285,3,0.4296435406033076,0,0.5,False,False,False
ABCC4,6,0.14258373205741626,0.14347231715652767,5,0.8511353091400456,0,0.8333333333333334,False,False,False
ABCC5,6,0.10352016404647985,0.11100478468899522,6,0.840603792330019,0,1.0,False,False,False
ABCC6,6,-0.009768009768009766,0.02065527065527066,3,0.7785020112929211,0,0.5,False,False,False
ABCC8,6,-0.030792891319207108,0.008703577124629755,2,0.7218449839518322,0,0.3333333333333333,False,False,False
ABCC9,6,-0.04586466165413534,-0.04890635680109365,3,0.8233414772583979,0,0.5,False,False,False
ABCD1,6,0.006869446343130553,-0.022191843244474815,3,0.6749604047596062,0,0.5,False,False,False
ABCD2,6,-0.04237867395762132,0.011232627022100714,3,0.5143549668474418,0,0.5,False,False,False
ABCD3,6,-0.002358168147641837,0.044497607655502404,3,0.6793034125899088,0,0.5,False,False,False
ABCD4,6,0.07522214627477786,0.06814764183185236,3,0.3636502405901806,0,0.5,False,False,False
ABCE1,6,0.031134654818865348,-0.011198450672134883,5,0.908034935431455,0,0.8333333333333334,False,False,False
ABCF1,6,-0.03438140806561861,-0.05677830940988837,3,0.15009844053296784,1,0.5,False,False,False
ABCF3,6,-0.029562542720437453,-0.036614262930052405,3,0.6033784722127042,0,0.5,False,False,False
ABCG1,6,-0.0595352016404648,-0.02718159033948508,2,0.7870933165377034,0,0.3333333333333333,False,False,False
ABCG2,6,0.11295283663704717,0.08708133971291866,4,0.8783762652593644,0,0.6666666666666666,False,False,False
ABCG4,6,-0.03421052631578948,-0.03986101617680565,2,0.6968226655454365,0,0.3333333333333333,False,False,False
ABCG5,6,-0.019548872180451128,0.01940077466393256,3,0.6915581296314459,0,0.5,False,False,False
ABCG8,6,0.022385509227614495,0.007871952608794721,3,0.65666788255725,0,0.5,False,False,False
ABHD1,6,0.009159261790840739,0.03197767145135566,3,0.8604878956436962,0,0.5,False,False,False
ABHD10,6,-0.10181134654818866,-0.08753702437912965,3,0.5347868628688751,0,0.5,False,False,False
ABHD11,6,-0.04217361585782639,-0.0398382319434951,3,0.28283744317973786,0,0.5,False,False,False
ABHD12,6,-0.10054682159945319,-0.09526087947140581,3,0.46933575287404206,0,0.5,False,False,False
ABHD12B,6,-0.06842105263157895,-0.004408749145591249,2,0.679393641720172,0,0.3333333333333333,False,False,False
ABHD13,6,-0.07388926862611073,-0.016017316017316013,3,0.3945448068706937,1,0.5,False,False,False
ABHD14A,6,0.12669172932330827,0.07362724994303943,4,0.7857472145906089,0,0.6666666666666666,False,False,False
ABHD14B,6,-0.05205058099794942,-0.04733424470266575,2,0.6223505471095198,0,0.3333333333333333,False,False,False
ABHD15,6,-0.04309637730690363,-0.022260195944406477,2,0.9196265030456859,0,0.3333333333333333,False,False,False
ABHD16A,6,-0.07077922077922079,-0.07768284347231717,1,0.6146213745363588,0,0.16666666666666666,False,False,False
ABHD16B,6,-0.044087491455912516,-0.022043745727956258,2,0.7846027221438455,0,0.3333333333333333,False,False,False
ABHD17A,6,0.030963773069036225,0.0017771701982228216,4,0.7742408508562192,0,0.6666666666666666,False,False,False
ABHD17B,6,0.0095352016404648,0.005969469127363863,3,0.9081653294270845,0,0.5,False,False,False
ABHD17C,6,0.20379357484620642,0.13631806789701525,4,0.48799529153184684,0,0.6666666666666666,False,False,False
ABHD18,6,-0.01985645933014354,0.010298473456368196,2,0.6644258469516785,0,0.3333333333333333,False,False,False
ABHD2,6,-0.06701982228298017,-0.07183868762816131,2,0.9198605263345744,0,0.3333333333333333,False,False,False
ABHD3,6,-0.023342447026657553,-0.01881977671451356,2,0.7242925531006861,0,0.3333333333333333,False,False,False
ABHD4,6,0.01920710868079289,0.038790157211209854,3,0.7266658712616086,0,0.5,False,False,False
ABHD5,6,0.031203007518797,0.02758031442241969,3,0.7682460571265443,0,0.5,False,False,False
ABHD6,6,0.09678742310321259,0.09283435862383231,6,0.7611647094842164,0,1.0,False,False,False
ABHD8,6,0.002836637047163363,0.02787650945545683,3,0.9026826194274744,0,0.5,False,False,False
ABI1,6,-0.1433356117566644,-0.061050353155616355,2,0.29196958119779126,0,0.3333333333333333,False,False,False
ABI2,6,-0.04866712235133289,-0.025609478241057183,2,0.7710300266000321,0,0.3333333333333333,False,False,False
ABI3,6,-0.04169514695830486,0.009409888357256785,2,0.8921054195077128,0,0.3333333333333333,False,False,False
ABI3BP,6,0.003725222146274778,0.013214855320118476,4,0.875410768567274,0,0.6666666666666666,False,False,False
ABITRAM,6,-0.02946001367053999,0.019195716564137617,2,0.7431184482243092,0,0.3333333333333333,False,False,False
ABL1,6,0.009876965140123038,0.007644110275689228,3,0.8147842036264527,0,0.5,False,False,False
ABL2,6,-0.03277511961722488,-0.003440419229892915,2,0.7822296542319599,0,0.3333333333333333,False,False,False
ABLIM1,6,0.025768967874231035,0.05276828434723171,4,0.24369884596325617,0,0.6666666666666666,False,False,False
ABLIM2,6,0.003383458646616542,0.003964456596035543,3,0.5590389764068017,0,0.5,False,False,False
ABLIM3,6,-0.03157894736842106,-0.05434039644565961,2,0.8405002061792706,0,0.3333333333333333,False,False,False
ABR,6,0.004032809295967192,0.08063340168603328,3,0.94423879789487,0,0.5,False,False,False
ABRA,6,0.008851674641148326,-0.018272955115060385,3,0.6951778359579593,0,0.5,False,False,False
ABRACL,6,0.06206425153793575,0.0936431989063568,6,0.8977032085085528,0,1.0,False,False,False
ABRAXAS1,6,0.009227614490772385,0.010332649806334016,4,0.9655317171714034,0,0.6666666666666666,False,False,False
ABRAXAS2,6,-0.04470266575529733,-0.02473228525860104,3,0.7547291359709686,0,0.5,False,False,False
ABT1,6,-0.045522898154477104,-0.02120072909546594,2,0.5402968920658655,0,0.3333333333333333,False,False,False
ABTB1,6,0.09654818865345183,0.0819662793347004,5,0.5697606453386467,0,0.8333333333333334,False,False,False
ABTB2,6,0.0033492822966507177,0.018967874231032123,4,0.9528528483015051,0,0.6666666666666666,False,False,False
ABTB3,6,-0.010731373889268623,-0.02285258601048075,3,0.9119271826797309,0,0.5,False,False,False
ACAA1,6,0.0011278195488721803,0.032638414217361585,3,0.8373116545738647,0,0.5,False,False,False
ACAA2,6,0.02488038277511962,0.04732285258601049,6,0.970856293128378,0,1.0,False,False,False
ACACA,6,-0.07149692412850309,-0.02906128958760538,2,0.6389502327648586,0,0.3333333333333333,False,False,False
ACACB,6,-0.05731373889268626,-0.014376851218956486,2,0.8740270307571749,0,0.3333333333333333,False,False,False
ACAD10,6,-0.020676691729323307,-0.07008430166324904,3,0.47695775274524366,0,0.5,False,False,False
ACAD11,6,-0.0005468215994531705,-0.025985418090681247,3,0.7700503009172851,0,0.5,False,False,False
ACAD8,6,-0.0027341079972658918,0.01582365003417635,3,0.9576002041523111,0,0.5,False,False,False
ACAD9,6,0.017088174982911826,0.021884256094782405,3,0.6426844885037774,0,0.5,False,False,False
ACADL,6,-0.09005468215994533,-0.07482342219184325,2,0.7517579924543089,0,0.3333333333333333,False,False,False
ACADM,6,-0.12467532467532469,-0.09687856003645479,2,0.7149291802242402,0,0.3333333333333333,False,False,False
ACADS,6,-0.02259056732740944,-0.006254272043745734,3,0.7823565958278178,0,0.5,False,False,False
ACADSB,6,0.004887218045112787,-0.0022784233310549074,3,0.890503853946047,0,0.5,False,False,False
ACADVL,6,0.0689336978810663,0.04764183185235818,5,0.6575079754697307,0,0.8333333333333334,False,False,False
ACAN,6,-0.0234107997265892,0.015311004784688992,2,0.26661383595343874,0,0.3333333333333333,False,False,False
ACAP1,6,-0.019822282980177717,0.00615174299384826,2,0.7946654878958741,0,0.3333333333333333,False,False,False
ACAP2,6,0.02518796992481203,0.09044201412622466,4,0.3744568829839872,0,0.6666666666666666,False,False,False
ACAP3,6,0.11520847573479154,0.09355206197311461,4,0.43417973766994916,0,0.6666666666666666,False,False,False
ACAT1,6,0.11404647983595353,0.04014581909318752,4,0.7799834939714164,0,0.6666666666666666,False,False,False
ACAT2,6,-0.00037593984962405996,0.009295967190704033,3,0.9469015011422282,0,0.5,False,False,False
ACBD3,6,0.06883116883116884,0.0805764411027569,5,0.7827894251320439,0,0.8333333333333334,False,False,False
ACBD4,6,0.18257006151742994,0.11534518113465482,4,0.38306188339434666,0,0.6666666666666666,False,False,False
ACBD5,6,-0.029630895420369105,-0.040647072226019605,3,0.46933575287404206,0,0.5,False,False,False
ACBD6,6,-0.07863978127136023,-0.07337662337662339,1,0.8038069902144732,0,0.16666666666666666,False,False,False
ACBD7,6,-0.07423103212576897,-0.0741285030758715,1,0.850583490075022,0,0.16666666666666666,False,False,False
ACCS,6,-0.032809295967190705,-0.022579175210754157,2,0.9153070489696338,0,0.3333333333333333,False,False,False
