module,tier,drug,n_pairs,n_datasets,n_trajectories,median_rho_state_vs_lnIC50,mean_rho_state_vs_lnIC50,fraction_negative_rho,min_pairwise_p,putative_target,pathway,drug_sensitivity_score,within_module_min_p_BH
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,ERK_6604,5,1,5,0.012145748987854251,0.004493927125506074,0.4,0.5325016125554518,"ERK1,ERK2",ERK MAPK signaling,-0.004858299595141701,0.5396104489111543
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,993-D2,5,1,5,0.013136288998357963,-0.09425287356321839,0.4,0.0635946933811006,"MKNK1, MKNK2","Other, kinases",-0.005254515599343186,0.10788010692371522
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,ABT737,5,1,5,0.013239960608381663,0.044534412955465584,0.4,0.21309576101541544,"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",Apoptosis regulation,-0.005295984243352665,0.24558569767247432
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,VTP-B,5,1,5,0.027654698242933536,0.08131398013750954,0.2,0.07528488915568052,,Unclassified,-0.005530939648586707,0.1213054326834476
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Selumetinib,10,2,5,0.0111336032388664,0.008201342944603538,0.5,0.14411241840670233,"MEK1, MEK2",ERK MAPK signaling,-0.0055668016194332,0.18944701550139384
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Bromosporine,5,1,5,0.013967611336032389,0.002914979757085025,0.4,0.5333114942546039,"CECR2, BRD2, BRD4, BRD9",Chromatin other,-0.005587044534412956,0.5396104489111543
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,AZD1208,10,2,5,0.014068825910931174,-0.0411336032388664,0.4,0.017229755680312157,"PIM1, PIM2, PIM3","Other, kinases",-0.00562753036437247,0.05066913851046483
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Gefitinib,10,2,5,0.018929861035124194,0.02560455192034139,0.3,0.09557980631463378,EGFR,EGFR signaling,-0.005678958310537258,0.14157930964184948
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,GSK1059615,5,1,5,0.014553014553014552,0.03289200131305394,0.4,0.1339005385274999,PI3K,PI3K/MTOR signaling,-0.0058212058212058215,0.18016983456318048
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Dyrk1b_0191,5,1,5,0.014979757085020244,-0.012226720647773286,0.4,0.022417149398415354,DYRK1B,"Other, kinases",-0.005991902834008098,0.05844144483342196
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,ZL049,5,1,5,0.015428383849436482,0.011708064339643286,0.4,0.5118711804317132,,Unclassified,-0.006171353539774593,0.5199640054187759
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,GSK626616AC,5,1,5,0.015587044534412954,-0.042064777327935225,0.4,0.21463094414731526,DYRK1A,"Other, kinases",-0.006234817813765182,0.2468015778338256
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Bleomycin,10,2,5,0.01646369335248792,0.004323658090636019,0.4,0.02170498041167869,dsDNA break induction,DNA replication,-0.006585477340995168,0.05840384847948729
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,AZD5363,5,1,5,0.01674143779406937,-0.0024729182623919486,0.4,0.5656773537474473,"AKT1, AKT2, AKT3, ROCK2","Other, kinases",-0.0066965751176277484,0.5701140388748783
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,720427,5,1,5,0.0340080971659919,0.08635627530364373,0.2,0.049414322416165536,,Unclassified,-0.006801619433198381,0.09269694059090908
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Shikonin,5,1,5,0.017130144605116793,-0.04035595105672971,0.4,0.05598142838259431,not defined,Other,-0.006852057842046718,0.10149529346568417
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,CI-1033,5,1,5,0.034467666046613415,0.026720647773279354,0.2,0.7835994002954219,"EGFR, ERBB2, ERBB4",RTK signaling,-0.006893533209322684,0.7835994002954219
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Embelin,5,1,5,0.036290322580645164,0.02467741935483871,0.2,0.3520625474944133,XIAP,Apoptosis regulation,-0.0072580645161290334,0.36780518173196836
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,N30652-18-1,5,1,5,0.039495798319327736,-0.0034733893557423014,0.2,0.14355539377156898,,Unclassified,-0.007899159663865547,0.1891986471758627
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,BAY-MPS-combo-1 (paclitaxel 5 uM),5,1,5,0.019762845849802375,0.009486166007905144,0.4,0.04491411963054424,TTK and microtubules,Mitosis,-0.00790513833992095,0.08744642988674144
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,THR-103,5,1,5,0.02084942084942085,-0.025019305019305015,0.4,0.03176117818773452,Mutant RAS,PI3K/MTOR signaling,-0.008339768339768341,0.0709793286456328
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Acetalax,5,1,5,0.042105263157894736,0.01757085020242914,0.2,0.11090982299580128,,Unclassified,-0.008421052631578947,0.1566144203841809
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,GSK2110183B,5,1,5,0.04392712550607288,0.034251012145749,0.2,0.19961860523027788,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,-0.008785425101214576,0.23641466149392357
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,SCH772984,5,1,5,0.02213883677298312,0.042439024390243905,0.4,0.2107262885615033,"ERK1, ERK2",ERK MAPK signaling,-0.00885553470919325,0.24532415509173702
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,BMS-536924,10,2,5,0.022267206477732792,0.009050224313382213,0.4,0.15330951743762802,"IGF1R, IR",IGF1R signaling,-0.008906882591093117,0.19651145127915412
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,BAY-61-3606,5,1,5,0.04637096774193549,0.06185483870967744,0.2,0.15765204586475257,SYK,"Other, kinases",-0.009274193548387098,0.1986106656237324
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Ribociclib,5,1,5,0.023684210526315794,0.013400809716599188,0.4,0.753115368772429,"CDK4, CDK6",Cell cycle,-0.009473684210526318,0.7545834299201335
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,SB505124,10,2,5,0.02388663967611336,0.026219018465488297,0.4,0.09779264460860772,"TGFBR1, ACVR1B, ACVR1C",RTK signaling,-0.009554655870445345,0.14361548379664105
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Thapsigargin,5,1,5,0.05080645161290323,0.06870967741935483,0.2,0.058774520251631185,SERCA,Other,-0.010161290322580646,0.10417277037702907
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Tipifarnib,5,1,5,0.051209677419354845,0.0228225806451613,0.2,0.17859360537136568,Farnesyl-transferase (FNTA),Other,-0.01024193548387097,0.21908618892811924
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Pictilisib,10,2,5,0.020748987854251014,0.010829959514170037,0.5,0.15492498411182934,PI3K (class 1),PI3K/MTOR signaling,-0.010374493927125507,0.19759662985975257
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,AR-42,5,1,5,0.026789947842579417,0.03859649122807017,0.4,0.2950245055847612,HDAC1,Chromatin histone acetylation,-0.010715979137031768,0.31857688208102364
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,AST-1306,5,1,5,0.054601159864317766,0.02479483532115111,0.2,0.437036681586694,"EGFR, ERBB4",RTK signaling,-0.010920231972863554,0.4501740567846908
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Afuresertib,5,1,5,0.02746471167523799,0.03573695152642521,0.4,0.34240219159838825,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,-0.010985884670095196,0.3591729111868807
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Lapatinib,5,1,5,0.05506072874493927,0.07566801619433197,0.2,0.18159677112902067,"EGFR, ERBB2",EGFR signaling,-0.011012145748987855,0.22061938225342642
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,NVP-ADW742,5,1,5,0.056789583105372576,0.0114892220155378,0.2,0.22469816688172167,IGF1R,IGF1R signaling,-0.011357916621074516,0.25608615915123045
