cohort,scope,proxy,gene,n,spearman_rho,spearman_p,spearman_fdr_within_cohort_scope
TCGA-COAD,right,AA_routing_proxy_core,GCH1,200,0.20808520213005327,0.003108923163390134,0.006217846326780268
TCGA-COAD,right,AA_routing_proxy_core,SCD,200,-0.17181429535738396,0.014986340277825026,0.019981787037100036
TCGA-COAD,right,AA_routing_proxy_core,MBOAT1,200,0.13749493737343438,0.0521958416173331,0.0521958416173331
TCGA-COAD,right,AA_routing_proxy_core,MBOAT2,200,0.3750153753843846,4.46819067313356e-08,1.787276269253424e-07
TCGA-COAD,right,AA_routing_proxy_core,GPX4,200,-0.15207080177004428,0.03158339794310588,0.03609531193497815
TCGA-COAD,right,AA_routing_proxy_core,SLC7A11,200,0.19639540988524717,0.005315937754746398,0.008505500407594237
TCGA-COAD,right,AA_routing_proxy_core,DHODH,200,-0.37882664684638867,3.1770594929978334e-08,1.787276269253424e-07
TCGA-COAD,all_side_known,AA_routing_proxy_expanded,AIFM2,335,-0.1799094774204257,0.0009409755140866431,0.0012546340187821908
TCGA-COAD,all_side_known,AA_routing_proxy_expanded,GCH1,335,0.2345198915484517,1.4443460197178349e-05,3.851589385914226e-05
TCGA-COAD,all_side_known,AA_routing_proxy_expanded,SCD,335,-0.1981190071881823,0.00026341412113131983,0.0004214625938101117
TCGA-COAD,all_side_known,AA_routing_proxy_expanded,MBOAT1,335,0.22644563430008133,2.8691121058562233e-05,5.7382242117124466e-05
TCGA-COAD,all_side_known,AA_routing_proxy_expanded,MBOAT2,335,0.33083800416225123,5.353044493136105e-10,2.141217797254442e-09
TCGA-COAD,all_side_known,AA_routing_proxy_expanded,GPX4,335,-0.09539183892343245,0.08126219745602337,0.08126219745602337
TCGA-COAD,all_side_known,AA_routing_proxy_expanded,SLC7A11,335,0.11145292046707235,0.04148454950192713,0.047410913716488146
TCGA-COAD,all_side_known,AA_routing_proxy_expanded,DHODH,335,-0.37051487530600413,2.4322819484946498e-12,1.9458255587957198e-11
TCGA-COAD,right,AA_routing_proxy_expanded,AIFM2,200,-0.17161479036975927,0.015105426277350538,0.02014056836980072
TCGA-COAD,right,AA_routing_proxy_expanded,GCH1,200,0.2565379134478363,0.0002455953089363235,0.000654920823830196
TCGA-COAD,right,AA_routing_proxy_expanded,SCD,200,-0.21121878046951173,0.0026794100159114776,0.004287056025458364
TCGA-COAD,right,AA_routing_proxy_expanded,MBOAT1,200,0.2150738768469212,0.002225137927783771,0.004287056025458364
TCGA-COAD,right,AA_routing_proxy_expanded,MBOAT2,200,0.35649891247281185,2.2033600846360866e-07,8.813440338544346e-07
TCGA-COAD,right,AA_routing_proxy_expanded,GPX4,200,-0.11913447836195906,0.09290970541506496,0.09290970541506496
TCGA-COAD,right,AA_routing_proxy_expanded,SLC7A11,200,0.12677416935423388,0.07363990685117738,0.08415989354420272
TCGA-COAD,right,AA_routing_proxy_expanded,DHODH,200,-0.43812394598836624,8.689630960245563e-11,6.951704768196451e-10
