database,DRUG_NAME,drug_key,n_models_available,n_models_positive_median_rho,n_models_direction_consistent_ge3of4,n_models_top50,n_models_top100,n_models_top200,median_model_rho,median_model_rank,signature_robust_flag,model_combinations
PRISM,1-azakenpaullone,1AZAKENPAULLONE,6,0,0,0,0,0,-0.06380575945793338,881.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
PRISM,1-naphthyl-PP1,1NAPHTHYLPP1,6,2,0,0,0,0,-0.03692687747035574,739.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
PRISM,1-phenylbiguanide,1PHENYLBIGUANIDE,6,2,2,0,0,1,-0.01852766798418972,681.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
PRISM,10-deacetylbaccatin,10DEACETYLBACCATIN,6,4,1,0,0,0,0.021495726495726494,475.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
PRISM,10-hydroxycamptothecin,10HYDROXYCAMPTOTHECIN,6,1,0,0,0,0,-0.04480769230769231,807.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
PRISM,12-O-tetradecanoylphorbol-13-acetate,12OTETRADECANOYLPHORBOL13ACETATE,6,2,0,0,0,0,-0.10897797854319595,1007.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
PRISM,"2,3-DCPE",23DCPE,6,4,3,2,2,2,0.0419017094017094,391.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
PRISM,2-methoxyestradiol,2METHOXYESTRADIOL,6,6,6,2,5,6,0.17724663153892864,64.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
PRISM,3'-fluorobenzylspiperone,3FLUOROBENZYLSPIPERONE,6,3,2,0,0,0,-0.017221908526256352,648.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
PRISM,3-amino-benzamide,3AMINOBENZAMIDE,6,4,2,0,0,0,0.01366125060340342,506.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
PRISM,3-deazaneplanocin-A,3DEAZANEPLANOCINA,6,5,3,0,2,2,0.06034188034188034,313.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
