module,collection,full_direction,full_consistency,full_median_nes,full_n_fdr_qval_025,trajectory_loo_GSE77932|HCT116_consistency,trajectory_loo_GSE77932|HCT116_direction,trajectory_loo_GSE77932|DLD1_consistency,trajectory_loo_GSE77932|DLD1_direction,trajectory_loo_GSE42387|HCT116_consistency,trajectory_loo_GSE42387|HCT116_direction,trajectory_loo_GSE42387|HT29_consistency,trajectory_loo_GSE42387|HT29_direction,trajectory_loo_GSE42387|LoVo_consistency,trajectory_loo_GSE42387|LoVo_direction,trajectory_loo_GSE119603|HCT116_consistency,trajectory_loo_GSE119603|HCT116_direction,trajectory_loo_min_consistency,trajectory_loo_all_same_direction,dataset_loo_GSE119603_n,dataset_loo_GSE119603_consistency,dataset_loo_GSE119603_direction,dataset_loo_GSE42387_n,dataset_loo_GSE42387_consistency,dataset_loo_GSE42387_direction,dataset_loo_GSE77932_n,dataset_loo_GSE77932_consistency,dataset_loo_GSE77932_direction,dataset_loo_min_consistency,dataset_loo_all_same_direction,robust_positive_or_negative
COESSENTIALITY::1010::biological process:positive regulation of cyclin-dependent protein serine/threonine kinase activity,COESSENTIALITY,positive,0.5,-0.06314622083906152,0,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1011::biological process:response to bacterium,COESSENTIALITY,positive,0.8333333333333334,0.8399646762745674,0,0.8,positive,0.8,positive,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
COESSENTIALITY::1012::molecular function:ephrin receptor binding,COESSENTIALITY,positive,0.5,-0.12843179945665123,0,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,positive,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1013::biological process:nucleobase-containing small molecule interconversion,COESSENTIALITY,positive,0.5,-0.19920750302789653,0,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1014::molecular function:aminopeptidase activity,COESSENTIALITY,positive,0.6666666666666666,0.8118871468594612,0,0.6,positive,0.8,positive,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.6,False,5,0.8,positive,3,0.6666666666666666,negative,4,0.75,positive,0.6666666666666666,False,False
COESSENTIALITY::1015::cellular component:cytosolic small ribosomal subunit,COESSENTIALITY,negative,0.8333333333333334,-0.9875473367052701,0,0.8,negative,0.8,negative,0.8,negative,1.0,negative,0.8,negative,0.8,negative,0.8,False,5,0.8,negative,3,1.0,negative,4,0.75,negative,0.75,False,False
COESSENTIALITY::1016::molecular function:peptide hormone binding,COESSENTIALITY,positive,0.6666666666666666,0.8519790388522168,0,0.6,positive,0.6,positive,0.8,positive,0.6,positive,0.6,positive,0.8,positive,0.6,False,5,0.8,positive,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1017::molecular function:histone binding,COESSENTIALITY,positive,0.6666666666666666,1.0927475980028682,1,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,positive,0.6,False,5,0.6,positive,3,1.0,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1018::molecular function:Hsp90 protein binding,COESSENTIALITY,positive,0.5,-0.09766384099981812,0,0.6,negative,0.6,negative,0.6,negative,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,negative,0.6,False,False
COESSENTIALITY::1019::biological process:positive regulation of G2/M transition of mitotic cell cycle,COESSENTIALITY,positive,0.6666666666666666,0.7941019254598837,2,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,positive,0.6,False,5,0.6,positive,3,1.0,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::101::,COESSENTIALITY,positive,0.5,0.03640966864382572,4,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,positive,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1020::,COESSENTIALITY,positive,0.6666666666666666,0.7536146113262501,0,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,positive,0.6,False,5,0.6,positive,3,1.0,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1021::biological process:blood coagulation,COESSENTIALITY,positive,0.6666666666666666,1.089542142892029,2,0.8,positive,0.6,positive,0.8,positive,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,positive,0.6,False,False
COESSENTIALITY::1022::molecular function:cAMP binding,COESSENTIALITY,positive,0.5,0.14310526202399582,1,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1023::biological process:negative regulation of epithelial cell proliferation,COESSENTIALITY,positive,0.5,0.020855001882766316,0,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,positive,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1024::cellular component:high-density lipoprotein particle,COESSENTIALITY,positive,0.5,-0.11519728630291642,0,0.6,negative,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,negative,0.6,False,False
COESSENTIALITY::1025::biological process:activation of protein kinase B activity,COESSENTIALITY,positive,0.5,0.003009424332760302,1,0.6,negative,0.6,negative,0.6,negative,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,negative,0.6,False,False
