module,collection,full_direction,full_consistency,full_median_nes,full_n_fdr_qval_025,trajectory_loo_GSE77932|HCT116_consistency,trajectory_loo_GSE77932|HCT116_direction,trajectory_loo_GSE77932|DLD1_consistency,trajectory_loo_GSE77932|DLD1_direction,trajectory_loo_GSE42387|HCT116_consistency,trajectory_loo_GSE42387|HCT116_direction,trajectory_loo_GSE42387|HT29_consistency,trajectory_loo_GSE42387|HT29_direction,trajectory_loo_GSE42387|LoVo_consistency,trajectory_loo_GSE42387|LoVo_direction,trajectory_loo_GSE119603|HCT116_consistency,trajectory_loo_GSE119603|HCT116_direction,trajectory_loo_min_consistency,trajectory_loo_all_same_direction,dataset_loo_GSE119603_n,dataset_loo_GSE119603_consistency,dataset_loo_GSE119603_direction,dataset_loo_GSE42387_n,dataset_loo_GSE42387_consistency,dataset_loo_GSE42387_direction,dataset_loo_GSE77932_n,dataset_loo_GSE77932_consistency,dataset_loo_GSE77932_direction,dataset_loo_min_consistency,dataset_loo_all_same_direction,robust_positive_or_negative
COESSENTIALITY::178::biological process:response to amino acid,COESSENTIALITY,positive,0.6666666666666666,1.2503410560624455,2,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,positive,0.6,False,5,0.6,positive,3,1.0,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1790::,COESSENTIALITY,negative,0.8333333333333334,-0.6998680383610478,0,1.0,negative,0.8,negative,0.8,negative,0.8,negative,0.8,negative,0.8,negative,0.8,False,5,0.8,negative,3,0.6666666666666666,negative,4,1.0,negative,0.6666666666666666,False,False
COESSENTIALITY::1791::,COESSENTIALITY,negative,0.6666666666666666,-0.8018734881182286,0,0.6,negative,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.8,negative,0.6,False,5,0.8,negative,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1792::,COESSENTIALITY,positive,0.5,-0.02064639223305237,0,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,positive,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1793::molecular function:drug binding,COESSENTIALITY,positive,0.5,-0.13679961249655342,1,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1796::,COESSENTIALITY,positive,0.5,0.05140273474974494,2,0.6,negative,0.6,negative,0.6,negative,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,negative,0.6,False,False
COESSENTIALITY::1797::,COESSENTIALITY,positive,0.6666666666666666,0.6320896852546997,0,0.6,positive,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,False,5,0.8,positive,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1798::biological process:extrinsic apoptotic signaling pathway in absence of ligand,COESSENTIALITY,positive,0.8333333333333334,1.0235052609587576,0,0.8,positive,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
COESSENTIALITY::1799::biological process:protein polyubiquitination,COESSENTIALITY,positive,0.8333333333333334,1.2164022741939626,0,0.8,positive,0.8,positive,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
"COESSENTIALITY::179::molecular function:RNA polymerase II transcription factor activity, sequence-specific DNA binding",COESSENTIALITY,positive,0.5,0.11341564975418897,1,0.6,negative,0.6,negative,0.6,negative,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,negative,0.6,False,False
COESSENTIALITY::17::,COESSENTIALITY,negative,0.6666666666666666,-0.856920269725904,0,0.6,negative,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.8,negative,0.6,False,5,0.8,negative,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1800::biological process:low-density lipoprotein particle clearance,COESSENTIALITY,positive,0.8333333333333334,0.7598928697867431,0,0.8,positive,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
COESSENTIALITY::1801::biological process:establishment of mitotic spindle orientation,COESSENTIALITY,positive,0.6666666666666666,0.8075975636549152,0,0.6,positive,0.8,positive,0.6,positive,0.6,positive,0.8,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,positive,0.6,False,False
COESSENTIALITY::1802::molecular function:ubiquitin conjugating enzyme activity,COESSENTIALITY,positive,0.5,-0.06728859823896532,1,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1803::,COESSENTIALITY,positive,0.6666666666666666,0.8290902482950055,0,0.8,positive,0.6,positive,0.6,positive,0.8,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,positive,0.6,False,False
COESSENTIALITY::1804::molecular function:metallocarboxypeptidase activity,COESSENTIALITY,positive,0.5,-0.09657042230184454,0,0.6,positive,0.6,positive,0.6,positive,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,positive,0.6,False,False
COESSENTIALITY::1805::molecular function:cAMP binding,COESSENTIALITY,positive,0.8333333333333334,0.657419767775226,0,1.0,positive,0.8,positive,0.8,positive,0.8,positive,0.8,positive,0.8,positive,0.8,False,5,0.8,positive,3,0.6666666666666666,positive,4,1.0,positive,0.6666666666666666,False,False
COESSENTIALITY::1806::,COESSENTIALITY,positive,0.5,0.2021714290638521,2,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1807::,COESSENTIALITY,negative,0.6666666666666666,-0.8892731728311414,0,0.8,negative,0.6,negative,0.6,negative,0.8,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6,False,False
COESSENTIALITY::1808::biological process:cellular response to cytokine stimulus,COESSENTIALITY,positive,0.5,-0.09449683416691512,2,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1809::biological process:anterograde axonal transport,COESSENTIALITY,negative,1.0,-1.050481906379726,0,1.0,negative,1.0,negative,1.0,negative,1.0,negative,1.0,negative,1.0,negative,1.0,True,5,1.0,negative,3,1.0,negative,4,1.0,negative,1.0,True,True
COESSENTIALITY::180::cellular component:cell periphery,COESSENTIALITY,positive,0.6666666666666666,0.902702816066318,1,0.8,positive,0.6,positive,0.8,positive,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,positive,0.6,False,False
COESSENTIALITY::1810::biological process:pancreas development,COESSENTIALITY,negative,0.6666666666666666,-0.7415813427410365,0,0.6,negative,0.8,negative,0.6,negative,0.8,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6,False,False
COESSENTIALITY::1811::cellular component:Cul3-RING ubiquitin ligase complex,COESSENTIALITY,positive,0.6666666666666666,0.7484944409149406,0,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,positive,0.6,False,5,0.6,positive,3,1.0,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1812::molecular function:protein serine/threonine kinase activator activity,COESSENTIALITY,positive,0.6666666666666666,0.992177704653361,0,0.8,positive,0.6,positive,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.6,False,5,0.8,positive,3,0.6666666666666666,negative,4,0.75,positive,0.6666666666666666,False,False
COESSENTIALITY::1814::molecular function:odorant binding,COESSENTIALITY,negative,0.6666666666666666,-0.7169551003458394,0,0.8,negative,0.8,negative,0.6,negative,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,positive,4,1.0,negative,0.6,False,False
COESSENTIALITY::1815::,COESSENTIALITY,positive,0.6666666666666666,0.6541971719421691,0,0.6,positive,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,False,5,0.8,positive,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1816::,COESSENTIALITY,positive,0.6666666666666666,1.2331556922481424,1,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,positive,0.6,False,5,0.6,positive,3,1.0,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1817::,COESSENTIALITY,positive,0.5,-0.0014063442649205893,1,0.6,negative,0.6,negative,0.6,negative,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,negative,0.6,False,False
"COESSENTIALITY::1818::biological process:maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",COESSENTIALITY,positive,0.5,0.047969814441953584,0,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1819::,COESSENTIALITY,positive,0.5,-0.09496428698595732,0,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,positive,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::181::,COESSENTIALITY,negative,1.0,-1.0368579878010118,0,1.0,negative,1.0,negative,1.0,negative,1.0,negative,1.0,negative,1.0,negative,1.0,True,5,1.0,negative,3,1.0,negative,4,1.0,negative,1.0,True,True
COESSENTIALITY::1820::biological process:histone H3 acetylation,COESSENTIALITY,negative,0.6666666666666666,-0.7700320228334823,0,0.6,negative,0.8,negative,0.6,negative,0.8,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6,False,False
COESSENTIALITY::1821::biological process:artery morphogenesis,COESSENTIALITY,positive,0.6666666666666666,1.119453377234637,0,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,positive,0.6,False,5,0.6,positive,3,1.0,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1822::biological process:lipid homeostasis,COESSENTIALITY,negative,0.6666666666666666,-0.6910594230472493,0,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.6,negative,0.8,negative,0.6,False,5,0.8,negative,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1823::cellular component:cytoplasmic stress granule,COESSENTIALITY,positive,0.6666666666666666,0.740677458934393,0,0.8,positive,0.6,positive,0.6,positive,0.8,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,positive,0.6,False,False
COESSENTIALITY::1824::,COESSENTIALITY,negative,0.8333333333333334,-0.810402802714821,0,0.8,negative,0.8,negative,0.8,negative,1.0,negative,0.8,negative,0.8,negative,0.8,False,5,0.8,negative,3,1.0,negative,4,0.75,negative,0.75,False,False
COESSENTIALITY::1825::,COESSENTIALITY,positive,0.5,0.11397730860360611,2,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1827::molecular function:telomerase RNA binding,COESSENTIALITY,positive,0.6666666666666666,0.672685199376308,0,0.8,positive,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,positive,0.6,False,False
COESSENTIALITY::1828::biological process:ATP metabolic process,COESSENTIALITY,positive,0.8333333333333334,0.9757725411474125,0,0.8,positive,0.8,positive,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
COESSENTIALITY::1829::biological process:inorganic anion transport,COESSENTIALITY,positive,0.6666666666666666,0.871647988523351,0,0.8,positive,0.6,positive,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.6,False,5,0.8,positive,3,0.6666666666666666,negative,4,0.75,positive,0.6666666666666666,False,False
COESSENTIALITY::182::,COESSENTIALITY,positive,0.5,0.18459752723216138,0,0.6,negative,0.6,negative,0.6,negative,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,negative,0.6,False,False
COESSENTIALITY::1830::biological process:axon guidance,COESSENTIALITY,positive,0.8333333333333334,0.9268270091479733,0,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
COESSENTIALITY::1831::biological process:glycogen metabolic process,COESSENTIALITY,positive,0.6666666666666666,0.877814111777041,0,0.8,positive,0.8,positive,0.6,positive,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,1.0,positive,0.6,False,False
COESSENTIALITY::1832::biological process:intrinsic apoptotic signaling pathway by p53 class mediator,COESSENTIALITY,positive,0.5,-0.15181860276048814,0,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1833::,COESSENTIALITY,negative,0.6666666666666666,-0.7233726656321104,0,0.6,negative,0.6,negative,0.8,negative,0.6,negative,0.8,negative,0.6,negative,0.6,False,5,0.6,negative,3,1.0,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1834::biological process:clathrin-dependent endocytosis,COESSENTIALITY,negative,0.6666666666666666,-0.9325298779325435,1,0.8,negative,0.6,negative,0.8,negative,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6,False,False
COESSENTIALITY::1835::cellular component:chromatin,COESSENTIALITY,negative,0.8333333333333334,-1.2392936757676734,0,0.8,negative,0.8,negative,0.8,negative,0.8,negative,1.0,negative,0.8,negative,0.8,False,5,0.8,negative,3,1.0,negative,4,0.75,negative,0.75,False,False
COESSENTIALITY::1836::,COESSENTIALITY,positive,0.5,0.02720161594841558,0,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1837::biological process:Fc-gamma receptor signaling pathway involved in phagocytosis,COESSENTIALITY,negative,0.8333333333333334,-1.0243732295427321,1,0.8,negative,0.8,negative,0.8,negative,0.8,negative,1.0,negative,0.8,negative,0.8,False,5,0.8,negative,3,1.0,negative,4,0.75,negative,0.75,False,False
COESSENTIALITY::1838::biological process:DNA-dependent DNA replication,COESSENTIALITY,positive,0.5,-0.05341337662237544,0,0.6,positive,0.6,positive,0.6,positive,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,positive,0.6,False,False
COESSENTIALITY::1839::,COESSENTIALITY,positive,0.8333333333333334,1.3206275628693875,1,0.8,positive,0.8,positive,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
COESSENTIALITY::183::biological process:killing of cells of other organism,COESSENTIALITY,negative,0.6666666666666666,-0.8610004448874905,0,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.6,negative,0.8,negative,0.6,False,5,0.8,negative,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1840::biological process:protein N-linked glycosylation via asparagine,COESSENTIALITY,positive,0.5,-0.036002167225427206,0,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,positive,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1841::biological process:response to zinc ion,COESSENTIALITY,positive,0.5,-0.07351336483597837,1,0.6,negative,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,negative,0.6,False,False
COESSENTIALITY::1842::biological process:negative regulation of viral genome replication,COESSENTIALITY,positive,0.8333333333333334,0.9337292466707601,0,0.8,positive,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
COESSENTIALITY::1843::biological process:glycogen metabolic process,COESSENTIALITY,negative,0.6666666666666666,-0.8465582357582468,2,0.8,negative,0.6,negative,0.8,negative,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6,False,False
COESSENTIALITY::1844::biological process:mRNA 3'-end processing,COESSENTIALITY,negative,0.6666666666666666,-1.239665082771787,1,0.6,negative,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.8,negative,0.6,False,5,0.8,negative,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1845::biological process:regulation of Wnt signaling pathway,COESSENTIALITY,positive,0.5,0.15553738823604402,0,0.6,positive,0.6,positive,0.6,positive,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,positive,0.6,False,False
COESSENTIALITY::1846::biological process:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,COESSENTIALITY,negative,0.6666666666666666,-1.0713130245059628,3,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.8,negative,0.6,negative,0.6,False,5,0.6,negative,3,1.0,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1847::molecular function:cation channel activity,COESSENTIALITY,positive,0.5,-0.14410774542830096,2,0.6,positive,0.6,positive,0.6,positive,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,positive,0.6,False,False
COESSENTIALITY::1848::,COESSENTIALITY,positive,0.6666666666666666,0.9046436659907136,0,0.6,positive,0.8,positive,0.6,positive,0.8,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,positive,0.6,False,False
COESSENTIALITY::1849::,COESSENTIALITY,positive,0.8333333333333334,0.6684978206236878,0,0.8,positive,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
COESSENTIALITY::184::biological process:complement activation,COESSENTIALITY,positive,0.5,-0.000534948010451286,2,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1850::,COESSENTIALITY,positive,0.5,0.09181452396477466,0,0.6,positive,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,positive,0.6,False,False
COESSENTIALITY::1851::biological process:inactivation of MAPK activity,COESSENTIALITY,positive,0.8333333333333334,0.9978617309876003,1,0.8,positive,0.8,positive,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
COESSENTIALITY::1852::molecular function:single-stranded RNA binding,COESSENTIALITY,negative,0.6666666666666666,-0.8333136950245927,0,0.8,negative,0.8,negative,0.6,negative,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,positive,4,1.0,negative,0.6,False,False
COESSENTIALITY::1853::biological process:meiotic cell cycle,COESSENTIALITY,positive,0.5,0.08137669618998844,0,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1854::biological process:tRNA processing,COESSENTIALITY,negative,0.6666666666666666,-0.6338966899048697,0,0.8,negative,0.6,negative,0.8,negative,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6,False,False
COESSENTIALITY::1855::biological process:RNA catabolic process,COESSENTIALITY,negative,0.6666666666666666,-0.5996098754008177,0,0.6,negative,0.8,negative,0.6,negative,0.8,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6,False,False
COESSENTIALITY::1856::molecular function:structural constituent of eye lens,COESSENTIALITY,positive,0.6666666666666666,0.6876914532924272,0,0.8,positive,0.6,positive,0.8,positive,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,positive,0.6,False,False
COESSENTIALITY::1857::molecular function:telomerase RNA binding,COESSENTIALITY,negative,0.6666666666666666,-0.9389845035352515,0,0.6,negative,0.8,negative,0.6,negative,0.6,negative,0.8,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6,False,False
COESSENTIALITY::1858::cellular component:PcG protein complex,COESSENTIALITY,positive,0.8333333333333334,0.7188885130042357,0,0.8,positive,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
COESSENTIALITY::1859::,COESSENTIALITY,positive,0.5,-0.10981188916874657,0,0.6,positive,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,positive,0.6,False,False
"COESSENTIALITY::185::biological process:RNA phosphodiester bond hydrolysis, endonucleolytic",COESSENTIALITY,positive,0.6666666666666666,0.8676226150471219,3,0.6,positive,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,False,5,0.8,positive,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1860::biological process:dopaminergic neuron differentiation,COESSENTIALITY,negative,0.6666666666666666,-0.9084470594152503,0,0.6,negative,0.6,negative,0.8,negative,0.6,negative,0.8,negative,0.6,negative,0.6,False,5,0.6,negative,3,1.0,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1861::molecular function:steroid binding,COESSENTIALITY,negative,0.8333333333333334,-0.9156873086136834,0,0.8,negative,0.8,negative,0.8,negative,0.8,negative,1.0,negative,0.8,negative,0.8,False,5,0.8,negative,3,1.0,negative,4,0.75,negative,0.75,False,False
COESSENTIALITY::1862::biological process:ribosomal large subunit biogenesis,COESSENTIALITY,negative,0.6666666666666666,-0.8993771077071757,1,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.8,negative,0.6,negative,0.6,False,5,0.6,negative,3,1.0,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1863::biological process:interferon-gamma-mediated signaling pathway,COESSENTIALITY,positive,0.6666666666666666,0.9319566273433688,0,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,positive,0.6,False,5,0.6,positive,3,1.0,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1865::,COESSENTIALITY,positive,0.5,0.06640947042669276,1,0.6,negative,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,negative,0.6,False,False
COESSENTIALITY::1866::biological process:regulation of transcription by RNA polymerase II,COESSENTIALITY,positive,0.5,0.15524793102607026,2,0.6,negative,0.6,negative,0.6,negative,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,negative,0.6,False,False
COESSENTIALITY::1867::biological process:positive regulation of cell-matrix adhesion,COESSENTIALITY,negative,0.6666666666666666,-0.8996392331279435,0,0.8,negative,0.6,negative,0.8,negative,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6,False,False
COESSENTIALITY::1868::,COESSENTIALITY,positive,0.8333333333333334,0.7599343209473644,0,0.8,positive,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
COESSENTIALITY::1869::biological process:positive regulation of Rho protein signal transduction,COESSENTIALITY,positive,0.5,-0.00452106005987335,4,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::186::cellular component:centriole,COESSENTIALITY,negative,0.6666666666666666,-1.4039150097921582,5,0.6,negative,0.6,negative,0.6,negative,0.8,negative,0.8,negative,0.6,negative,0.6,False,5,0.6,negative,3,1.0,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1871::molecular function:WW domain binding,COESSENTIALITY,positive,0.6666666666666666,0.5068873623404533,0,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,positive,0.6,False,5,0.6,positive,3,1.0,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1872::cellular component:plasma membrane raft,COESSENTIALITY,negative,1.0,-0.6870807702815491,0,1.0,negative,1.0,negative,1.0,negative,1.0,negative,1.0,negative,1.0,negative,1.0,True,5,1.0,negative,3,1.0,negative,4,1.0,negative,1.0,True,True
COESSENTIALITY::1873::cellular component:PcG protein complex,COESSENTIALITY,negative,0.8333333333333334,-0.7315386026301904,0,1.0,negative,0.8,negative,0.8,negative,0.8,negative,0.8,negative,0.8,negative,0.8,False,5,0.8,negative,3,0.6666666666666666,negative,4,1.0,negative,0.6666666666666666,False,False
COESSENTIALITY::1874::,COESSENTIALITY,negative,0.8333333333333334,-1.1077800513917837,0,1.0,negative,0.8,negative,0.8,negative,0.8,negative,0.8,negative,0.8,negative,0.8,False,5,0.8,negative,3,0.6666666666666666,negative,4,1.0,negative,0.6666666666666666,False,False
COESSENTIALITY::1876::molecular function:structural constituent of eye lens,COESSENTIALITY,positive,0.5,-0.08345060470401655,0,0.6,positive,0.6,negative,0.6,negative,0.6,negative,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1877::,COESSENTIALITY,positive,0.6666666666666666,0.9760407461992744,0,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.6,positive,0.8,positive,0.6,False,5,0.8,positive,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1878::,COESSENTIALITY,positive,0.6666666666666666,0.8275950846775595,1,0.6,positive,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,False,5,0.8,positive,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1879::,COESSENTIALITY,positive,0.5,-0.05220808525682452,0,0.6,negative,0.6,negative,0.6,negative,0.6,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,negative,0.6,False,False
