comparison,gene,paired_n,tumor_median,normal_median,median_delta_tumor_minus_normal,wilcoxon_statistic,p_value,BH_FDR_within_comparison
TCGA_paired_primary_vs_solid_normal,PPARA,32,3.0905,3.386,-0.35350000000000015,165.0,0.06498370366171002,0.08355047613648432
TCGA_paired_primary_vs_solid_normal,PPARD,32,4.106,4.640000000000001,-0.6655,83.0,0.0003979005850851536,0.0017905526328831911
TCGA_paired_primary_vs_solid_normal,PPARG,32,5.016500000000001,5.662,-0.6440000000000001,93.0,0.0009061265736818314,0.002718379721045494
TCGA_paired_primary_vs_solid_normal,NR1I2,32,4.1515,4.374499999999999,-0.19800000000000018,236.0,0.6116922060027719,0.6116922060027719
TCGA_paired_primary_vs_solid_normal,NR1I3,32,-1.8575,-1.5110000000000001,-0.60205,162.0,0.05696781584993005,0.08355047613648432
TCGA_paired_primary_vs_solid_normal,NR1H2,32,5.382,5.742,-0.40500000000000025,63.0,6.0301274061203e-05,0.000542711466550827
TCGA_paired_primary_vs_solid_normal,NR1H3,32,4.579000000000001,5.205500000000001,-0.5874999999999999,96.0,0.0016809023960381781,0.0037820303910859007
TCGA_paired_primary_vs_solid_normal,RELA,32,5.7379999999999995,5.434,0.20150000000000023,138.5,0.01893703030081842,0.03408665454147315
TCGA_paired_primary_vs_solid_normal,STAT3,32,5.6465,5.8405000000000005,-0.1485000000000003,231.0,0.5483431480824947,0.6116922060027719
