platform,DRUG_NAME,drug_key,median_background_rho,global_empirical_q_value,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,leave_HCT116_out_median_rho,n_models_direction_consistent_ge3of4,signature_robust_flag,strict_database_gate
GDSC1,AZD1332,AZD1332,0.0588767917715286,0.0579699241669817,4,3,3,0.1139074296969033,5,True,True
GDSC1,AZD1480,AZD1480,0.05109968267863,0.0622330079438657,4,2,2,0.1189408031513294,2,True,False
GDSC1,AZD2014,AZD2014,0.1154393259656417,0.0421810374767151,4,3,3,0.1458584090163037,6,True,True
GDSC1,AZD3514,AZD3514,0.0179450705766495,0.0717645290817612,4,2,2,0.1635846372688478,4,True,False
GDSC1,AZD4547,AZD4547,0.0105044315570631,0.0749562625701159,4,2,2,0.1449830397198818,0,False,False
GDSC1,AZD4877,AZD4877,0.0964766385819017,0.0439870646560343,4,2,2,0.2366779735200787,1,True,False
GDSC1,AZD5438,AZD5438,0.1134779516358463,0.0409185768480106,4,3,3,0.1340409235146077,6,True,True
GDSC1,AZD5582,AZD5582,0.0372305503884451,0.0002492038905651,4,2,1,-0.0642302221249589,3,True,False
GDSC1,AZD6094,AZD6094,0.162238756975599,0.0269103688419825,4,3,3,0.1657730605099026,5,True,True
GDSC1,AZD6482,AZD6482,-0.0847375715796768,0.0002492038905651,4,1,1,-0.0473793631688368,0,True,False
GDSC1,AZD6738,AZD6738,0.1476994200678411,0.0327905538025968,4,2,2,0.3421599737389211,4,True,False
GDSC1,AZD7762,AZD7762,0.056089287668235,0.0599984921048577,4,2,2,0.215012583433636,1,True,False
GDSC1,AZD7969,AZD7969,0.1155542181857971,0.0396471942360644,4,3,3,0.173213699529489,6,True,True
GDSC1,AZD8055,AZD8055,0.0331819673924937,0.0002492038905651,4,2,2,0.1330014224751066,1,True,False
GDSC1,AZD8186,AZD8186,0.0810920231972863,0.0559143985156457,4,3,2,0.0874493927125506,6,True,True
GDSC1,AZD8835,AZD8835,0.1079685961264908,0.0439814476129164,4,3,3,0.1760586497428602,3,True,False
GDSC1,AZD8931,AZD8931,0.0137323558376189,0.0719399330010541,4,2,2,0.0890688259109311,0,False,False
GDSC1,Afatinib,AFATINIB,-0.0376408797461429,0.065723161100264,4,1,1,-0.0659809607178028,0,False,False
GDSC1,Alectinib,ALECTINIB,0.1113633876791771,0.0002492038905651,4,3,3,0.1195973301236459,4,True,True
GDSC1,Alisertib,ALISERTIB,0.0187021608074239,0.0002492038905651,4,2,2,0.1734877734877735,1,True,False
GDSC1,Amuvatinib,AMUVATINIB,-0.0692372823951771,0.0002492038905651,4,1,1,-0.0453024453024453,1,False,False
