gene,effect_size,logFC_low_minus_high,P,n_donor_group_pairs,direction,analysis_level,BH_FDR
HDAC7,0.39176850258473417,0.38151785089090223,0.006433188589840646,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.025314928708682214
GYS1,-0.3584775657132617,-0.4127736906721984,0.006467745645531227,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.025424701471671154
NCL,0.2790503645812281,0.06073028783302336,0.006539722762681777,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.025568289347624305
PACSIN2,-0.3797636255563024,-0.1923320053923534,0.006539722762681777,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.025568289347624305
PDGFA,0.1883851404493324,0.38404826030009515,0.006539722762681777,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.025568289347624305
KCNJ2,-0.3997552998532301,-0.6848994734948262,0.0065444638964183765,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.025568289347624305
SERTAD1,-0.15382074487114927,-0.08755429689106413,0.0065444638964183765,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.025568289347624305
TMEM44,0.1993747732343314,0.29328576159347325,0.0065444638964183765,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.025568289347624305
CADM1,0.0,-0.5363763747946807,0.006641885476426627,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.025922368981104737
TGFB1,0.3121841673503696,0.4644694346877037,0.006701060591928545,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.026126607026957363
CD79B,0.0,0.5518790437089209,0.00679084031771983,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.026449630094629174
APOBEC1,-0.3708400307317157,-0.5776260920827868,0.006837136647100572,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.026510139276167057
CXCL2,0.5186588106499932,0.5782928635990776,0.006837136647100572,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.026510139276167057
POP4,-0.2507349676854611,-0.38172026363917866,0.006844498431746615,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.026510139276167057
RPS10,0.09361242492920407,0.06205767460384401,0.006844498431746615,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.026510139276167057
CSF1,0.0,0.6179360695804104,0.006848047504925522,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.026510139276167057
