rank,gene,n_backgrounds,n_positive_backgrounds,n_stable_backgrounds_rho_ge_0.10,n_resampling_supported_backgrounds,median_background_vulnerability_rho,meta_p_value_fisher,leave_HCT116_out_median_vulnerability_rho,leave_HCT116_out_positive,meta_q_value,tier1_universal,tier2_strong,tier3_subtype,primary_tier
28,STK10,4,3,3,2,0.23607503607503605,1.8059049909730293e-06,0.13124098124098124,True,0.03330630574851558,False,True,True,Tier2_strong
29,TRIM60,4,3,3,2,0.23524531024531026,0.00597108079997365,0.12950937950937952,True,0.383654781657845,False,True,True,Tier2_strong
30,PSEN1,4,3,3,0,0.23502886002886003,0.016946529427264174,0.23585858585858585,True,0.51368752205928,False,True,False,Tier2_strong
31,PLXDC2,4,3,3,0,0.233008658008658,0.0003159910272042941,0.2494949494949495,True,0.23186321861789796,False,True,False,Tier2_strong
32,BFAR,4,3,3,1,0.23199855699855698,0.007226005526274645,0.30317460317460315,True,0.4038461209729796,False,True,False,Tier2_strong
33,B4GALT5,4,3,3,0,0.23023088023088023,0.0369952917342686,0.23513708513708514,True,0.5893082724538388,False,True,False,Tier2_strong
34,TRMU,4,3,3,2,0.23005050505050503,0.00030811143505817207,0.11558441558441558,True,0.23186321861789796,False,True,True,Tier2_strong
35,LPIN2,4,3,3,0,0.2292929292929293,0.0015929929685581325,0.22164502164502164,True,0.2694606985777902,False,True,False,Tier2_strong
36,UNC50,4,4,3,1,0.22633477633477633,0.012092073786724432,0.22784992784992786,True,0.49667986383448104,False,True,False,Tier2_strong
37,TAS2R60,4,3,3,0,0.22518037518037518,0.028512785425492786,0.17683982683982685,True,0.5591284994988994,False,True,False,Tier2_strong
38,UCK1,4,3,3,1,0.22467532467532467,0.00185550155989863,0.18997113997113996,True,0.2904377911145447,False,True,False,Tier2_strong
39,SPACA9,4,3,3,0,0.22330447330447328,0.04309657768562119,0.20865800865800865,True,0.6101418087214281,False,True,False,Tier2_strong
40,MALT1,4,3,3,2,0.22326839826839828,9.675622932933174e-05,0.1808802308802309,True,0.1593936942840152,False,True,True,Tier2_strong
41,GRK4,4,4,3,1,0.22204184704184704,0.009306109711257794,0.17409812409812409,True,0.44812684439876627,False,True,False,Tier2_strong
42,PLEKHB1,4,3,3,0,0.22193362193362193,0.013825692404316177,0.2274891774891775,True,0.5009572593571773,False,True,False,Tier2_strong
43,PRR22,4,3,3,0,0.22132034632034633,0.013513413742335133,0.1484848484848485,True,0.49845577929977375,False,True,False,Tier2_strong
44,CHD2,4,3,3,1,0.21919191919191916,0.007480741395397198,0.18124098124098123,True,0.406952270422526,False,True,False,Tier2_strong
45,ALDH16A1,4,4,3,1,0.21865079365079365,0.004737680040534427,0.17604617604617603,True,0.37154381525088764,False,True,False,Tier2_strong
46,RANBP10,4,3,3,0,0.21785714285714286,0.016478979630698894,0.23975468975468975,True,0.51368752205928,False,True,False,Tier2_strong
47,PKN1,4,3,3,1,0.21572871572871571,0.04736030455958105,0.22777777777777777,True,0.63543933033509,False,True,False,Tier2_strong
48,SHC2,4,3,2,2,0.21479076479076478,0.0015935142172847745,0.07676767676767676,True,0.2694606985777902,False,True,True,Tier2_strong
49,SLC27A4,4,3,3,0,0.2147186147186147,0.005929159350838246,0.16147186147186146,True,0.383654781657845,False,True,False,Tier2_strong
50,GALM,4,3,3,0,0.21464646464646464,0.005883043784959737,0.268037518037518,True,0.383654781657845,False,True,False,Tier2_strong
51,ITSN1,4,3,3,0,0.21446608946608947,0.012824358844240161,0.27575757575757576,True,0.49667986383448104,False,True,False,Tier2_strong
52,CDC42,4,4,2,2,0.21388888888888888,0.0007470372336850232,0.3911255411255411,True,0.2331740694536369,False,True,True,Tier2_strong
53,TNFRSF1A,4,3,3,1,0.21388888888888888,0.0015829175364514712,0.16183261183261183,True,0.2694606985777902,False,True,False,Tier2_strong
54,ZYG11B,4,3,3,1,0.21385281385281385,0.008174713947307118,0.23823953823953825,True,0.42235057588190733,False,True,False,Tier2_strong
55,SLCO1C1,4,4,4,2,0.2133838383838384,0.0017615497117617496,0.13823953823953825,True,0.2875067374692208,False,True,True,Tier2_strong
56,IRF2BP1,4,3,3,0,0.21327561327561328,0.022193536632661885,0.1873015873015873,True,0.5347756678850399,False,True,False,Tier2_strong
57,RAB9B,4,3,3,0,0.21305916305916306,0.046260184409176466,0.1945887445887446,True,0.6295081340510525,False,True,False,Tier2_strong
58,MRGPRX3,4,3,3,1,0.21233766233766233,0.020075791112927434,0.18311688311688312,True,0.5269205919903682,False,True,False,Tier2_strong
59,RAB28,4,3,3,1,0.21143578643578645,0.012394423192460709,0.30274170274170276,True,0.49667986383448104,False,True,False,Tier2_strong
60,SEMA3D,4,3,3,0,0.21082251082251083,0.014060306678866881,0.21486291486291487,True,0.5054858403086586,False,True,False,Tier2_strong
61,GPI,4,3,3,0,0.20966810966810967,0.032452861349428104,0.2641414141414141,True,0.569602996983095,False,True,False,Tier2_strong
62,CSAD,4,3,3,0,0.2094155844155844,0.04830818897015912,0.1919191919191919,True,0.63543933033509,False,True,False,Tier2_strong
63,TBR1,4,3,3,0,0.2093073593073593,0.03147713560197509,0.19913419913419914,True,0.5646448830801327,False,True,False,Tier2_strong
64,PDK2,4,3,3,0,0.20815295815295815,0.07213275965828816,0.1906926406926407,True,0.6994450506718236,False,True,False,Tier2_strong
65,ZNF10,4,3,3,1,0.20761183261183258,0.016565155287651002,0.2691197691197691,True,0.51368752205928,False,True,False,Tier2_strong
66,SLC22A9,4,3,3,0,0.20703463203463204,0.050905519506273186,0.25144300144300147,True,0.6442862054610886,False,True,False,Tier2_strong
67,REEP3,4,3,3,0,0.20652958152958154,0.0010057020348157157,0.13340548340548342,True,0.2331740694536369,False,True,False,Tier2_strong
68,NAT8,4,3,3,1,0.20631313131313128,0.012706439300709669,0.1468975468975469,True,0.49667986383448104,False,True,False,Tier2_strong
69,POLR1F,4,3,3,1,0.2062049062049062,0.0034425116295601667,0.2745310245310245,True,0.3495812119398188,False,True,False,Tier2_strong
70,DEDD,4,3,3,0,0.20606060606060606,0.032234728101768605,0.27474747474747474,True,0.5683605070563273,False,True,False,Tier2_strong
71,UNKL,4,3,3,1,0.2055916305916306,0.008735646269024065,0.1362193362193362,True,0.43426286830083777,False,True,False,Tier2_strong
72,RBMS2,4,3,3,0,0.20555555555555555,0.029323126144786542,0.19134199134199134,True,0.5591284994988994,False,True,False,Tier2_strong
73,SLC43A2,4,3,3,0,0.20544733044733043,0.006731563837388508,0.21341991341991343,True,0.39777445065567035,False,True,False,Tier2_strong
74,IL2,4,3,3,0,0.2054112554112554,0.020394861722882032,0.20396825396825397,True,0.5293120211396741,False,True,False,Tier2_strong
75,KLK15,4,3,3,0,0.20443722943722942,0.04070300569032443,0.2357142857142857,True,0.6008977572288304,False,True,False,Tier2_strong
76,ZFP28,4,4,3,0,0.20422077922077922,0.08521351176531568,0.21284271284271283,True,0.7170757862584356,False,True,False,Tier2_strong
77,PARD6B,4,3,3,1,0.20371572871572874,0.0006523495407065158,0.2787878787878788,True,0.2331740694536369,False,True,False,Tier2_strong
78,RMND1,4,4,4,0,0.20310245310245312,0.018422849513726518,0.2676046176046176,True,0.5169389072386679,False,True,False,Tier2_strong
79,TMED6,4,3,3,1,0.2028860028860029,0.006023354814347071,0.2943001443001443,True,0.383654781657845,False,True,False,Tier2_strong
80,RRP8,4,4,3,1,0.20266955266955267,0.019835877138154143,0.1937950937950938,True,0.5263785353366573,False,True,False,Tier2_strong
81,FBXO31,4,3,3,0,0.20263347763347764,0.012471241128884201,0.17020202020202022,True,0.49667986383448104,False,True,False,Tier2_strong
82,TEX36,4,3,3,0,0.20227272727272727,0.0284245853064478,0.1466089466089466,True,0.5591284994988994,False,True,False,Tier2_strong
83,ZDHHC2,4,3,3,0,0.20223665223665221,0.02337736373558124,0.2657287157287157,True,0.5420938634190781,False,True,False,Tier2_strong
84,CREB3,4,3,3,0,0.201984126984127,0.02049469124638341,0.20685425685425685,True,0.5293120211396741,False,True,False,Tier2_strong
85,DNAAF6,4,3,3,1,0.20183982683982685,0.01662441029991264,0.16464646464646465,True,0.51368752205928,False,True,False,Tier2_strong
86,CTSF,4,3,3,1,0.20176767676767676,0.02973079832808031,0.1634199134199134,True,0.5591284994988994,False,True,False,Tier2_strong
87,COQ4,4,3,3,0,0.20162337662337662,0.03000507458741974,0.22784992784992786,True,0.5606723309177125,False,True,False,Tier2_strong
88,GJA9,4,3,3,0,0.20155122655122654,0.024572244665166065,0.21197691197691199,True,0.543415689090802,False,True,False,Tier2_strong
89,CDKL3,4,3,3,0,0.2012987012987013,0.07735126430398039,0.20772005772005772,True,0.7093930221572899,False,True,False,Tier2_strong
90,SLC6A5,4,3,3,0,0.20108225108225108,0.02677636179767559,0.21572871572871574,True,0.5542819381299536,False,True,False,Tier2_strong
91,GLRX5,4,3,3,0,0.20075757575757575,0.01826876416717724,0.2797258297258297,True,0.5169389072386679,False,True,False,Tier2_strong
92,CYP4A11,4,3,3,0,0.20061327561327563,0.014869853471019186,0.22236652236652238,True,0.5091253731598537,False,True,False,Tier2_strong
93,TRAF4,4,3,3,0,0.20043290043290043,0.030711834729854854,0.2546897546897547,True,0.5626289549844877,False,True,False,Tier2_strong
94,PCOLCE,4,3,3,0,0.2002886002886003,0.03509757721267945,0.18448773448773448,True,0.5821084681056179,False,True,False,Tier2_strong
95,MSL3,4,3,2,2,0.20014430014430015,0.0013615875070692811,0.024170274170274172,True,0.2694606985777902,False,True,True,Tier2_strong
96,KIF2A,4,4,3,1,0.19981962481962484,0.005345625367437996,0.2318903318903319,True,0.37773704464237157,False,True,False,Tier2_strong
97,TMEM102,4,3,3,1,0.19953102453102453,0.007254552652256472,0.18152958152958154,True,0.40421666031893083,False,True,False,Tier2_strong
98,SIKE1,4,3,2,1,0.19942279942279942,0.007281497116051699,0.3025974025974026,True,0.4044959376847635,False,True,False,Tier2_strong
99,PAK2,4,3,3,1,0.19924242424242422,0.006334744498924342,0.12525252525252525,True,0.39074144747044026,False,True,False,Tier2_strong
100,TCF19,4,3,3,0,0.19888167388167388,0.058798033702313776,0.23275613275613274,True,0.6731298172388411,False,True,False,Tier2_strong
101,PDXP,4,3,3,0,0.1985930735930736,0.010439445605651439,0.24004329004329003,True,0.4650596504952403,False,True,False,Tier2_strong
102,ENTPD2,4,3,2,2,0.19830447330447332,0.0008925622687665709,0.027994227994227995,True,0.2331740694536369,False,True,False,Tier2_strong
103,SPAG9,4,3,3,1,0.198015873015873,0.005987339915467009,0.1440836940836941,True,0.383654781657845,False,True,False,Tier2_strong
104,MYO1C,4,4,3,0,0.19761904761904764,0.03562428059239036,0.2536075036075036,True,0.5842584696720617,False,True,False,Tier2_strong
105,RORA,4,3,3,1,0.1972943722943723,0.0221231421889304,0.2404040404040404,True,0.5347756678850399,False,True,False,Tier2_strong
106,ZNF512,4,3,3,0,0.19715007215007216,0.01224117013069273,0.23124098124098125,True,0.49667986383448104,False,True,False,Tier2_strong
107,FAM171B,4,4,2,2,0.1961038961038961,0.012259549254355566,0.0772005772005772,True,0.49667986383448104,False,True,False,Tier2_strong
108,YPEL1,4,4,3,1,0.19603174603174603,0.03291883765592254,0.21291486291486292,True,0.5728393285798417,False,True,False,Tier2_strong
109,ZNF606,4,3,2,1,0.19595959595959597,0.004895553576325271,0.08167388167388168,True,0.37225827595477257,False,True,False,Tier2_strong
110,KLF10,4,4,3,0,0.19577922077922078,0.05444070251951088,0.24509379509379509,True,0.6531316660669401,False,True,False,Tier2_strong
111,MRPL39,4,4,3,0,0.19516594516594515,0.10621200426992138,0.22554112554112554,True,0.7427912428223443,False,True,False,Tier2_strong
112,PFKFB4,4,3,3,0,0.19498556998556998,0.04655261693274176,0.15144300144300143,True,0.632231159124121,False,True,False,Tier2_strong
113,ANK2,4,3,3,0,0.19484126984126987,0.03900783715967352,0.12546897546897548,True,0.6005188153053913,False,True,False,Tier2_strong
114,IRAK2,4,3,3,1,0.19455266955266953,0.003372097728211955,0.19278499278499278,True,0.3495812119398188,False,True,False,Tier2_strong
115,LIN7C,4,3,3,1,0.19422799422799422,0.029753742644806975,0.18658008658008657,True,0.5591284994988994,False,True,False,Tier2_strong
116,SNAP47,4,3,3,1,0.19397546897546897,0.0020330744342322515,0.11507936507936507,True,0.29193539702285165,False,True,False,Tier2_strong
117,BID,4,3,3,0,0.19397546897546897,0.0397619796707642,0.2235209235209235,True,0.6008977572288304,False,True,False,Tier2_strong
118,MYSM1,4,4,3,0,0.1939033189033189,0.12517935988130333,0.18131313131313131,True,0.7662650594227219,False,True,False,Tier2_strong
119,CTNNA1,4,3,2,1,0.19357864357864357,0.006211251800011652,0.31103896103896106,True,0.3883590270576523,False,True,False,Tier2_strong
120,MAP1S,4,3,3,0,0.19354256854256854,0.07230596407756178,0.1510822510822511,True,0.6995620983723579,False,True,False,Tier2_strong
121,GLRA3,4,3,3,0,0.19296536796536795,0.029290417884869312,0.16962481962481962,True,0.5591284994988994,False,True,False,Tier2_strong
122,PPM1D,4,3,3,0,0.19278499278499278,0.06927876046098869,0.2183982683982684,True,0.6921645177897446,False,True,False,Tier2_strong
123,NEK1,4,3,3,0,0.19246031746031744,0.11514691562539643,0.18246753246753247,True,0.7533476923205438,False,True,False,Tier2_strong
124,NME3,4,3,3,0,0.1920995670995671,0.11412001756582058,0.19018759018759018,True,0.7532180988094034,False,True,False,Tier2_strong
125,CAPN1,4,3,3,0,0.19173881673881676,0.018424352660285803,0.11955266955266955,True,0.5169389072386679,False,True,False,Tier2_strong
126,PPP1R14D,4,4,4,1,0.19152236652236654,0.0024567559887885533,0.25331890331890333,True,0.3148096401402589,False,True,False,Tier2_strong
127,SLC44A4,4,4,3,0,0.19123376623376626,0.051563088425608875,0.2753968253968254,True,0.6442862054610886,False,True,False,Tier2_strong
128,CASP9,4,3,3,0,0.19105339105339106,0.004306094891110269,0.15800865800865802,True,0.37015706061171316,False,True,False,Tier2_strong
129,ELOA2,4,3,3,1,0.19094516594516595,0.0038723074248461172,0.15800865800865802,True,0.3662408504432664,False,True,False,Tier2_strong
130,CD36,4,3,3,0,0.19087301587301586,0.0015061882254515915,0.16356421356421355,True,0.2694606985777902,False,True,False,Tier2_strong
131,ZNF862,4,3,3,1,0.1897907647907648,0.12587302030609138,0.23196248196248195,True,0.7670901299666953,False,True,False,Tier2_strong
132,C2CD4D,4,3,3,0,0.18953823953823953,0.02178280747562685,0.17005772005772005,True,0.5336005133722159,False,True,False,Tier2_strong
133,FBXL6,4,4,3,0,0.1895021645021645,0.09837487712815193,0.1787878787878788,True,0.7288843991998545,False,True,False,Tier2_strong
134,EVI5,4,3,3,1,0.18906926406926405,0.005156947582594425,0.15115440115440115,True,0.3769684656715478,False,True,False,Tier2_strong
135,PSG6,4,3,2,2,0.18888888888888888,0.004147799981568836,0.04696969696969697,True,0.36955495198103405,False,True,False,Tier2_strong
136,GPSM1,4,3,2,1,0.18755411255411256,0.013060246784817627,0.07258297258297258,True,0.49667986383448104,False,True,False,Tier2_strong
137,TP53BP2,4,3,3,1,0.18715728715728716,0.007869795697096707,0.13138528138528138,True,0.4186839010945427,False,True,False,Tier2_strong
138,IL15,4,3,2,1,0.18694083694083696,0.000595985891769917,0.07950937950937952,True,0.23186321861789796,False,True,False,Tier2_strong
139,TMBIM4,4,3,3,1,0.18694083694083696,0.016660592409803963,0.21327561327561328,True,0.51368752205928,False,True,False,Tier2_strong
140,ASB4,4,3,3,0,0.18665223665223665,0.14312461703677448,0.18145743145743146,True,0.7847041094772406,False,True,False,Tier2_strong
141,COX8A,4,3,3,0,0.1865079365079365,0.04428742748555646,0.24184704184704184,True,0.6197215668559315,False,True,False,Tier2_strong
142,MAMLD1,4,3,3,1,0.18643578643578643,0.008981096414596497,0.2209235209235209,True,0.4381967226836064,False,True,False,Tier2_strong
143,LEFTY1,4,3,2,1,0.18603896103896106,0.01681848183206258,0.05945165945165945,True,0.51368752205928,False,True,False,Tier2_strong
144,SELENOS,4,3,2,1,0.18582251082251083,0.0008282366639570178,0.07453102453102453,True,0.2331740694536369,False,True,False,Tier2_strong
145,C6ORF118,4,3,3,0,0.18556998556998555,0.0032160401393328377,0.2274891774891775,True,0.34686215374102647,False,True,False,Tier2_strong
146,PPP1R27,4,3,3,1,0.18535353535353535,0.008091927063408524,0.15793650793650793,True,0.42201647368298256,False,True,False,Tier2_strong
147,ANGPT1,4,4,3,0,0.18477633477633476,0.06720598891071641,0.14624819624819624,True,0.6863798244385222,False,True,False,Tier2_strong
148,RAB2B,4,3,3,0,0.18474025974025976,0.015089867478850886,0.1556998556998557,True,0.5097114027700492,False,True,False,Tier2_strong
149,DHRS4,4,3,3,0,0.1847041847041847,0.08060619901146525,0.1821067821067821,True,0.7139093668498151,False,True,False,Tier2_strong
150,TOR1B,4,3,3,0,0.18409090909090908,0.012359721436182618,0.14754689754689754,True,0.49667986383448104,False,True,False,Tier2_strong
151,CRB1,4,3,3,1,0.183982683982684,0.029009694375035814,0.24343434343434345,True,0.5591284994988994,False,True,False,Tier2_strong
152,ARHGAP23,4,3,3,1,0.18347763347763346,0.07927875439604908,0.137012987012987,True,0.7109810435088605,False,True,False,Tier2_strong
153,AP3B2,4,3,3,0,0.18322510822510824,0.004005106822190107,0.12236652236652237,True,0.36723930143760264,False,True,False,Tier2_strong
154,LGALS2,4,3,2,1,0.18318903318903318,0.029369599814016052,0.08253968253968254,True,0.5591284994988994,False,True,False,Tier2_strong
155,PGM1,4,3,3,1,0.18308080808080807,0.0036355227666368312,0.1414141414141414,True,0.3585558630218346,False,True,False,Tier2_strong
156,VEPH1,4,3,3,0,0.18308080808080807,0.06763990803008907,0.19148629148629148,True,0.6874182084461319,False,True,False,Tier2_strong
157,PCDH18,4,3,3,0,0.18243145743145744,0.03808573551366911,0.1945165945165945,True,0.5948174183199099,False,True,False,Tier2_strong
158,USP45,4,4,3,0,0.18232323232323233,0.10693163808292613,0.16125541125541126,True,0.7442754399172081,False,True,False,Tier2_strong
159,YIF1A,4,4,4,1,0.18228715728715728,0.003796030146553868,0.13845598845598844,True,0.36274706732068907,False,True,False,Tier2_strong
160,HDAC6,4,3,3,0,0.1821067821067821,0.07511887665870609,0.17662337662337663,True,0.7062728170623054,False,True,False,Tier2_strong
161,FOXI2,4,3,3,0,0.18192640692640694,0.022544115784813933,0.13080808080808082,True,0.5381526305402907,False,True,False,Tier2_strong
162,WWTR1,4,3,2,0,0.18167388167388165,0.039804070665207726,0.09581529581529581,True,0.6008977572288304,False,True,False,Tier2_strong
163,C11ORF24,4,3,3,0,0.18131313131313131,0.045300896347686664,0.2331168831168831,True,0.6238822887932646,False,True,False,Tier2_strong
164,LIPH,4,3,3,0,0.18124098124098126,0.16947816606390176,0.1670995670995671,True,0.8049744797969852,False,True,False,Tier2_strong
165,NFU1,4,3,3,0,0.18113275613275615,0.005288155364634064,0.25822510822510825,True,0.3774913233922292,False,True,False,Tier2_strong
166,PCDHGB2,4,3,3,0,0.18113275613275615,0.033439473564207546,0.2544011544011544,True,0.5754274949435563,False,True,False,Tier2_strong
167,CLDN2,4,4,3,0,0.18106060606060606,0.05545210370882168,0.19011544011544013,True,0.6572642343841891,False,True,False,Tier2_strong
168,SH3RF1,4,3,3,0,0.18098845598845598,0.009458837965461889,0.1795815295815296,True,0.4519413176088436,False,True,False,Tier2_strong
169,SMARCA2,4,3,2,1,0.18062770562770564,7.215363017466883e-05,0.051226551226551224,True,0.1593936942840152,False,True,False,Tier2_strong
170,GALNT2,4,3,3,0,0.18051948051948052,0.006417513245222807,0.2259018759018759,True,0.3923796616511206,False,True,False,Tier2_strong
171,FAM234A,4,3,3,0,0.18051948051948052,0.06847050847247618,0.15634920634920635,True,0.689688357627789,False,True,False,Tier2_strong
172,F11R,4,4,4,1,0.18044733044733047,0.0018318971037646523,0.23564213564213565,True,0.2904377911145447,False,True,False,Tier2_strong
173,DRAM2,4,3,3,0,0.18033910533910535,0.049099206461707526,0.18051948051948052,True,0.6403882672161538,False,True,False,Tier2_strong
174,NPDC1,4,3,3,0,0.18033910533910535,0.0706656145427991,0.16695526695526697,True,0.6941541064307214,False,True,False,Tier2_strong
175,MUC22,4,3,3,0,0.1803030303030303,0.07508184757404361,0.18506493506493507,True,0.7062728170623054,False,True,False,Tier2_strong
176,CFAP20,4,4,3,0,0.18023088023088024,0.08682851939885551,0.2272005772005772,True,0.720449643915976,False,True,False,Tier2_strong
177,RGL1,4,3,3,0,0.18001443001443002,0.021721682919427252,0.18787878787878787,True,0.5334394115619132,False,True,False,Tier2_strong
178,CC2D2A,4,3,3,0,0.17968975468975468,0.032453144819304,0.16688311688311688,True,0.569602996983095,False,True,False,Tier2_strong
179,EXOC1,4,3,3,0,0.17954545454545456,0.05241849882797235,0.14891774891774892,True,0.6479079013901448,False,True,False,Tier2_strong
180,TRAPPC13,4,3,2,1,0.17886002886002886,0.012567244102575195,0.024458874458874458,True,0.49667986383448104,False,True,False,Tier2_strong
181,SH3YL1,4,3,3,0,0.17886002886002886,0.06447172764025857,0.23658008658008658,True,0.681004208351465,False,True,False,Tier2_strong
182,CPLANE2,4,3,3,0,0.17875180375180377,0.08622742523797582,0.12835497835497836,True,0.7186138290393077,False,True,False,Tier2_strong
183,ARMCX3,4,3,3,0,0.17824675324675326,0.04977695282413024,0.23124098124098125,True,0.6428825916914804,False,True,False,Tier2_strong
184,HERPUD1,4,3,3,0,0.1781024531024531,0.04454153240667135,0.15887445887445886,True,0.6207037501205492,False,True,False,Tier2_strong
185,PLXNB2,4,3,3,0,0.17795815295815295,0.09351667333533031,0.12994227994227994,True,0.7239360668785491,False,True,False,Tier2_strong
186,PICK1,4,3,3,0,0.17774170274170273,0.10858112739920006,0.19985569985569984,True,0.7449023199132857,False,True,False,Tier2_strong
187,MED26,4,3,3,0,0.17745310245310247,0.09828580807704475,0.19206349206349208,True,0.7288843991998545,False,True,False,Tier2_strong
188,TIA1,4,4,3,0,0.17741702741702742,0.043271955442212025,0.19011544011544013,True,0.6115438116633842,False,True,False,Tier2_strong
189,OTX2,4,3,3,0,0.17734487734487736,0.015563138180704669,0.14632034632034632,True,0.51368752205928,False,True,False,Tier2_strong
190,TSFM,4,3,3,0,0.17734487734487736,0.11616126297034203,0.18001443001443002,True,0.7566946509649968,False,True,False,Tier2_strong
191,TAAR8,4,3,3,0,0.17694805194805194,0.12520853898516865,0.1681096681096681,True,0.7662650594227219,False,True,False,Tier2_strong
192,GOLPH3L,4,3,3,0,0.17687590187590188,0.05581319457485349,0.1683982683982684,True,0.6606949599127232,False,True,False,Tier2_strong
193,HDLBP,4,3,3,0,0.17683982683982685,0.047985577193513436,0.12655122655122655,True,0.63543933033509,False,True,False,Tier2_strong
194,NABP1,4,3,3,1,0.17644300144300146,0.01504176088609826,0.19292929292929292,True,0.5091962043296817,False,True,False,Tier2_strong
195,CLTA,4,3,2,1,0.17597402597402598,0.00015784926496782,0.03542568542568542,True,0.19408093292010029,False,True,False,Tier2_strong
196,FER1L6,4,3,3,0,0.17593795093795095,0.07830167655022519,0.14682539682539683,True,0.7104712530372819,False,True,False,Tier2_strong
197,SOX4,4,3,3,0,0.1759018759018759,0.04202465556266982,0.22510822510822512,True,0.6031600953636728,False,True,False,Tier2_strong
198,IGSF23,4,3,3,0,0.17582972582972584,0.0666308131109564,0.14992784992784994,True,0.6854115213730159,False,True,False,Tier2_strong
199,RPL4,4,3,3,0,0.17564935064935067,0.15121195222369183,0.18044733044733044,True,0.7932007612869654,False,True,False,Tier2_strong
200,GPALPP1,4,3,2,1,0.17557720057720058,0.004646278272491079,0.08513708513708514,True,0.37154381525088764,False,True,False,Tier2_strong
201,TRA2A,4,3,3,0,0.1755050505050505,0.10423818233506665,0.21277056277056278,True,0.7402408412433152,False,True,False,Tier2_strong
