rank,gene,n_backgrounds,n_positive_backgrounds,n_stable_backgrounds_rho_ge_0.10,n_resampling_supported_backgrounds,median_background_vulnerability_rho,meta_p_value_fisher,leave_HCT116_out_median_vulnerability_rho,leave_HCT116_out_positive,meta_q_value,tier1_universal,tier2_strong,tier3_subtype,primary_tier
1,C16ORF86,4,3,3,1,0.3196969696969697,0.0004256811067686388,0.2994949494949495,True,0.23186321861789796,False,True,False,Tier2_strong
2,HS3ST3B1,4,3,3,1,0.283982683982684,0.001607150509329118,0.32135642135642134,True,0.2694606985777902,False,True,False,Tier2_strong
3,TJP1,4,3,3,1,0.27586580086580087,1.7060919421100027e-05,0.2865079365079365,True,0.06437398785223254,False,True,False,Tier2_strong
4,FOXF1,4,3,3,1,0.26976911976911977,0.00437601038581622,0.22106782106782108,True,0.37015706061171316,False,True,False,Tier2_strong
5,CFAP90,4,3,3,0,0.26424963924963923,0.002913988771692034,0.2994949494949495,True,0.32857020921765184,False,True,False,Tier2_strong
6,ZFP36L1,4,3,3,2,0.2633838383838384,0.00076972986056943,0.3430735930735931,True,0.2331740694536369,False,True,True,Tier2_strong
7,ADAMTS9,4,3,3,2,0.2630952380952381,8.861599316408223e-05,0.1292929292929293,True,0.1593936942840152,False,True,True,Tier2_strong
8,DIAPH3,4,3,3,1,0.2576118326118326,0.0014944206049985701,0.25656565656565655,True,0.2694606985777902,False,True,False,Tier2_strong
9,SPRY1,4,4,3,0,0.25331890331890333,0.014845059315466178,0.26645021645021644,True,0.5091253731598537,False,True,False,Tier2_strong
10,SOD2,4,3,3,0,0.2523809523809524,0.0005697687921212363,0.2767676767676768,True,0.23186321861789796,False,True,False,Tier2_strong
11,ATP6V0E2,4,3,3,1,0.25097402597402596,0.0041018975273082545,0.22777777777777777,True,0.36723930143760264,False,True,False,Tier2_strong
12,MOB4,4,3,2,2,0.2508658008658009,1.998468559755031e-05,0.08924963924963925,True,0.06437398785223254,False,True,True,Tier2_strong
13,SLC25A14,4,3,3,1,0.24884559884559887,0.003044079415639061,0.2085137085137085,True,0.3341783134680429,False,True,False,Tier2_strong
14,PPP6R2,4,3,3,1,0.24862914862914864,0.00028398123764099807,0.28124098124098124,True,0.23186321861789796,False,True,False,Tier2_strong
15,MXD4,4,4,3,0,0.2465007215007215,0.011195050372900877,0.20916305916305916,True,0.48253835951890306,False,True,False,Tier2_strong
16,SLC52A3,4,4,3,0,0.24383116883116884,0.02080523020124177,0.26176046176046175,True,0.5293120211396741,False,True,False,Tier2_strong
17,AFDN,4,4,3,2,0.24227994227994226,0.0037373073416146645,0.35223665223665224,True,0.3608751795884778,False,True,True,Tier2_strong
18,IFNA10,4,3,3,2,0.24141414141414141,0.00283951835068267,0.16053391053391053,True,0.32857020921765184,False,True,True,Tier2_strong
19,JDP2,4,3,3,1,0.24062049062049062,0.0010114366185702407,0.18997113997113996,True,0.2331740694536369,False,True,False,Tier2_strong
20,KDM5B,4,3,3,1,0.2398989898989899,0.0010574059569030084,0.30404040404040406,True,0.23782607394100222,False,True,False,Tier2_strong
21,MAPK15,4,3,3,2,0.23845598845598845,0.000914638923110973,0.1707070707070707,True,0.2331740694536369,False,True,True,Tier2_strong
22,ZNF500,4,3,3,0,0.23751803751803752,0.003138595136574245,0.2297979797979798,True,0.34050064766964006,False,True,False,Tier2_strong
23,SKA1,4,3,3,0,0.2374098124098124,0.010311483950305938,0.20007215007215007,True,0.4649748129474142,False,True,False,Tier2_strong
24,TNNT1,4,3,3,0,0.23722943722943723,0.007599711838546018,0.21421356421356422,True,0.4074461785997215,False,True,False,Tier2_strong
25,GSDMC,4,3,3,0,0.2362914862914863,0.012831396449399695,0.25303030303030305,True,0.49667986383448104,False,True,False,Tier2_strong
26,CCSER1,4,3,3,0,0.2361832611832612,0.011410698340357232,0.22626262626262628,True,0.4845246247526812,False,True,False,Tier2_strong
27,LRRC3,4,3,2,2,0.23607503607503608,0.0007552001786395165,0.09841269841269841,True,0.2331740694536369,False,True,True,Tier2_strong
