database,signature_size,scoring_method,DRUG_NAME,drug_key,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,median_background_rho,IQR_background_rho,min_background_rho,max_background_rho,leave_HCT116_out_median_rho,primary_discovery_gate,tested_status,rank_within_database_signature,global_empirical_p_value,global_empirical_q_value,global_null_permutations,global_null_unit,n_models_available,n_models_positive_median_rho,n_models_direction_consistent_ge3of4,n_models_top50,n_models_top100,n_models_top200,median_model_rho,median_model_rank,signature_robust_flag,model_combinations,strict_database_gate
PRISM,250,weighted,GDC-0941,GDC0941,4,2,1,-0.00807081807081807,0.07073870573870573,-0.228034188034188,0.004444444444444444,-0.016483516483516484,none,tested,658.0,0.9458108378324335,0.9529598237570928,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.13805250305250305,1134.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GDC-0980,GDC0980,4,0,0,-0.282454921242289,0.047996325295378006,-0.32414711003017466,-0.20493150677119099,-0.2703266382552009,none,tested,1320.0,0.009398120375924815,0.016102435039984292,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.16434799882769718,1189.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GGTI-298,GGTI298,4,1,1,-0.1363879598662207,0.15237458193979933,-0.23217391304347823,0.13130434782608694,-0.09538461538461537,none,tested,1138.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.14171404682274247,1144.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GSK-3-inhibitor-IX,GSK3INHIBITORIX,4,1,1,-0.10292490118577073,0.2042885375494071,-0.3053359683794466,0.2737154150197629,-0.06324110671936758,none,tested,1023.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.10153162055335968,1019.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GSK-J4,GSKJ4,4,2,1,-0.06461538461538462,0.23235042735042732,-0.28769230769230764,0.14324786324786323,-0.1476923076923077,none,tested,876.0,0.07898420315936813,0.10688928204206875,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.0613034188034188,867.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GSK1070916,GSK1070916,4,1,1,-0.05588932806324111,0.07698616600790514,-0.12845849802371542,0.09980237154150197,-0.042608695652173914,none,tested,842.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.06703557312252964,897.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GSK1292263,GSK1292263,4,2,2,0.03652173913043477,0.45617892976588625,-0.38384615384615384,0.4652173913043478,0.19913043478260867,none,tested,434.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,0,0,0,1,0.019381270903010027,482.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GSK1838705A,GSK1838705A,4,3,2,0.01818181818181818,0.11041784302653868,-0.2831168831168831,0.1507622811970638,0.01948051948051948,none,tested,517.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,2,0,0,0,0.007171089779785434,549.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GSK1904529A,GSK1904529A,4,2,1,0.10341897233201579,0.40265810276679836,-0.674901185770751,0.3092885375494071,-0.0009881422924901185,none,tested,211.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,0,0,0,0,0.020652173913043477,472.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GSK2110183,GSK2110183,4,1,1,-0.13675213675213674,0.20289377289377286,-0.3565323565323565,0.01811965811965812,-0.20957264957264954,none,tested,1141.0,0.20295940811837632,0.23383309509230393,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.13008547008547006,1109.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GSK2126458,GSK2126458,4,2,2,-0.0046655518394648834,0.08895484949832776,-0.1434782608695652,0.06956521739130435,0.019130434782608695,none,tested,644.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.10913043478260868,1069.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GSK256066,GSK256066,4,2,2,0.037593984962406006,0.2046821599453178,-0.16992481203007515,0.4051948051948052,0.0781954887218045,none,tested,431.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,5,0,2,2,0.0906015037593985,245.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GSK2656157,GSK2656157,4,2,2,0.01284584980237155,0.23630434782608697,-0.1408695652173913,0.3952569169960475,0.08102766798418974,none,tested,548.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,2,0,0,0,0,-0.06274703557312254,849.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GSK2830371,GSK2830371,4,3,3,0.18230769230769228,0.1461036789297659,-0.08347826086956521,0.27478260869565213,0.22,TierA_strong_collateral,tested,62.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,5,1,4,5,0.15311872909698998,83.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
PRISM,250,weighted,GSK429286A,GSK429286A,4,3,2,0.2326086956521739,0.15820158102766796,-0.05632411067193676,0.48517786561264825,0.2478260869565217,TierA_strong_collateral,tested,19.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,3,3,1,2,3,0.07702569169960474,350.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GSK461364,GSK461364,4,2,2,-0.04957264957264957,0.19866300366300363,-0.1528205128205128,0.1043956043956044,0.039999999999999994,none,tested,811.0,0.648870225954809,0.6875548578678541,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.16666666666666666,1214.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,GSK650394,GSK650394,4,3,3,0.078399209486166,0.1983794466403162,-0.2233201581027668,0.2005928853754941,0.13999999999999999,none,tested,286.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,5,0,0,1,0.0800098814229249,260.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
