database,signature_size,scoring_method,DRUG_NAME,drug_key,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,median_background_rho,IQR_background_rho,min_background_rho,max_background_rho,leave_HCT116_out_median_rho,primary_discovery_gate,tested_status,rank_within_database_signature,global_empirical_p_value,global_empirical_q_value,global_null_permutations,global_null_unit
CTRPv2,100,weighted,BI 2536,BI2536,4,1,1,-0.07142857142857142,0.06300261041640352,-0.17643467643467645,0.01696770662287904,-0.06166056166056166,none,tested,316.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BIBR1532,BIBR1532,4,3,3,0.030384615384615385,0.10493589743589743,-0.09230769230769231,0.26974358974358975,0.039999999999999994,none,tested,182.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BIX-01294,BIX01294,4,2,1,-0.02003030489624521,0.2567761297475728,-0.21568743038557156,0.3298426041237023,-0.10029271897641479,none,tested,251.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BMS-195614,BMS195614,4,1,1,-0.09416436712983171,0.08619745432319915,-0.1134858294428844,0.22189020383608743,-0.09259540312752758,none,tested,337.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BMS-270394,BMS270394,4,1,0,-0.26059841916046184,0.22408910610900643,-0.38383053175721543,0.26466231879317453,-0.3019090148080678,none,tested,403.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BMS-345541,BMS345541,4,1,1,-0.15496603251414523,0.2475809179235389,-0.36097608695396327,0.1839280321027752,-0.2292026246203814,none,tested,384.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BMS-536924,BMS536924,4,3,3,0.11197802197802198,0.20728327228327229,-0.1623931623931624,0.27999999999999997,0.17643467643467645,TierB_moderate_candidate,tested,75.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BMS-754807,BMS754807,4,3,2,0.09556650246305416,0.16696726521531857,-0.267487684729064,0.196440489432703,0.06157635467980294,none,tested,96.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-A02303741,BRDA02303741,4,3,3,0.13407716143361273,0.24905410819581705,-0.0876701642082852,0.3634909091375477,0.22491972133985194,TierB_moderate_candidate,tested,56.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-A02303741:carboplatin (1:1 mol/mol),BRDA02303741CARBOPLATIN11MOLMOL,4,3,2,0.1052093500191884,0.13147238131807265,-0.13520985419126536,0.2138457146969823,0.07573702395518123,TierB_moderate_candidate,tested,81.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-A02303741:navitoclax (2:1 mol/mol),BRDA02303741NAVITOCLAX21MOLMOL,4,1,0,-0.14994568180730944,0.16513681837877753,-0.3304479400611635,0.24783595504587266,-0.16365624487532177,none,tested,383.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-A71883111,BRDA71883111,4,1,1,-0.11066249022425877,0.09811417189098337,-0.19356179025957934,0.13969670835783063,-0.12052885504867936,none,tested,353.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K02492147,BRDK02492147,4,2,2,0.017255271999979716,0.1330949005439567,-0.04975077938319461,0.22953982381562885,0.059436771829480275,none,tested,204.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K03536150,BRDK03536150,4,1,0,-0.1718899701330241,0.31867279926043995,-0.31506343384688346,0.10072533281680394,-0.31504037519603617,none,tested,388.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K04800985,BRDK04800985,4,3,3,0.20808533797279788,0.3530046041452346,-0.20881934288038,0.5218840200186662,0.3216378469197799,TierA_strong_collateral,tested,20.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K09587429,BRDK09587429,4,2,1,0.01123078397682225,0.1729839480296732,-0.11842560895226054,0.1619290908204453,-0.05736606474750891,none,tested,216.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K11533227,BRDK11533227,4,3,3,0.037064810854377406,0.10586788323818871,-0.1382860871763572,0.19507022925360534,0.052084013608176126,none,tested,169.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K14844214,BRDK14844214,4,2,2,-0.014042993624613722,0.15658722182379303,-0.11576911626140937,0.1975318050424643,0.03813166737393602,none,tested,246.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K16147474,BRDK16147474,4,3,3,0.2855376003043065,0.19803574505215488,-0.1264839657317665,0.5307670709234865,0.3080195908965343,TierA_strong_collateral,tested,2.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K17060750,BRDK17060750,4,2,2,0.019956204458889664,0.20286319919076531,-0.3541690602264702,0.08402419464400479,0.08216612810765403,none,tested,197.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K19103580,BRDK19103580,4,3,2,0.05339695971261127,0.1540508628661039,-0.3384435288967613,0.2316404114565941,0.04571037452743457,none,tested,148.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K24690302,BRDK24690302,4,1,0,-0.05159701255363101,0.15056014619418398,-0.24630541871921177,0.1571428571428571,-0.08472906403940884,none,tested,293.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K26531177,BRDK26531177,4,3,2,0.07988142292490118,0.039011857707509895,-0.001976284584980237,0.12347826086956522,0.07478260869565216,none,tested,115.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K27188169,BRDK27188169,4,3,3,0.125500746461357,0.24891980918205103,-0.32881875373145575,0.354401906195688,0.17757717592820038,TierB_moderate_candidate,tested,63.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K28456706,BRDK28456706,4,2,2,0.07612062589040552,0.25295760378852994,-0.0699557253038776,0.25215870777974986,0.19107328956882091,none,tested,122.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K29313308,BRDK29313308,4,3,3,0.16918487851471373,0.16513001826288823,-0.09222384761618109,0.25367944787498015,0.22162100810811236,TierA_strong_collateral,tested,35.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K33199242,BRDK33199242,4,1,1,-0.1738671551104744,0.19812696272623262,-0.22203626375895336,0.372008126122457,-0.20694439861439445,none,tested,390.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K34222889,BRDK34222889,4,3,2,0.09671171740137258,0.20596501199949477,-0.14224664224664224,0.33577533577533575,0.15435139573070608,none,tested,94.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K35604418,BRDK35604418,4,3,2,0.026201627741815836,0.05678192735983424,-0.1337027330831609,0.07421115001404803,0.022999323351461164,none,tested,187.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
CTRPv2,100,weighted,BRD-K37390332,BRDK37390332,4,1,0,-0.09337182818146339,0.1715764357616376,-0.3173508295048416,0.04784743764693454,-0.14688974083059245,none,tested,335.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
