module,subtype,members,n_members,mean_nes_subtype,mean_nes_other,delta_nes_subtype_vs_other,subtype_direction
COESSENTIALITY::1013::biological process:nucleobase-containing small molecule interconversion,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.3615949119776356,1.0444606116164488,-2.4060555235940844,lower_vulnerability
COESSENTIALITY::1013::biological process:nucleobase-containing small molecule interconversion,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,1.0444606116164488,-1.3615949119776356,2.4060555235940844,higher_vulnerability
COESSENTIALITY::1014::molecular function:aminopeptidase activity,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.2159716263269942,0.35397264145441637,-0.13800101512742216,lower_vulnerability
COESSENTIALITY::1014::molecular function:aminopeptidase activity,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.35397264145441637,0.2159716263269942,0.13800101512742216,higher_vulnerability
COESSENTIALITY::1015::cellular component:cytosolic small ribosomal subunit,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.1747184140707736,-0.2979003059874135,-0.8768181080833601,lower_vulnerability
COESSENTIALITY::1015::cellular component:cytosolic small ribosomal subunit,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.2979003059874135,-1.1747184140707736,0.8768181080833601,higher_vulnerability
COESSENTIALITY::1016::molecular function:peptide hormone binding,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.43040122505736217,0.9344849347900732,-1.3648861598474353,lower_vulnerability
COESSENTIALITY::1016::molecular function:peptide hormone binding,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.9344849347900732,-0.43040122505736217,1.3648861598474353,higher_vulnerability
COESSENTIALITY::1017::molecular function:histone binding,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,1.285969186686611,-0.49146591259365874,1.7774350992802697,higher_vulnerability
COESSENTIALITY::1017::molecular function:histone binding,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.49146591259365874,1.285969186686611,-1.7774350992802697,lower_vulnerability
COESSENTIALITY::1018::molecular function:Hsp90 protein binding,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.3691658719427278,-0.36388671634798736,0.7330525882907152,higher_vulnerability
COESSENTIALITY::1018::molecular function:Hsp90 protein binding,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.36388671634798736,0.3691658719427278,-0.7330525882907152,lower_vulnerability
COESSENTIALITY::1019::biological process:positive regulation of G2/M transition of mitotic cell cycle,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,1.1172860565120215,-0.2360014060203097,1.3532874625323312,higher_vulnerability
COESSENTIALITY::1019::biological process:positive regulation of G2/M transition of mitotic cell cycle,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.2360014060203097,1.1172860565120215,-1.3532874625323312,lower_vulnerability
COESSENTIALITY::101::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,1.8263965918819023,-1.7716623504853377,3.59805894236724,higher_vulnerability
COESSENTIALITY::101::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-1.7716623504853377,1.8263965918819023,-3.59805894236724,lower_vulnerability
COESSENTIALITY::1020::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.9635241777823623,-0.34743030755920695,1.3109544853415693,higher_vulnerability
COESSENTIALITY::1020::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.34743030755920695,0.9635241777823623,-1.3109544853415693,lower_vulnerability
COESSENTIALITY::1021::biological process:blood coagulation,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.5689169057425839,1.399558380710569,-1.968475286453153,lower_vulnerability
COESSENTIALITY::1021::biological process:blood coagulation,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,1.399558380710569,-0.5689169057425839,1.968475286453153,higher_vulnerability
COESSENTIALITY::1022::molecular function:cAMP binding,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.0698822628367524,1.4386152665790657,-2.508497529415818,lower_vulnerability
COESSENTIALITY::1022::molecular function:cAMP binding,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,1.4386152665790657,-1.0698822628367524,2.508497529415818,higher_vulnerability
COESSENTIALITY::1023::biological process:negative regulation of epithelial cell proliferation,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.37052764177650616,-0.2557044866390843,0.6262321284155905,higher_vulnerability
COESSENTIALITY::1023::biological process:negative regulation of epithelial cell proliferation,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.2557044866390843,0.37052764177650616,-0.6262321284155905,lower_vulnerability
COESSENTIALITY::1024::cellular component:high-density lipoprotein particle,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.7731708850474922,0.4896556120599885,-1.2628264971074807,lower_vulnerability
COESSENTIALITY::1024::cellular component:high-density lipoprotein particle,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.4896556120599885,-0.7731708850474922,1.2628264971074807,higher_vulnerability
COESSENTIALITY::1025::biological process:activation of protein kinase B activity,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.09520480436374841,-0.2762216244327997,0.3714264287965481,higher_vulnerability
COESSENTIALITY::1025::biological process:activation of protein kinase B activity,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.2762216244327997,0.09520480436374841,-0.3714264287965481,lower_vulnerability
COESSENTIALITY::1026::biological process:transcription by RNA polymerase III,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.552978456443718,0.2292238375364319,0.3237546189072861,higher_vulnerability
COESSENTIALITY::1026::biological process:transcription by RNA polymerase III,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.2292238375364319,0.552978456443718,-0.3237546189072861,lower_vulnerability
COESSENTIALITY::1027::cellular component:dendrite cytoplasm,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.5421919927939501,-0.35851375708114586,0.900705749875096,higher_vulnerability
COESSENTIALITY::1027::cellular component:dendrite cytoplasm,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.35851375708114586,0.5421919927939501,-0.900705749875096,lower_vulnerability
COESSENTIALITY::1028::biological process:negative regulation of insulin receptor signaling pathway,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,1.0045500596997041,-0.12411696533858922,1.1286670250382933,higher_vulnerability
COESSENTIALITY::1028::biological process:negative regulation of insulin receptor signaling pathway,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.12411696533858922,1.0045500596997041,-1.1286670250382933,lower_vulnerability
COESSENTIALITY::1029::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,1.32664591533561,-1.171139226426597,2.497785141762207,higher_vulnerability
COESSENTIALITY::1029::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-1.171139226426597,1.32664591533561,-2.497785141762207,lower_vulnerability
COESSENTIALITY::102::biological process:canonical glycolysis,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.25578355296741345,0.6095424671751616,-0.35375891420774813,lower_vulnerability
COESSENTIALITY::102::biological process:canonical glycolysis,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.6095424671751616,0.25578355296741345,0.35375891420774813,higher_vulnerability
"COESSENTIALITY::1030::molecular function:transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding",cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.3077671674357823,-1.44439476170638,1.7521619291421622,higher_vulnerability
"COESSENTIALITY::1030::molecular function:transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding",cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-1.44439476170638,0.3077671674357823,-1.7521619291421622,lower_vulnerability
COESSENTIALITY::1031::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.3935622420371839,-0.9735757983953421,1.367138040432526,higher_vulnerability
COESSENTIALITY::1031::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.9735757983953421,0.3935622420371839,-1.367138040432526,lower_vulnerability
COESSENTIALITY::1033::biological process:cellular response to gamma radiation,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.4011725792122518,1.22396841380745,-1.6251409930197018,lower_vulnerability
COESSENTIALITY::1033::biological process:cellular response to gamma radiation,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,1.22396841380745,-0.4011725792122518,1.6251409930197018,higher_vulnerability
COESSENTIALITY::1034::biological process:cholesterol efflux,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.35629458231946765,-1.3309458978311686,1.6872404801506362,higher_vulnerability
COESSENTIALITY::1034::biological process:cholesterol efflux,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-1.3309458978311686,0.35629458231946765,-1.6872404801506362,lower_vulnerability
COESSENTIALITY::1036::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.4765709332599628,-1.4381071661062907,1.9146780993662535,higher_vulnerability
COESSENTIALITY::1036::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-1.4381071661062907,0.4765709332599628,-1.9146780993662535,lower_vulnerability
