database,DRUG_NAME,drug_key,n_models_available,n_models_positive_median_rho,n_models_direction_consistent_ge3of4,n_models_top50,n_models_top100,n_models_top200,median_model_rho,median_model_rank,signature_robust_flag,model_combinations
CTRPv2,1541B,1541B,6,0,0,0,0,0,-0.12339085719482029,361.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
CTRPv2,16-beta-bromoandrosterone,16BETABROMOANDROSTERONE,6,4,3,0,3,3,0.04760975065265798,152.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
CTRPv2,"1S,3R-RSL-3",1S3RRSL3,6,0,0,0,0,0,-0.17286916017797554,395.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
CTRPv2,3-Cl-AHPC,3CLAHPC,6,0,0,0,0,0,-0.06754658385093168,317.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
CTRPv2,5-Fluorouracil,5FLUOROURACIL,6,0,0,0,0,0,-0.14897793777104124,384.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
CTRPv2,AACOCF3,AACOCF3,6,4,0,0,0,2,0.015978975098299212,219.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
CTRPv2,ABT-737,ABT737,6,4,0,0,0,3,0.04077619030653015,186.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
CTRPv2,AC55649,AC55649,6,3,1,0,0,2,0.011314052917875884,214.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
CTRPv2,AGK2,AGK2,6,6,6,5,6,6,0.1734712452762217,22.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
CTRPv2,AM-580,AM580,6,5,5,1,4,5,0.09253246753246754,84.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
CTRPv2,AT7867,AT7867,6,5,1,0,0,3,0.023433088650479956,186.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
CTRPv2,AZ-3146,AZ3146,6,6,6,6,6,6,0.19282216022419224,19.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
CTRPv2,AZD-7545,AZD7545,6,6,6,3,4,6,0.13733132584579566,43.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
CTRPv2,AZD4547,AZD4547,6,0,0,0,0,0,-0.18632128740824394,394.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
