modality,gene,k,right_high_cohorts,left_high_cohorts,same_direction,pooled_hedges_g,se,ci_low,ci_high,meta_p,tau2,i2_percent,nominal_welch_p_lt_0.05,meta_fdr,stable_right_high,stable_left_high
single_cell_patient_pseudobulk,AGR2,4,4,0,True,1.3743970464139579,0.33266354331904885,0.7223765015086221,2.0264175913192934,3.604149242197498e-05,0.0,0.0,1,0.2781231866472754,False,False
single_cell_patient_pseudobulk,DIO3OS,4,0,4,True,-1.494833637722502,0.3378718331210327,-2.157062430639726,-0.832604844805278,9.677235460272793e-06,0.0,0.0,3,0.2781231866472754,False,False
single_cell_patient_pseudobulk,LY6G6D,4,0,4,True,-1.3803325577900365,0.3317566214336332,-2.0305755357999575,-0.7300895797801155,3.17303856286396e-05,0.0,0.0,2,0.2781231866472754,False,False
single_cell_patient_pseudobulk,QPRT,4,0,4,True,-1.4058211617425098,0.33615012158680047,-2.064675400052639,-0.7469669234323809,2.8879962281415618e-05,0.0,0.0,2,0.2781231866472754,False,False
single_cell_patient_pseudobulk,SLC26A3,4,0,4,True,-1.3162222689074106,0.3309585031953986,-1.9649009351703919,-0.6675436026444294,6.978989758527639e-05,0.0,0.0,2,0.43084095375294523,False,False
single_cell_patient_pseudobulk,SLCO3A1,4,0,4,True,-1.289346024259216,0.32808488293525573,-1.9323923948123172,-0.6462996537061149,8.497554929274694e-05,0.0,0.0,2,0.4371567133365366,False,False
single_cell_patient_pseudobulk,CDHR1,4,0,4,True,-1.2185232496571365,0.32314825939095415,-1.8518938380634067,-0.5851526612508664,0.00016273354102807225,0.0,0.0,2,0.5383971762773447,False,False
single_cell_patient_pseudobulk,CYP2W1,4,0,4,True,-1.2123957952480502,0.32157772408608426,-1.8426881344567754,-0.582103456039325,0.0001631503968713521,0.0,0.0,2,0.5383971762773447,False,False
single_cell_patient_pseudobulk,PRAC1,4,0,4,True,-2.927615474276295,0.765497987469775,-4.427991529717054,-1.427239418835536,0.00013105968711989933,1.0803054183215444,52.33030937255888,4,0.5383971762773447,False,False
single_cell_patient_pseudobulk,TNNC2,4,0,4,True,-1.2221637771114426,0.32561171478028456,-1.8603627380808003,-0.583964816142085,0.00017442484733772143,0.0,0.0,2,0.5383971762773447,False,False
