dataset_id,donor_key,donor_id,group,compartment,n_cells,PPARA,PPARD,PPARG,NR1I2,NR1I3,NR1H2,NR1H3,RELA,STAT3
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C109,C109,normal,fibroblast,77,3.0,1.0,0.0,0.0,0.0,24.0,21.0,11.0,38.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C109,C109,normal,myeloid,8,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C109,C109,tumor,endothelial,23,2.0,3.0,1.0,0.0,0.0,10.0,2.0,12.0,23.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C109,C109,tumor,epithelial,74,5.0,13.0,39.0,17.0,0.0,24.0,2.0,16.0,70.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C109,C109,tumor,fibroblast,49,8.0,2.0,1.0,1.0,0.0,26.0,8.0,19.0,66.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C109,C109,tumor,myeloid,264,3.0,11.0,5.0,1.0,0.0,35.0,47.0,19.0,74.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,normal,endothelial,10,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,normal,epithelial,364,86.0,69.0,119.0,32.0,1.0,84.0,47.0,30.0,158.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,normal,fibroblast,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,normal,myeloid,66,1.0,1.0,0.0,0.0,0.0,6.0,3.0,1.0,10.0
