stage,n,definition
total_core_chemicals,267,all Phase 1 primary chemicals
E_entity_valid,259,E_tag == 1
E_and_X_interpretable_exposure,135,E_tag == 1 and X_tag == 1
E_X_and_B_biomarker_available,134,E/X/B gates
E_X_B_and_D_detectable,127,E/X/B and D >= 1
E_X_B_D_and_C_coverage,124,E/X/B/D and C >= 1
E_X_B_D_C_and_T_testable,87,E=1 & X=1 & B=1 & D>=1 & C>=1 & T>=1
moderate_eligibility,87,E=1 & X=1 & B=1 & D>=1 & C>=2 & T>=1
strict_eligibility,27,E=1 & X=1 & B=1 & D=2 & C=2 & T=2
