database,signature_size,scoring_method,DRUG_NAME,drug_key,background,n_trajectory_values,n_positive_trajectory_values,median_rho,min_rho,max_rho,median_n,median_p
CTRPv2,100,weighted,1541B,1541B,HCT116,3,3,0.10404996362223054,0.01024734490218937,0.4106820533877432,25.0,0.62062690016059
CTRPv2,100,weighted,16-beta-bromoandrosterone,16BETABROMOANDROSTERONE,HCT116,3,1,-0.3271682373627604,-0.3876693130588186,0.25202358920523593,25.0,0.11040311901657467
CTRPv2,100,weighted,"1S,3R-RSL-3",1S3RRSL3,HCT116,3,3,0.36284760845383757,0.2182424916573971,0.46918798665183536,30.0,0.04875850889875157
CTRPv2,100,weighted,3-Cl-AHPC,3CLAHPC,HCT116,3,0,-0.1993224167137211,-0.3359683794466404,-0.04573687182382835,22.0,0.37383975032592714
CTRPv2,100,weighted,5-Fluorouracil,5FLUOROURACIL,HCT116,3,2,0.027472527472527472,-0.0879120879120879,0.36324786324786323,27.0,0.6628112255941981
CTRPv2,100,weighted,AACOCF3,AACOCF3,HCT116,3,0,-0.21037399015480862,-0.21521017383652838,-0.007945158905682427,26.0,0.30228475636631025
CTRPv2,100,weighted,ABT-737,ABT737,HCT116,3,0,-0.19108669108669107,-0.199023199023199,-0.020757020757020756,27.0,0.33969429263636514
CTRPv2,100,weighted,AC55649,AC55649,HCT116,3,2,0.05695813162617938,-0.041078894930396036,0.19641925391088527,26.0,0.7822630032718153
CTRPv2,100,weighted,AGK2,AGK2,HCT116,3,2,0.1929809315735613,-0.17775288101897613,0.20460962472433544,28.0,0.32516877546592815
CTRPv2,100,weighted,AM-580,AM580,HCT116,3,2,0.022077922077922082,-0.3311688311688311,0.4207792207792207,21.0,0.14253086581850202
CTRPv2,100,weighted,AT7867,AT7867,HCT116,3,0,-0.0958498023715415,-0.09683794466403163,-0.0800395256916996,23.0,0.6635269596839087
CTRPv2,100,weighted,AZ-3146,AZ3146,HCT116,3,2,0.03564363423913181,-0.23663412730979172,0.08316847989130756,23.0,0.7059702845432676
CTRPv2,100,weighted,AZD-7545,AZD7545,HCT116,3,2,0.017809938914145736,-0.03172395369082209,0.10296370934740504,28.0,0.8726810238755037
CTRPv2,100,weighted,AZD4547,AZD4547,HCT116,3,3,0.0961038961038961,0.02727272727272727,0.1155844155844156,21.0,0.6785829571667291
CTRPv2,100,weighted,AZD6482,AZD6482,HCT116,3,2,0.046153846153846156,-0.07076923076923076,0.04820512820512819,26.0,0.8151046375299716
