candidate_bridge,toxicology_support,epithelial_effect,regulon_effect,state_correlation,donor_consistency,external_support,overall_evidence_tier,causal_status
PPARG,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.0023; P=0.688,down_in_first_group; delta=-0.0156; FDR=0.51,gene-state correlation not available,0.50,GSE144735: down; status=alternative primary target-universe support,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
PPARA,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.0283; P=0.562,down_in_first_group; delta=-0.0526; FDR=0.292,gene-state correlation not available,0.67,GSE144735: down; status=alternative primary target-universe support,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
PPARD,MiNP no-cotreatment nuclear-receptor pathway overlap,up; median delta=0.00847; P=0.844,no DoRothEA activity summary,gene-state correlation not available,0.50,GSE144735: up; status=alternative primary target-universe support,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
NR1I2,MiNP no-cotreatment nuclear-receptor pathway overlap,up; median delta=0.0155; P=0.219,up_in_first_group; delta=0.0247; FDR=0.606,gene-state correlation not available,0.67,GSE144735: up; status=alternative primary target-universe support,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
NR1I3,MiNP no-cotreatment nuclear-receptor pathway overlap,flat; median delta=0; P=0.5,no DoRothEA activity summary,gene-state correlation not available,0.33,GSE144735: flat; status=alternative primary target-universe support,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
NR1H2,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.0499; P=0.0938,down_in_first_group; delta=-0.046; FDR=0.51,gene-state correlation not available,0.83,GSE144735: down; status=alternative primary target-universe support,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
NR1H3,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.0152; P=1,up_in_first_group; delta=0.0457; FDR=0.438,gene-state correlation not available,0.67,GSE144735: down; status=alternative primary target-universe support,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
RELA,DINP parent: single-chemical CTD evidence,up; median delta=0.0132; P=0.312,down_in_first_group; delta=-0.0118; FDR=0.438,gene-state correlation not available,0.67,GSE144735: up; status=alternative primary target-universe support,Directly supported,not established; convergence is associative and exposure-to-state direction is untested
STAT3,DINP parent: single-chemical CTD evidence,up; median delta=0.0428; P=0.312,up_in_first_group; delta=0.0131; FDR=0.486,gene-state correlation not available,0.83,GSE144735: up; status=alternative primary target-universe support,Directly supported,not established; convergence is associative and exposure-to-state direction is untested
HIF1A,none in current DINP-axis single-chemical bridge table,down; median delta=-0.0465; P=0.312,up_in_first_group; delta=0.0323; FDR=0.438,gene-state correlation not available,0.67,GSE144735: down; status=alternative primary target-universe support,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
MYC,none in current DINP-axis single-chemical bridge table,up; median delta=0.0854; P=0.0312,up_in_first_group; delta=0.028; FDR=0.486,gene-state correlation not available,1.00,GSE144735: up; status=alternative primary target-universe support,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
JUN,none in current DINP-axis single-chemical bridge table,down; median delta=-0.616; P=0.0312,up_in_first_group; delta=0.0183; FDR=0.328,gene-state correlation not available,1.00,GSE144735: down; status=alternative primary target-universe support,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
FOS,none in current DINP-axis single-chemical bridge table,down; median delta=-0.363; P=0.219,up_in_first_group; delta=0.0382; FDR=0.219,gene-state correlation not available,0.83,GSE144735: down; status=alternative primary target-universe support,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
TP53,none in current DINP-axis single-chemical bridge table,up; median delta=0.0495; P=0.562,down_in_first_group; delta=-0.011; FDR=0.51,gene-state correlation not available,0.67,GSE144735: up; status=alternative primary target-universe support,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
SMAD3,none in current DINP-axis single-chemical bridge table,up; median delta=0.0169; P=0.438,up_in_first_group; delta=0.00323; FDR=1,gene-state correlation not available,0.67,GSE144735: up; status=alternative primary target-universe support,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
TCF7L2,none in current DINP-axis single-chemical bridge table,up; median delta=0.0595; P=0.312,up_in_first_group; delta=0.155; FDR=0.219,gene-state correlation not available,0.83,GSE144735: up; status=alternative primary target-universe support,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
