gene_symbol,ml_rank,stable_ml_flag,ml_priority_score,expression_measured,cross_rank,cross_support_flag,ppi_pathway_candidate,independent_datasets_significant_fdr_lt_0_05,representative_term_count,hub_rank,cross_rank_score,candidate_tier,consensus_direction,stable_ml,tier1,ppi_pathway_candidate_flag,transcriptomic_replicated_ge2,crossrank_top20,overlap_group_stable_vs_tier1
CEBPB,14,True,0.8501801338533097,True,9,True,True,3,12,17.0,0.7765114083058591,Tier 1: cross-supported,tumor_high,True,True,True,True,True,both_stable_ml_and_tier1
IL1A,13,True,0.8501801338533097,True,2,True,True,3,21,15.0,0.9114995224156894,Tier 1: cross-supported,tumor_high,True,True,True,True,True,both_stable_ml_and_tier1
ACLY,12,True,0.8501801338533097,True,39,False,False,3,9,46.0,0.5710428637899366,Tier 2: replicated + pathway,tumor_high,True,False,False,True,False,stable_ml_only
ANGPT2,1,True,0.9884468313447943,True,57,False,False,3,11,77.0,0.4656164286735046,Tier 2: replicated + pathway,tumor_high,True,False,False,True,False,stable_ml_only
BMP2,9,True,0.9884468313447943,True,58,False,False,3,9,70.0,0.46195524735764315,Tier 2: replicated + pathway,normal_high,True,False,False,True,False,stable_ml_only
CAT,10,True,0.9201499967402542,True,72,False,False,1,12,81.0,0.3148599491455605,Tier 4: other,normal_high,True,False,False,False,False,stable_ml_only
CD36,8,True,0.9884468313447943,True,3,False,False,3,17,23.0,0.8562592600847383,Tier 2: replicated + pathway,normal_high,True,False,False,True,True,stable_ml_only
CNR1,2,True,0.9884468313447943,True,62,False,False,3,12,82.0,0.44444183429643125,Tier 2: replicated + pathway,normal_high,True,False,False,True,False,stable_ml_only
EPAS1,3,True,0.9884468313447943,True,36,False,False,3,11,55.0,0.5962586974351758,Tier 2: replicated + pathway,normal_high,True,False,False,True,False,stable_ml_only
FAS,16,True,0.8501801338533097,True,16,False,False,3,18,54.0,0.7219842091270774,Tier 2: replicated + pathway,normal_high,True,False,False,True,True,stable_ml_only
FASN,17,True,0.850167511896872,True,22,False,False,3,11,32.0,0.6896934196655691,Tier 2: replicated + pathway,tumor_high,True,False,False,True,False,stable_ml_only
INHBA,4,True,0.9884468313447943,True,71,False,False,3,10,86.0,0.3171303649567806,Tier 2: replicated + pathway,normal_high,True,False,False,True,False,stable_ml_only
MKI67,11,True,0.8501801338533097,True,77,False,False,3,3,74.0,0.24562847187347348,Tier 2: replicated + pathway,tumor_high,True,False,False,True,False,stable_ml_only
RXRA,15,True,0.8501801338533097,True,7,False,False,3,15,30.0,0.8049890026940303,Tier 2: replicated + pathway,normal_high,True,False,False,True,True,stable_ml_only
TIMP1,5,True,0.9884468313447943,True,38,False,False,3,8,33.0,0.577340041821536,Tier 2: replicated + pathway,tumor_high,True,False,False,True,False,stable_ml_only
UBE2C,6,True,0.9884468313447943,True,69,False,False,3,6,75.0,0.3424597576191406,Tier 2: replicated + pathway,tumor_high,True,False,False,True,False,stable_ml_only
VEGFA,7,True,0.9884468313447943,True,91,False,False,2,0,63.0,0.0,"Tier 2b: replicated, no representative pathway",tumor_high,True,False,False,True,False,stable_ml_only
ADIPOQ,23,False,0.7759040422874461,True,19,True,True,2,14,18.0,0.7181988768795525,Tier 1: cross-supported,normal_high,False,True,True,True,True,tier1_only
ESR1,81,False,0.324552373926584,True,5,True,True,3,14,14.0,0.8357803219813668,Tier 1: cross-supported,normal_high,False,True,True,True,True,tier1_only
IFNG,54,False,0.43244181144896376,True,21,True,True,2,20,9.0,0.7052036542436786,Tier 1: cross-supported,tumor_high,False,True,True,True,False,tier1_only
IL13,33,False,0.6981581732769347,True,24,True,True,2,16,13.0,0.6743806158581473,Tier 1: cross-supported,tumor_high,False,True,True,True,False,tier1_only
IL18,35,False,0.6981581732769347,True,11,True,True,3,12,20.0,0.7666810931053485,Tier 1: cross-supported,normal_high,False,True,True,True,True,tier1_only
IL1B,37,False,0.6159318101168869,True,1,True,True,3,26,6.0,0.9616416666031198,Tier 1: cross-supported,tumor_high,False,True,True,True,True,tier1_only
IL6,60,False,0.43244181144896376,True,12,True,True,2,33,1.0,0.7565294730679974,Tier 1: cross-supported,tumor_high,False,True,True,True,True,tier1_only
MMP9,57,False,0.43244181144896376,True,10,True,True,2,15,8.0,0.7730328131801563,Tier 1: cross-supported,tumor_high,False,True,True,True,True,tier1_only
PPARA,78,False,0.324552373926584,True,14,True,True,3,15,16.0,0.7491399075023615,Tier 1: cross-supported,normal_high,False,True,True,True,True,tier1_only
PPARG,43,False,0.6156564374541913,True,6,True,True,2,20,7.0,0.8133264938243043,Tier 1: cross-supported,normal_high,False,True,True,True,True,tier1_only
RELA,85,False,0.20482828920545848,True,17,True,True,2,28,12.0,0.7212930114155423,Tier 1: cross-supported,tumor_high,False,True,True,True,True,tier1_only
SREBF1,66,False,0.4317353681451079,True,31,True,True,2,14,19.0,0.6247459830671009,Tier 1: cross-supported,tumor_high,False,True,True,True,False,tier1_only
STAT3,40,False,0.6159318101168869,True,4,True,True,2,28,5.0,0.8477447545397062,Tier 1: cross-supported,normal_high,False,True,True,True,True,tier1_only
TP53,38,False,0.6159318101168869,True,13,True,True,2,33,3.0,0.7512388840814761,Tier 1: cross-supported,tumor_high,False,True,True,True,True,tier1_only
ACACA,21,False,0.7759040422874461,True,20,False,False,3,13,40.0,0.7161341423119625,Tier 2: replicated + pathway,tumor_high,False,False,False,True,True,neither
ACE,86,False,0.20482828920545848,True,64,False,False,1,12,48.0,0.39943461710316647,Tier 4: other,normal_high,False,False,False,False,False,neither
ACP3,96,False,0.0,False,96,False,False,0,0,79.0,0.0,Tier 4: other,mixed_or_flat,False,False,False,False,False,neither
ACSL4,28,False,0.6981581732769347,True,37,False,False,3,15,72.0,0.5795332382461118,Tier 2: replicated + pathway,tumor_high,False,False,False,True,False,neither
AGTR1,18,False,0.7761734969179244,True,41,False,False,3,11,65.0,0.5445882786578613,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
AKT1,72,False,0.324552373926584,True,35,False,True,1,42,4.0,0.5993305290123174,Tier 3: PPI/pathway only,normal_high,False,False,True,False,False,neither
ALOX5,82,False,0.20482828920545848,True,95,False,False,0,13,76.0,0.0,Tier 4: other,normal_high,False,False,False,False,False,neither
ANGPTL4,87,False,0.20482828920545848,True,73,False,False,1,8,67.0,0.3109603535111939,Tier 4: other,normal_high,False,False,False,False,False,neither
AR,55,False,0.43244181144896376,True,51,False,False,2,8,37.0,0.4936187922840724,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
ATF4,64,False,0.4317353681451079,True,30,False,False,3,22,58.0,0.6263316395713714,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
ATG5,83,False,0.20482828920545848,True,70,False,False,1,9,49.0,0.33896502644890203,Tier 4: other,normal_high,False,False,False,False,False,neither
BECN1,50,False,0.5274645876605155,True,61,False,False,1,14,39.0,0.4492326063344569,Tier 4: other,tumor_high,False,False,False,False,False,neither
BSCL2,63,False,0.4317353681451079,True,81,False,False,2,4,80.0,0.19753725467279398,Tier 2: replicated + pathway,tumor_high,False,False,False,True,False,neither
CCN2,97,False,0.0,False,94,False,False,0,12,44.0,0.0,Tier 4: other,mixed_or_flat,False,False,False,False,False,neither
CCR7,58,False,0.43244181144896376,True,42,False,False,3,7,34.0,0.5339411183005239,Tier 2: replicated + pathway,normal_high,False,False,False,True,False,neither
CD80,32,False,0.6981581732769347,True,66,False,False,2,6,22.0,0.39333407043762103,Tier 2: replicated + pathway,tumor_high,False,False,False,True,False,neither
