dataset_id,group,cells,donors
019c7af2-c827-4454-9970-44d5e39ce068,normal,5254,3
16023185-de21-4c0d-a9c8-73abdd52d142,normal,112864,36
16023185-de21-4c0d-a9c8-73abdd52d142,tumor,257251,62
19053a82-9c89-4fb8-bd19-d7b1800b0b7b,normal,108048,30
1b350d0a-4535-4879-beb6-1142f3f94947,normal,4487,1
1b9d8702-5af8-4142-85ed-020eb06ec4f6,normal,828,4
2872f4b0-b171-46e2-abc6-befcf6de6306,normal,27692,5
2adb1f8a-a6b1-4909-8ee8-484814e2d4bf,normal,32505,3
4dd00779-7f73-4f50-89bb-e2d3c6b71b18,normal,34772,12
518d9049-2a76-44f8-8abc-1e2b59ab5ba1,normal,80346,39
53d208b0-2cfd-4366-9866-c3c6114081bc,normal,30084,5
5ce42b38-d867-487f-9b40-e8bb00b21d0b,normal,57641,21
6725ee8e-ef5b-4e68-8901-61bd14a1fe73,normal,53217,12
6a270451-b4d9-43e0-aa89-e33aac1ac74b,normal,3237,38
6cf3634d-e911-44ad-bf52-c747a9af3c01,normal,27917,21
80a2c5b6-02e7-4fc0-9f12-179f5247c1bc,normal,111645,13
829a3cd1-a466-49f1-b2e9-d3f6b7f392e2,normal,18117,21
9968be68-ab65-4a38-9e1a-c9b6abece194,normal,13053,3
9d5df009-eb76-43a3-b6cd-22017cc53700,normal,49095,12
b46237d1-19c6-4af2-9335-9854634bad16,normal,21147,9
b617ee1b-f8c8-4de9-b82b-e803ab93550d,normal,6039,7
d6dfdef1-406d-4efb-808c-3c5eddbfe0cb,normal,30274,17
e3ed2ba4-edf5-40ac-8750-8a417ad1eefe,tumor,31536,6
e40c6272-af77-4a10-9385-62a398884f27,normal,28165,21
