external_priority_rank,model_id,model_number,selector_name,classifier_name,feature_normalization,cv_grouping,requested_features,selective_selector,full_train_selected_feature_count,full_train_selected_features,internal_cv_folds,internal_roc_auc_mean,internal_roc_auc_sd,internal_pr_auc_mean,internal_pr_auc_sd,internal_balanced_accuracy_mean,internal_balanced_accuracy_sd,internal_f1_mean,internal_f1_sd,internal_sensitivity_mean,internal_sensitivity_sd,internal_specificity_mean,internal_specificity_sd,GSE10950_roc_auc,GSE10950_pr_auc,GSE10950_balanced_accuracy,GSE10950_f1,GSE10950_sensitivity,GSE10950_specificity,GSE74602_roc_auc,GSE74602_pr_auc,GSE74602_balanced_accuracy,GSE74602_f1,GSE74602_sensitivity,GSE74602_specificity,external_mean_roc_auc,external_mean_pr_auc,external_mean_balanced_accuracy,external_auc_ge_0_75_both_datasets,external_validation_qualified
1,M100_all_features__lda_shrinkage,100,all_features,lda_shrinkage,within_sample_rank_percentile_0_to_1,patient_group,all,False,95,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;AKT1;ALOX5;ANGPT2;ANGPTL4;AR;ATF4;ATG5;BECN1;BMP2;BSCL2;CAT;CCR7;CD36;CD80;CD86;CEBPA;CEBPB;CNR1;COPS5;CXCR4;CYP11B1;CYP17A1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GJB2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL4;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MMP9;MUC2;NFE2L2;NLRP3;NOS3;NR1I2;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RELA;RXRA;RYR1;SIRT1;SIRT3;SLC2A1;SLC2A3;SORBS1;SQSTM1;SREBF1;STAT3;STAT6;TIMP1;TIMP2;TNC;TNF;TP53;TPM1;TXN;UBE2C;VEGFA;WNT4,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9999999999999999,0.5416666666666666,0.15384615384615385,0.08333333333333333,1.0,1.0,1.0,0.8166666666666667,0.7755102040816326,0.6333333333333333,1.0,1.0,1.0,0.6791666666666667,True,False
2,M076_mutual_info_top20__rbf_svm,76,mutual_info_top20,rbf_svm,within_sample_rank_percentile_0_to_1,patient_group,20,True,20,ACACA;ACLY;ADIPOQ;ANGPT2;BMP2;CAT;CD36;CEBPB;CNR1;EPAS1;FAS;IL1A;INHBA;MKI67;NOS3;RXRA;TIMP1;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9888888888888889,0.024845199749997673,0.9982905982905983,0.00382233842307655,1.0,0.0,0.9777777777777779,0.04969039949999535,1.0,0.9999999999999999,0.5,0.6666666666666666,1.0,0.0,1.0,0.9999999999999999,0.5,0.6666666666666666,1.0,0.0,1.0,0.9999999999999999,0.5,True,True
3,M039_f_classif_top60__linear_svm,39,f_classif_top60,linear_svm,within_sample_rank_percentile_0_to_1,patient_group,60,True,60,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;AR;BECN1;BMP2;CAT;CCR7;CD36;CD80;CEBPA;CEBPB;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;FABP1;FAS;FASN;G6PD;GRN;GSR;GUCY2C;HMGCR;IFNG;IL13;IL18;IL1A;IL1B;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP9;MUC2;NFE2L2;NOS3;NR3C1;PGR;PPARD;PPARG;RBFOX1;RXRA;SLC2A1;SLC2A3;SORBS1;STAT3;TIMP1;TIMP2;TP53;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9999999999999999,0.9583333333333333,0.96,1.0,0.9166666666666666,0.9988888888888889,0.9989247311827957,0.9333333333333333,0.9375,1.0,0.8666666666666667,0.9994444444444445,0.9994623655913978,0.9458333333333333,True,True
4,M019_f_classif_top20__logistic_l2,19,f_classif_top20,logistic_l2,within_sample_rank_percentile_0_to_1,patient_group,20,True,20,ACLY;AGTR1;ANGPT2;BMP2;CAT;CD36;CEBPB;CNR1;EPAS1;FAS;FASN;IL1A;INHBA;MKI67;NR3C1;PPARD;RXRA;TIMP1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.998263888888889,0.9983333333333333,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.9991319444444444,0.9991666666666666,0.9791666666666667,True,True
5,M028_f_classif_top40__logistic_l2,28,f_classif_top40,logistic_l2,within_sample_rank_percentile_0_to_1,patient_group,40,True,40,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;BMP2;CAT;CD36;CD80;CEBPB;CNR1;CYP3A4;DUSP1;EPAS1;FAS;FASN;G6PD;GRN;GSR;IL13;IL18;IL1A;IL5;INHBA;LDLR;MKI67;MUC2;NOS3;NR3C1;PPARD;PPARG;RXRA;SLC2A1;SLC2A3;SORBS1;TIMP1;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.998263888888889,0.9983333333333333,0.9791666666666667,0.9795918367346939,1.0,0.9583333333333334,1.0,1.0,0.9666666666666667,0.967741935483871,1.0,0.9333333333333333,0.9991319444444444,0.9991666666666666,0.9729166666666667,True,True
6,M082_mutual_info_top40__logistic_l2,82,mutual_info_top40,logistic_l2,within_sample_rank_percentile_0_to_1,patient_group,40,True,40,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;BMP2;CAT;CD36;CD80;CEBPB;CNR1;DUSP1;EPAS1;FABP1;FAS;FASN;G6PD;GRN;GSR;IL13;IL18;IL1A;IL1B;INHBA;LDLR;MKI67;MUC2;NFE2L2;NOS3;NR3C1;PPARD;RXRA;SLC2A1;STAT3;TIMP1;TP53;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982456140350877,0.0039229262763154325,0.9982300884955752,0.003957642438052731,0.9964912280701753,0.007845852552630865,1.0,0.0,0.998263888888889,0.9983333333333333,0.9791666666666667,0.9795918367346939,1.0,0.9583333333333334,1.0,1.0,0.9666666666666667,0.967741935483871,1.0,0.9333333333333333,0.9991319444444444,0.9991666666666666,0.9729166666666667,True,True
7,M091_mutual_info_top60__logistic_l2,91,mutual_info_top60,logistic_l2,within_sample_rank_percentile_0_to_1,patient_group,60,True,60,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;ATF4;BECN1;BMP2;BSCL2;CAT;CD36;CD80;CEBPB;CNR1;CYP17A1;CYP3A4;DUSP1;EPAS1;FABP1;FAS;FASN;G6PD;GATA2;GPX1;GRN;GSR;GUCY2C;HMGCR;IL13;IL18;IL1A;IL1B;IL4;IL5;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MUC2;NFE2L2;NOS3;NR3C1;PGR;PPARD;PPARG;RBFOX1;RXRA;RYR1;SLC2A1;SORBS1;SREBF1;STAT3;TIMP1;TP53;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9965277777777778,0.9965972222222222,0.9791666666666667,0.9795918367346939,1.0,0.9583333333333334,1.0,1.0,0.9833333333333334,0.9836065573770492,1.0,0.9666666666666667,0.9982638888888888,0.9982986111111112,0.9812500000000001,True,True
8,M037_f_classif_top60__logistic_l2,37,f_classif_top60,logistic_l2,within_sample_rank_percentile_0_to_1,patient_group,60,True,60,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;AR;BECN1;BMP2;CAT;CCR7;CD36;CD80;CEBPA;CEBPB;CNR1;COPS5;CYP3A4;DUSP1;EPAS1;FABP1;FAS;FASN;G6PD;GRN;GSR;GUCY2C;HMGCR;IFNG;IL13;IL18;IL1A;IL1B;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP9;MUC2;NFE2L2;NOS3;NR3C1;PGR;PPARD;PPARG;RBFOX1;RXRA;SLC2A1;SLC2A3;SORBS1;STAT3;TIMP1;TIMP2;TP53;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9965277777777778,0.9965972222222222,0.9791666666666667,0.9795918367346939,1.0,0.9583333333333334,1.0,1.0,0.9666666666666667,0.967741935483871,1.0,0.9333333333333333,0.9982638888888888,0.9982986111111112,0.9729166666666667,True,True
9,M021_f_classif_top20__linear_svm,21,f_classif_top20,linear_svm,within_sample_rank_percentile_0_to_1,patient_group,20,True,20,ACLY;AGTR1;ANGPT2;BMP2;CAT;CD36;CEBPB;CNR1;EPAS1;FAS;FASN;IL1A;INHBA;MKI67;NR3C1;PPARD;RXRA;TIMP1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982456140350877,0.0039229262763154325,0.9982300884955752,0.003957642438052731,0.9964912280701753,0.007845852552630865,1.0,0.0,0.9965277777777778,0.9965972222222222,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9833333333333334,0.9836065573770492,1.0,0.9666666666666667,0.9982638888888888,0.9982986111111112,0.9708333333333334,True,True
10,M022_f_classif_top20__rbf_svm,22,f_classif_top20,rbf_svm,within_sample_rank_percentile_0_to_1,patient_group,20,True,20,ACLY;AGTR1;ANGPT2;BMP2;CAT;CD36;CEBPB;CNR1;EPAS1;FAS;FASN;IL1A;INHBA;MKI67;NR3C1;PPARD;RXRA;TIMP1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9888888888888889,0.024845199749997673,0.9982905982905983,0.00382233842307655,1.0,0.0,0.9777777777777779,0.04969039949999535,0.9965277777777778,0.9965972222222222,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.9982638888888888,0.9982986111111112,0.5,True,True
11,M030_f_classif_top40__linear_svm,30,f_classif_top40,linear_svm,within_sample_rank_percentile_0_to_1,patient_group,40,True,40,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;BMP2;CAT;CD36;CD80;CEBPB;CNR1;CYP3A4;DUSP1;EPAS1;FAS;FASN;G6PD;GRN;GSR;IL13;IL18;IL1A;IL5;INHBA;LDLR;MKI67;MUC2;NOS3;NR3C1;PPARD;PPARG;RXRA;SLC2A1;SLC2A3;SORBS1;TIMP1;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9965277777777778,0.9965972222222222,0.9583333333333333,0.96,1.0,0.9166666666666666,0.9988888888888889,0.9989247311827957,0.9166666666666667,0.9230769230769231,1.0,0.8333333333333334,0.9977083333333334,0.997760976702509,0.9375,True,True
12,M074_mutual_info_top20__logistic_l1,74,mutual_info_top20,logistic_l1,within_sample_rank_percentile_0_to_1,patient_group,20,True,20,ACACA;ACLY;ADIPOQ;ANGPT2;BMP2;CAT;CD36;CEBPB;CNR1;EPAS1;FAS;IL1A;INHBA;MKI67;NOS3;RXRA;TIMP1;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,0.9982456140350877,0.0039229262763154325,0.9982300884955752,0.003957642438052731,0.9964912280701753,0.007845852552630865,1.0,0.0,0.9965277777777777,0.9967948717948718,0.5833333333333334,0.2857142857142857,0.16666666666666666,1.0,0.9988888888888889,0.9989247311827957,0.9333333333333333,0.9285714285714286,0.8666666666666667,1.0,0.9977083333333333,0.9978598014888338,0.7583333333333333,True,True
13,M084_mutual_info_top40__linear_svm,84,mutual_info_top40,linear_svm,within_sample_rank_percentile_0_to_1,patient_group,40,True,40,ACACA;ACLY;ACSL4;ADIPOQ;AGTR1;ANGPT2;BMP2;CAT;CD36;CD80;CEBPB;CNR1;DUSP1;EPAS1;FABP1;FAS;FASN;G6PD;GRN;GSR;IL13;IL18;IL1A;IL1B;INHBA;LDLR;MKI67;MUC2;NFE2L2;NOS3;NR3C1;PPARD;RXRA;SLC2A1;STAT3;TIMP1;TP53;TPM1;UBE2C;VEGFA,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9947916666666667,0.9947856280193237,0.9791666666666667,0.9795918367346939,1.0,0.9583333333333334,1.0,1.0,0.9166666666666667,0.9230769230769231,1.0,0.8333333333333334,0.9973958333333334,0.9973928140096618,0.9479166666666667,True,True
14,M001_all_features__logistic_l2,1,all_features,logistic_l2,within_sample_rank_percentile_0_to_1,patient_group,all,False,95,ACACA;ACE;ACLY;ACSL4;ADIPOQ;AGTR1;AKT1;ALOX5;ANGPT2;ANGPTL4;AR;ATF4;ATG5;BECN1;BMP2;BSCL2;CAT;CCR7;CD36;CD80;CD86;CEBPA;CEBPB;CNR1;COPS5;CXCR4;CYP11B1;CYP17A1;CYP3A4;DUSP1;EPAS1;ESR1;FABP1;FAS;FASN;FDPS;G6PD;GATA2;GJB2;GPX1;GRN;GSR;GUCY2C;HMGCR;HSPA9;IFNG;IL13;IL18;IL1A;IL1B;IL33;IL4;IL5;IL6;INHBA;LDLR;LEPR;MIR143;MKI67;MMP2;MMP9;MUC2;NFE2L2;NLRP3;NOS3;NR1I2;NR3C1;NR4A1;PGR;PPARA;PPARD;PPARG;RBFOX1;RELA;RXRA;RYR1;SIRT1;SIRT3;SLC2A1;SLC2A3;SORBS1;SQSTM1;SREBF1;STAT3;STAT6;TIMP1;TIMP2;TNC;TNF;TP53;TPM1;TXN;UBE2C;VEGFA;WNT4,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9965277777777778,0.9965972222222222,0.9791666666666667,0.9795918367346939,1.0,0.9583333333333334,0.9977777777777778,0.9978136200716845,0.95,0.9523809523809523,1.0,0.9,0.9971527777777778,0.9972054211469534,0.9645833333333333,True,False
