database,DRUG_NAME,drug_key,n_models_available,n_models_positive_median_rho,n_models_direction_consistent_ge3of4,n_models_top50,n_models_top100,n_models_top200,median_model_rho,median_model_rank,signature_robust_flag,model_combinations
GDSC1,PI3Ka_4409,PI3KA4409,6,4,4,0,0,3,0.040902998139840246,202.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,PIK-93,PIK93,6,6,6,1,3,6,0.09228307254623044,117.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,PLK_6522,PLK6522,6,6,2,2,4,6,0.12951362293467555,71.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,PLX-4720,PLX4720,6,6,1,1,3,6,0.11059470401575663,103.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Palbociclib,PALBOCICLIB,6,5,1,0,2,4,0.0867794486215539,129.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Panobinostat,PANOBINOSTAT,6,6,4,0,2,5,0.08449163449163449,133.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Pazopanib,PAZOPANIB,6,2,1,0,1,1,-0.013466351501668528,282.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Pelitinib,PELITINIB,6,5,5,2,2,4,0.07734708392603129,151.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Pemetrexed,PEMETREXED,6,0,0,0,0,0,-0.09268780058253742,324.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Pevonedistat,PEVONEDISTAT,6,3,1,0,0,1,-0.015000000000000001,259.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Phenformin,PHENFORMIN,6,0,0,0,0,0,-0.2334044570886676,334.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Pictilisib,PICTILISIB,6,1,0,0,0,1,-0.024503501477185684,286.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Pilaralisib,PILARALISIB,6,6,1,0,0,6,0.07539573986942408,143.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Piperlongumine,PIPERLONGUMINE,6,4,1,0,0,0,0.011532990480358902,238.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Ponatinib,PONATINIB,6,0,0,0,0,0,-0.046854143492769756,293.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,QL-VIII-58,QLVIII58,6,5,5,0,2,6,0.0831305617352614,119.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,QL-X-138,QLX138,6,4,4,0,0,2,0.03386584965532334,213.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,QL-XI-92,QLXI92,6,6,5,4,6,6,0.19062078272604588,16.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,QL-XII-47,QLXII47,6,5,3,2,3,5,0.1060701389648758,100.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,QL-XII-61,QLXII61,6,0,0,0,0,0,-0.06969074986316363,313.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,QS11,QS11,6,5,0,0,0,3,0.028191045606229134,206.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Quizartinib,QUIZARTINIB,6,5,1,0,0,4,0.07625743152058942,157.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,RAF_9304,RAF9304,6,6,6,5,6,6,0.163603785972207,29.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,RO-3306,RO3306,6,6,6,2,4,6,0.11384815990079147,89.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,RU-SKI 43,RUSKI43,6,3,1,0,0,1,0.00752895752895753,234.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Refametinib,REFAMETINIB,6,6,3,0,0,1,0.010028449502133713,249.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Rucaparib,RUCAPARIB,6,6,3,0,4,6,0.08599135572819783,98.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Ruxolitinib,RUXOLITINIB,6,6,3,3,4,6,0.13505762847868108,57.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,SB216763,SB216763,6,6,6,1,1,5,0.07776451489686784,142.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,SB505124,SB505124,6,6,5,0,4,6,0.1012799940752444,94.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,SB52334,SB52334,6,6,5,0,0,4,0.0569263595579385,150.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,SB590885,SB590885,6,5,1,0,1,5,0.05572884914990178,179.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,SGC0946,SGC0946,6,6,4,0,2,6,0.08273386168123009,127.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,SL0101,SL0101,6,6,4,2,5,6,0.13351960983539932,75.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,SN-38,SN38,6,6,6,6,6,6,0.19928876244665716,17.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,SNX-2112,SNX2112,6,6,4,0,3,6,0.10355801145274829,103.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,STF-62247,STF62247,6,4,1,0,0,4,0.049672648356858876,178.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,SU11274,SU11274,6,5,1,0,0,5,0.08056133056133055,138.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Selisistat,SELISISTAT,6,6,6,5,6,6,0.1924262318999161,24.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Selumetinib,SELUMETINIB,6,6,6,2,4,6,0.14548911259437575,61.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Sepantronium bromide,SEPANTRONIUMBROMIDE,6,6,3,0,2,6,0.07375872112714217,135.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Serdemetan,SERDEMETAN,6,6,6,6,6,6,0.20955064376117005,10.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Shikonin,SHIKONIN,6,4,0,0,2,4,0.10182345463213094,114.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,Sphingosine Kinase 1 Inhibitor II,SPHINGOSINEKINASE1INHIBITORII,6,6,4,1,3,6,0.13249534960061274,79.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,T0901317,T0901317,6,6,6,5,6,6,0.2189646413330624,12.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
