drug,role,subtype,n_models,models,rrs_top_signature,rho_top_signature,n_genes_top,rrs_target_network,rho_target_network,n_genes_target_network,rrs_target_network_no_DHODH,rho_target_network_no_DHODH,n_genes_target_network_no_DHODH
leflunomide,primary,global,6,GSE77932|HCT116;GSE77932|DLD1;GSE42387|HCT116;GSE42387|HT29;GSE42387|LoVo;GSE119603|HCT116,0.6091346153846153,-0.21826923076923077,65,0.4922048364153627,0.015590327169274538,75,0.5017845242502776,-0.0035690485005553494,74
leflunomide,primary,salvage_low_DHODH_high,3,GSE77932|DLD1;GSE42387|HCT116;GSE119603|HCT116,0.5913738892686261,-0.18274777853725221,76,0.45458036984352773,0.09083926031294452,75,0.45737134394668644,0.08525731210662715,74
leflunomide,primary,salvage_low_RRM2_high,3,GSE77932|HCT116;GSE77932|DLD1;GSE119603|HCT116,0.44814218580704757,0.10371562838590492,330,0.49205542002412356,0.01588915995175289,75,0.49219542536391314,0.015609149272173734,74
leflunomide,primary,UPR_low_ERAD_high,4,GSE42387|HCT116;GSE42387|HT29;GSE42387|LoVo;GSE119603|HCT116,0.6169580419580419,-0.23391608391608393,65,0.49770981507823614,0.004580369843527738,75,0.507530544242873,-0.015061088485746017,74
teriflunomide,primary,global,6,GSE77932|HCT116;GSE77932|DLD1;GSE42387|HCT116;GSE42387|HT29;GSE42387|LoVo;GSE119603|HCT116,0.6020760489510489,-0.2041520979020979,65,0.4838691322901849,0.03226173541963015,75,0.4860866345797853,0.027826730840429467,74
teriflunomide,primary,salvage_low_DHODH_high,3,GSE77932|DLD1;GSE42387|HCT116;GSE119603|HCT116,0.547928913192071,-0.09585782638414217,76,0.4657041251778094,0.06859174964438121,75,0.4673232136245835,0.065353572750833,74
teriflunomide,primary,salvage_low_RRM2_high,3,GSE77932|HCT116;GSE77932|DLD1;GSE119603|HCT116,0.5082565252921202,-0.016513050584240383,330,0.4807608873457961,0.03847822530840786,75,0.48054039644816293,0.03891920710367417,74
teriflunomide,primary,UPR_low_ERAD_high,4,GSE42387|HCT116;GSE42387|HT29;GSE42387|LoVo;GSE119603|HCT116,0.6029064685314686,-0.20581293706293705,65,0.48652916073968705,0.026941678520625886,75,0.4888559792669382,0.022288041466123655,74
bortezomib,mechanistic_positive_control,global,6,GSE77932|HCT116;GSE77932|DLD1;GSE42387|HCT116;GSE42387|HT29;GSE42387|LoVo;GSE119603|HCT116,0.6189903846153846,-0.23798076923076922,65,0.6453342816500711,-0.29066856330014224,75,0.6378526471677156,-0.2757052943354313,74
bortezomib,mechanistic_positive_control,salvage_low_DHODH_high,3,GSE77932|DLD1;GSE42387|HCT116;GSE119603|HCT116,0.6339029391660971,-0.2678058783321941,76,0.5988335704125177,-0.19766714082503553,75,0.5955423917067753,-0.19108478341355048,74
bortezomib,mechanistic_positive_control,salvage_low_RRM2_high,3,GSE77932|HCT116;GSE77932|DLD1;GSE119603|HCT116,0.5967204888533489,-0.19344097770669785,330,0.6055057290619079,-0.21101145812381594,75,0.6065020844315345,-0.2130041688630691,74
bortezomib,mechanistic_positive_control,UPR_low_ERAD_high,4,GSE42387|HCT116;GSE42387|HT29;GSE42387|LoVo;GSE119603|HCT116,0.611451048951049,-0.2229020979020979,65,0.6481365576102418,-0.29627311522048366,75,0.6407700851536468,-0.2815401703072935,74
