metric,k,estimable,pooled_hedges_g,se,ci_low,ci_high,p,tau2,i2_percent,right_higher_cohorts,right_lower_cohorts
pufa_incorporation_score,3,True,0.13606341630010574,0.06440700785800578,0.009825680898414402,0.2623011517017971,0.0346387808957842,0.0010064488531134905,7.55921263360662,2,1
antioxidant_buffering_score,3,True,0.2605173792434904,0.061489306479167574,0.13999833854432195,0.3810364199426588,2.267363665677624e-05,0.0,0.0,3,0
SLC7A11,3,True,0.4181783014395873,0.061882810645472575,0.296887992574461,0.5394686103047135,1.4031153642806585e-11,0.0,0.0,3,0
GCH1,3,True,0.4992597951116331,0.062152810617446035,0.3774402863014389,0.6210793039218273,9.528918327856744e-16,0.0,0.0,3,0
