ModelID,CellLineName,StrippedCellLineName,OncotreeCode,Sex,PrimaryOrMetastasis,SampleCollectionSite,side,side_confidence,curated_primary_site,side_evidence_source,curation_note,SLC7A11_gene_effect,ACSL4_expression,ACSL4_z,LPCAT3_expression,LPCAT3_z,ALOX5_expression_x,ALOX5_z_x,ALOX12_expression,ALOX12_z,ALOX15_expression,ALOX15_z,pressure_complete_genes,PUFA_pressure_score_raw,PUFA_pressure_score,PLA2G4A_expression,PLA2G4A_z,PTGS2_expression,PTGS2_z,ALOX5_expression_y,ALOX5_z_y,ALOX5AP_expression,ALOX5AP_z,aa_routing_complete_genes,AA_routing_score_raw,AA_routing_score,pressure_group_global_median
ACH-000007,LS513,LS513,COAD,Male,Primary,large_intestine,Right,high,Ileocecal valve,https://www.cellosaurus.org/CVCL_1386,Ileocecal valve classified as proximal/right-sided.,0.1881842446314548,3.344828496997441,-1.071156917190509,5.1013979521825314,-0.09600427932250209,3.978195629681652,1.3708211812792659,0.5753123306874368,1.4306773779365833,0.01435529297707,-0.6394527258375419,5,0.19897692737305925,0.19897692737305925,4.314696525656286,1.032030205137957,1.1763227726404628,-0.1866250950263014,3.978195629681652,1.3708211812792659,0.137503523749935,-0.602657404005742,4,0.40339222184629486,0.40339222184629486,High
ACH-000009,C2BBe1,C2BBE1,COAD,Male,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,-0.0349115510392515,4.255500733148386,0.0705316511738151,6.790381081252167,2.003626812454389,0.0,-1.0773249561099865,0.070389327891398,-0.7139222267320451,0.0840642647884745,-0.5037722197474572,5,-0.044172187792256956,-0.044172187792256956,0.5945485495503542,-0.917329977026233,5.428611418467134,1.9281587984815338,0.0,-1.0773249561099865,0.7136958148433591,0.591337767802685,4,0.1312104082869998,0.1312104082869998,Low
ACH-000202,COLO-320,COLO320,COAD,Female,Primary,large_intestine,Left,high,"Colon, sigmoid",https://www.cellosaurus.org/CVCL_1989,Sigmoid classified as distal/left-sided.,0.3177897978656301,4.350497247084133,0.18962656775248216,4.930737337562887,-0.3081581643613304,0.070389327891398,-1.0340079910253555,0.1634987322828795,-0.3184512524584421,0.01435529297707,-0.6394527258375419,5,-0.4220887131860375,-0.4220887131860375,3.831877241191673,0.779032557097754,0.0565835283663675,-0.7435032178328347,0.070389327891398,-1.0340079910253555,0.137503523749935,-0.602657404005742,4,-0.40028401394154456,-0.40028401394154456,Low
ACH-000249,CL-11,CL11,COAD,Male,Primary,Colon,Left,high,Left colon,https://www.dsmz.de/collection/catalogue/details/culture/ACC-467,DSMZ states primary colorectal cancer of the left colon.,0.0980988767808251,4.990501111363251,0.9919845035173639,5.189429245809757,0.013430349104412913,1.510961919277379,-0.14749245646562453,0.2265085298086797,-0.05082473095756516,0.070389327891398,-0.5303889135636435,5,0.055341750326988716,0.055341750326988716,5.767919585801803,1.7935201209815088,6.139142019145689,2.2815258427517224,1.510961919277379,-0.14749245646562453,0.3334237337251918,-0.19666831254075282,4,0.9327212986817135,0.9327212986817135,High
ACH-000252,LS1034,LS1034,COAD,Male,Primary,large_intestine,Right,high,Cecum,https://www.cellosaurus.org/CVCL_1382,Cecum classified as proximal/right-sided.,0.2924066653015434,3.137503523749935,-1.3310754065183021,6.509220776331963,1.6541070879387794,0.0840642647884745,-1.0255925567279982,0.4222330006830478,0.7804913717685025,0.0,-0.6673936546102374,5,-0.11789263162985117,-0.11789263162985117,2.3673710656485296,0.011630280770649443,3.896271848807375,1.1660828174726765,0.0840642647884745,-1.0255925567279982,0.5360529002402097,0.22322318935243923,4,0.09383593271694174,0.09383593271694174,Low
ACH-000253,COLO 201,COLO201,COAD,Male,Metastatic,ascites,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.3110761328231799,4.694880192799191,0.6213714443991261,4.607626220845488,-0.7098283380191935,0.2141248053528473,-0.9455544591458269,0.5058909297299573,1.1358183435402187,1.726831217032493,2.6936849464772896,5,0.5590983874503228,0.5590983874503228,0.0426443374084937,-1.2065281762452325,0.0565835283663675,-0.7435032178328347,0.2141248053528473,-0.9455544591458269,0.722466024471091,0.6095115408869933,4,-0.5715185780842251,-0.5715185780842251,High
ACH-000296,OUMS-23,OUMS23,COAD,Male,Metastatic,pericardial_effusion,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.410731546396588,3.747387399652718,-0.5664781985360869,4.730639955916791,-0.5569058733563367,0.4329594072761062,-0.810885595345277,0.4329594072761062,0.8260504911027434,2.127633279725874,3.4738001209675105,5,0.47311618896651064,0.47311618896651064,1.15704371014558,-0.6225821132941691,0.6040713236688608,-0.47122199051442426,0.4329594072761062,-0.810885595345277,0.4005379295837288,-0.057593168611231996,4,-0.4905707169412756,-0.4905707169412756,High
ACH-000350,COLO-678,COLO678,COAD,Male,Metastatic,lymph_node,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.2267736412512844,,,,,,,,,,,0,,,,,,,,,,,0,,,Unavailable
ACH-000381,T84,T84,COAD,Male,Metastatic,lung,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.0880135287217346,4.479618608469416,0.35150301064074535,6.851998837112446,2.0802258937495495,2.298658315564515,0.33724888597059494,0.3448284969974411,0.45172507060083894,0.0285691521967709,-0.611787081626925,5,0.5217831558669608,0.5217831558669608,0.01435529297707,-1.221351655623011,0.0,-0.7716438132612465,2.298658315564515,0.33724888597059494,0.4114262457264649,-0.035030220261333386,4,-0.42269420079374903,-0.42269420079374903,High
ACH-000403,NCI-H747,NCIH747,COAD,Male,Metastatic,large_intestine,Right,high,Cecum; sampled from common duct-node metastasis,https://www.atcc.org/products/ccl-252,Primary tumor is cecal; metastatic collection site does not change primary sidedness.,-0.0249022581408537,4.639232163249277,0.5516068060725365,4.6604951318885135,-0.6441052366431196,5.275752048828529,2.1693258379829534,0.4956951626240687,1.0925130514788572,0.0976107966264223,-0.47740545162884473,5,0.5383870014524765,0.5383870014524765,2.18269229751619,-0.08514152492110999,4.211012193485511,1.3226121283922623,5.275752048828529,2.1693258379829534,0.1763227726404628,-0.5222155160024111,4,0.7211452313629236,0.7211452313629236,High
