cohort,compartment,n_right,n_left,right_mean,left_mean,right_minus_left,welch_p,mannwhitney_p,welch_fdr_within_cohort,mannwhitney_fdr_within_cohort
GSE132465,B_cells,11,12,2.960200090166006,3.166833257352046,-0.20663316718603975,0.7209211303078833,0.2547541806032537,0.7732002312915427,0.4245903010054229
GSE132465,T_cells,11,12,4.92805740072927,4.973373039727659,-0.04531563899838886,0.7732002312915427,0.9754506745843579,0.7732002312915427,0.9754506745843579
GSE132465,myeloid,11,12,5.761812077762304,6.125745609148548,-0.36393353138624374,0.09272469579219071,0.09054915588749132,0.4636234789609536,0.4245903010054229
GSE132465,stromal,11,12,3.846572488698965,3.469102158234137,0.37747033046482814,0.391790802787243,0.4790843272053482,0.6529846713120716,0.5988554090066853
GSE132465,tumor_epithelial,11,12,4.105322571638209,3.916525207719399,0.18879736391880986,0.34747853120470057,0.18575772936738766,0.6529846713120716,0.4245903010054229
GSE200997,immune_like,8,8,3.433244946485081,4.4638919850671614,-1.0306470385820803,0.011053609545388865,0.014763014763014764,0.033160828636166595,0.04428904428904429
GSE200997,malignant_epithelial_like,8,8,3.8129509121645553,3.9763058280966246,-0.1633549159320693,0.8726386303662462,0.8335142129533152,0.9716832492411193,0.9362176694638813
GSE200997,stromal_like,7,7,1.0058854726682993,0.9729205046272119,0.032964968041087395,0.9716832492411192,0.9362176694638813,0.9716832492411193,0.9362176694638813
