contrast,gene,tumor_n,normal_n,tumor_median,normal_median,tumor_mean,normal_mean,median_delta_tumor_minus_normal,mann_whitney_U,p_value,BH_FDR_within_contrast
TCGA_primary_vs_TCGA_solid_normal,PPARA,380,51,3.052,3.454,3.014953947368421,3.3900980392156863,-0.40200000000000014,5914.0,6.181175208052154e-06,1.1126115374493877e-05
TCGA_primary_vs_TCGA_solid_normal,PPARD,380,51,4.08,4.851,4.0395449999999995,4.9007450980392155,-0.7709999999999999,3331.5,2.700962485345848e-14,1.2154331184056315e-13
TCGA_primary_vs_TCGA_solid_normal,PPARG,380,51,5.342499999999999,5.991,5.2733842105263165,5.879411764705883,-0.6485000000000003,5567.0,7.99369483382887e-07,1.7985813376114957e-06
TCGA_primary_vs_TCGA_solid_normal,NR1I2,380,51,4.4559999999999995,4.595,4.031607105263158,4.4381764705882345,-0.13900000000000023,8818.5,0.29705257409451336,0.29705257409451336
TCGA_primary_vs_TCGA_solid_normal,NR1I3,380,51,-1.938,-1.355,-2.2765144736842102,-1.4152156862745096,-0.583,6578.0,0.0001945940420435243,0.0002918910630652864
TCGA_primary_vs_TCGA_solid_normal,NR1H2,380,51,5.3045,5.743,5.234435789473684,5.743764705882353,-0.43850000000000033,3161.5,5.477372197042411e-15,4.9296349773381696e-14
TCGA_primary_vs_TCGA_solid_normal,NR1H3,380,51,4.6884999999999994,5.306,4.687228947368421,5.2030980392156865,-0.6175000000000006,5130.5,4.812383251583911e-08,1.4437149754751733e-07
TCGA_primary_vs_TCGA_solid_normal,RELA,380,51,5.6505,5.453,5.538473684210526,5.407862745098039,0.1974999999999998,12766.0,0.0002313719365585342,0.0002974782041466868
TCGA_primary_vs_TCGA_solid_normal,STAT3,380,51,5.619,5.82,5.599444736842105,5.8319607843137256,-0.2010000000000005,7405.0,0.006237262523273939,0.007016920338683182
TCGA_primary_vs_GTEx_colon_normal,PPARA,380,308,3.052,2.7575,3.014953947368421,2.56979512987013,0.2945000000000002,73052.0,2.0748604813369362e-08,2.3342180415040532e-08
TCGA_primary_vs_GTEx_colon_normal,PPARD,380,308,4.08,4.3115,4.0395449999999995,4.1793668831168835,-0.2314999999999996,41537.0,5.710352052723329e-11,8.565528079084993e-11
TCGA_primary_vs_GTEx_colon_normal,PPARG,380,308,5.342499999999999,3.2465,5.2733842105263165,3.4238649350649353,2.095999999999999,95110.5,3.076191443595458e-45,2.768572299235912e-44
TCGA_primary_vs_GTEx_colon_normal,NR1I2,380,308,4.4559999999999995,-0.5868,4.031607105263158,0.2848496753246753,5.0428,87302.5,1.213050160271382e-28,2.7293628606106097e-28
TCGA_primary_vs_GTEx_colon_normal,NR1I3,380,308,-1.938,-0.9132,-2.2765144736842102,-1.0405827922077922,-1.0248,25451.5,2.8322420639910896e-37,8.49672619197327e-37
TCGA_primary_vs_GTEx_colon_normal,NR1H2,380,308,5.3045,5.949,5.234435789473684,5.701837662337662,-0.6444999999999999,22889.0,5.477493125022574e-43,2.464871906260158e-42
TCGA_primary_vs_GTEx_colon_normal,NR1H3,380,308,4.6884999999999994,5.045999999999999,4.687228947368421,4.800694805194805,-0.35749999999999993,43454.5,6.193942964598973e-09,7.963640954484394e-09
TCGA_primary_vs_GTEx_colon_normal,RELA,380,308,5.6505,5.7705,5.538473684210526,5.546376623376624,-0.1200000000000001,47281.0,1.4553704222310851e-05,1.4553704222310851e-05
TCGA_primary_vs_GTEx_colon_normal,STAT3,380,308,5.619,5.998,5.599444736842105,5.906048701298702,-0.37900000000000045,38021.0,2.627167718540597e-15,4.728901893373075e-15
