definition,n_paired_donors,mean_delta_tumor_minus_normal,median_delta_tumor_minus_normal,p_value,direction,donor_consistency,gene,in_frozen_core,in_kegg_ppar,in_reactome_pparalpha,in_peroxisomal_lipid,PPAR_family,pathway_membership,module,median_delta,P,BH_FDR
AADAT,36,0.4720064130499027,0.5806068940807729,0.01971375711025402,up,0.6666666666666666,AADAT,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.5806068940807729,0.01971375711025402,0.034251276320050275
ABCA1,36,-0.6899030950854891,-0.2509104730248839,0.043942950813215954,down,0.6388888888888888,ABCA1,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,-0.2509104730248839,0.043942950813215954,0.0697258046066845
ABCA2,36,-0.050872555158011194,0.04713057507316565,0.7185920334210805,up,0.5555555555555556,ABCA2,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.04713057507316565,0.7185920334210805,0.7653497342258767
ABCD1,36,0.18924569534065705,0.28779102645091426,0.04225360193237963,up,0.6388888888888888,ABCD1,False,False,False,True,PPAR_related,Reactome peroxisomal lipid metabolism,peroxisome,0.28779102645091426,0.04225360193237963,0.06773644433489724
ACAA1,36,-0.7689259238035723,-0.6279817337680971,2.9103830456733704e-11,down,1.0,ACAA1,False,True,False,True,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome peroxisomal lipid metabolism;Hallmark fatty acid metabolism,peroxisome,-0.6279817337680971,2.9103830456733704e-11,1.5085485453406968e-09
ACAA2,36,-1.0769044757443558,-0.6700526718872584,6.656715413555503e-06,down,0.8055555555555556,ACAA2,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation;Hallmark fatty acid metabolism,other_ppar_pathway,-0.6700526718872584,6.656715413555503e-06,2.797619585967245e-05
ACADL,36,-0.014817057486095936,0.0,0.31731050786291415,flat,0.027777777777777776,ACADL,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome mitochondrial fatty-acid beta oxidation;Hallmark fatty acid metabolism,fatty_acid_oxidation,0.0,0.31731050786291415,0.39368489309481547
ACADM,36,-1.2265180753939158,-0.7721529632901611,5.061156116425991e-08,down,0.9166666666666666,ACADM,False,True,True,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation;Reactome mitochondrial fatty-acid beta oxidation;Hallmark fatty acid metabolism,fatty_acid_oxidation,-0.7721529632901611,5.061156116425991e-08,3.8390720785572767e-07
ACADS,36,-1.2043243705121018,-1.1135721531791614,2.9103830456733704e-11,down,1.0,ACADS,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation;Hallmark fatty acid metabolism,other_ppar_pathway,-1.1135721531791614,2.9103830456733704e-11,1.5085485453406968e-09
ACADVL,36,-0.32534499965672486,-0.36059776226646534,0.0002325303212273866,down,0.75,ACADVL,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation;Hallmark fatty acid metabolism,other_ppar_pathway,-0.36059776226646534,0.0002325303212273866,0.0006887326657306403
