cohort,patient,sample,side,n_malignant_epithelial_cells,selected_cells_total_UMI,GCH1_UMI,GCH1_CPM,GCH1_log2_CPM_plus1,GCH1_detection_fraction,PLA2G4A_UMI,PLA2G4A_CPM,PLA2G4A_log2_CPM_plus1,PLA2G4A_detection_fraction,PTGS2_UMI,PTGS2_CPM,PTGS2_log2_CPM_plus1,PTGS2_detection_fraction,PTGES_UMI,PTGES_CPM,PTGES_log2_CPM_plus1,PTGES_detection_fraction,GCH1_z,PLA2G4A_z,PTGS2_z,PTGES_z,AA_routing_proxy_core,AA_routing_proxy_core_high,compartment
GSE200997,Patient 10,T_cac10,Left,50,188804,0,0.0,0.0,0.0,2,10.592995911103579,3.535181536776626,0.02,0,0.0,0.0,0.0,2,10.592995911103579,3.535181536776626,0.04,-2.0150555275272266,1.3192740373560738,-0.5773998690929961,0.748987800862942,0.4969539897086732,True,malignant_epithelial_like
GSE200997,Patient 14,T_cac14,Left,945,2428269,105,43.24067885394905,5.467301618156901,0.09735449735449736,3,1.235447967255687,1.160563965806379,0.0031746031746031746,1,0.41181598908522904,0.49755206528490264,0.0010582010582010583,19,7.8245037926193515,3.141515157017924,0.01904761904761905,0.8136909661866799,-0.22804805742196443,-0.044271696198976765,0.5132433911032679,0.08030787916077557,True,malignant_epithelial_like
GSE200997,Patient 15,T_cac15,Left,52,126008,5,39.680020316170406,5.346248494585012,0.09615384615384616,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,31.74401625293632,5.033159382882415,0.057692307692307696,0.7510588630446307,-0.9842819405738105,-0.5773998690929961,1.64604155328075,0.028119914537981128,True,malignant_epithelial_like
GSE200997,Patient 16,T_cac16,Left,77,321353,3,9.335528219745887,3.369540217616295,0.03896103896103896,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,6.223685479830591,2.8527350790636725,0.025974025974025976,-0.27167721374337744,-0.9842819405738105,-0.5773998690929961,0.34030942333744957,-0.4071241287764524,False,malignant_epithelial_like
GSE200997,Patient 2,T_cac2,Left,1010,3289358,143,43.47352887706355,5.474874978808863,0.12673267326732673,6,1.8240641486879812,1.497772859835339,0.0049504950495049506,17,5.168181754615946,2.624845277026577,0.015841584158415842,3,0.9120320743439906,0.9351067247354469,0.0029702970297029703,0.8176093740021045,-0.008319719408578525,2.235127832644868,-0.8080491558397198,0.4729196524655232,True,malignant_epithelial_like
GSE200997,Patient 4,T_cac4,Left,47,94972,10,105.29419197237081,6.731918958406881,0.19148936170212766,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.46799579825261,-0.9842819405738105,-0.5773998690929961,-1.3680314002472374,-0.976571069971348,False,malignant_epithelial_like
GSE200997,Patient 6,T_cac6,Left,50,407838,1,2.451953962112407,1.7874132237651223,0.02,2,4.903907924224814,2.5616702216862346,0.04,0,0.0,0.0,0.0,19,46.58712528013574,5.572499399367711,0.2,-1.0902594868712603,0.684925338108341,-0.5773998690929961,1.9690216206261848,0.6921823632138432,True,malignant_epithelial_like
GSE200997,Patient 9,T_cac9,Left,176,1490238,17,11.407573823778485,3.6331491334339225,0.09090909090909091,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,4.026202526039465,2.3294688044111838,0.028409090909090908,-0.13528766577067605,-0.9842819405738105,-0.5773998690929961,0.026955005973420803,-0.5115756012311287,False,malignant_epithelial_like
GSE200997,Patient 1,T_cac1,Right,1239,5815251,136,23.38678072537196,4.6080274168557755,0.10008071025020178,51,8.770042772014484,3.2883648781443373,0.03954802259887006,18,3.095309213652171,2.033972385727299,0.010492332526230832,11,1.8915778527874378,1.5318569457383204,0.008071025020177562,0.36910805237831645,1.1584460901826745,1.6020061818069553,-0.4506893815290261,0.7699209634868679,True,malignant_epithelial_like
GSE200997,Patient 11,T_cac11,Right,787,3549369,126,35.49926761630025,5.189795610470911,0.12833545108005082,17,4.789583726008764,2.533459621442069,0.020330368487928845,5,1.4087010958849304,1.2682553756271655,0.0063532401524777635,11,3.0991424109468473,2.0353221124410523,0.01397712833545108,0.6701111527702548,0.6665430581158145,0.7815386588457107,-0.14919272176437445,0.4329629983990502,True,malignant_epithelial_like
