dataset_id,compartment,score,paired_donors,mean_delta_tumor_minus_normal,median_delta_tumor_minus_normal,wilcoxon_statistic,p_value
16023185-de21-4c0d-a9c8-73abdd52d142,endothelial,PPAR_nuclear_receptor_score,33,0.16256763270149688,-0.018782338123796816,251.0,0.6088165012188256
16023185-de21-4c0d-a9c8-73abdd52d142,endothelial,RELA_STAT3_score,33,0.2096265666280864,0.060532902852629744,102.0,0.0009519711602479219
16023185-de21-4c0d-a9c8-73abdd52d142,endothelial,DINP_axis_9_gene_score,33,0.17302517357407235,-0.0002698847156428208,228.0,0.35754538839682937
16023185-de21-4c0d-a9c8-73abdd52d142,epithelial,PPAR_nuclear_receptor_score,36,-0.548313739816447,-0.41860076139389474,44.0,4.2922329157590866e-07
16023185-de21-4c0d-a9c8-73abdd52d142,epithelial,RELA_STAT3_score,36,1.1961125605953793,1.1669473793631873,34.0,1.0841176845133305e-07
16023185-de21-4c0d-a9c8-73abdd52d142,epithelial,DINP_axis_9_gene_score,36,-0.16066345083604108,0.011043103255909494,302.0,0.6357367984892335
16023185-de21-4c0d-a9c8-73abdd52d142,fibroblast,PPAR_nuclear_receptor_score,31,0.029898896871985364,0.17197139216823867,213.0,0.5042768456041813
16023185-de21-4c0d-a9c8-73abdd52d142,fibroblast,RELA_STAT3_score,31,0.0654407224814099,0.05149470628355052,199.0,0.34684528410434723
16023185-de21-4c0d-a9c8-73abdd52d142,fibroblast,DINP_axis_9_gene_score,31,0.0377970803407464,0.18358367705606682,207.0,0.43272085953503847
16023185-de21-4c0d-a9c8-73abdd52d142,myeloid,PPAR_nuclear_receptor_score,35,0.8043496503824676,0.6095380520923424,15.0,7.974449545145035e-09
16023185-de21-4c0d-a9c8-73abdd52d142,myeloid,RELA_STAT3_score,35,0.49473495339987567,-0.029082159546146097,293.0,0.7279604331706651
16023185-de21-4c0d-a9c8-73abdd52d142,myeloid,DINP_axis_9_gene_score,35,0.7355463843863361,0.4714064179346593,2.0,1.7462298274040222e-10
