pathway,n_primary_contrasts,n_up,n_down,sign_concordance,median_delta,mean_delta,median_abs_delta,gene_set_source
pyrimidine_metabolism,6,0,6,1.0,-0.12845138764217326,-0.14743599269433896,0.12845138764217326,MSigDB Reactome
carnitine_entry,6,1,5,0.8333333333333334,-0.10450292260802951,-0.0018730710294067217,0.16872419240814496,curated mechanistic set
UPR_ER_stress,6,1,5,0.8333333333333334,-0.057467791066815155,-0.13031017893257416,0.11068309358722571,MSigDB Hallmark
EMT,6,5,1,0.8333333333333334,0.06611990194083137,0.14667622505932196,0.08702289994824969,MSigDB Hallmark
apoptosis,6,5,1,0.8333333333333334,0.0653995057570461,0.0930173234094543,0.07354916796776408,MSigDB Hallmark
NRF2_response,6,4,2,0.6666666666666666,0.26612089560587715,0.15484995240459132,0.3035574609561499,curated mechanistic set
ferroptosis_resistance,6,4,2,0.6666666666666666,0.1895796306479281,0.042614077803657356,0.26839543006105504,curated mechanistic set
OXPHOS,6,4,2,0.6666666666666666,0.12407720295126969,-0.05032035898340135,0.22175135601514645,MSigDB Hallmark
TNF_NFkB,6,4,2,0.6666666666666666,0.03402046974339267,0.02261185469218437,0.18676638557284275,MSigDB Hallmark
ABC_transport,6,4,2,0.6666666666666666,0.08058644975934916,0.04894437607367633,0.13864665194415016,MSigDB Reactome
glycolysis,6,4,2,0.6666666666666666,0.09555505415295423,0.0532476029093237,0.12837987286787622,MSigDB Hallmark
lipid_FA_metabolism,6,4,2,0.6666666666666666,0.05827374581571312,0.05643976977542853,0.08158858128890961,MSigDB Reactome
drug_metabolism,6,4,2,0.6666666666666666,0.015743975958395308,0.021588476216856823,0.0620165155287946,MSigDB Hallmark
ROS,6,3,3,0.5,0.04872727827299888,0.09289751571328837,0.21854866336862516,MSigDB Hallmark
FAO_mitochondrial,6,3,3,0.5,-0.06759712929615709,-0.047813864851528894,0.19106236557220702,MSigDB Reactome
cholesterol_homeostasis,6,3,3,0.5,-0.019140974924133372,0.008500891575967942,0.14972488386856925,MSigDB Hallmark
purine_metabolism,6,3,3,0.5,-0.0043819726275796285,-0.133602346158234,0.1481055598043729,MSigDB Reactome
IL6_JAK_STAT3,6,3,3,0.5,-0.0050582512850693775,0.060125558955921886,0.1391228538332174,MSigDB Hallmark
GSH_redox,6,3,3,0.5,0.038821742998128086,0.11549524490364678,0.11448791738869407,MSigDB Reactome
DNA_repair,6,3,3,0.5,0.03298148538102626,-0.09094507652439936,0.10964515695241973,MSigDB Hallmark
autophagy,6,3,3,0.5,0.017385582984544238,0.017169869826010816,0.10070371478205498,MSigDB Reactome
TGF_beta,6,3,3,0.5,0.01670062852726284,0.07359272621046156,0.06604218866211509,MSigDB Hallmark
