drug,target_subtype,target_n_models,matched_negative_n_models,target_rrs,matched_negative_rrs,selectivity_difference,selectivity_ratio,target_models,matched_negative_models
leflunomide,salvage_low_DHODH_high,3,3,0.5913738892686261,0.5493447216407368,0.04202916762788933,1.0751400093749064,GSE77932|DLD1;GSE42387|HCT116;GSE119603|HCT116,GSE77932|HCT116;GSE42387|HT29;GSE42387|LoVo
leflunomide,salvage_low_RRM2_high,3,3,0.44814218580704757,0.5639438224680909,-0.11580163666104337,0.7982352416250956,GSE77932|HCT116;GSE77932|DLD1;GSE119603|HCT116,GSE42387|HCT116;GSE42387|HT29;GSE42387|LoVo
leflunomide,UPR_low_ERAD_high,4,2,0.6169580419580419,0.5079045923861008,0.10905344957194119,1.2105666780622815,GSE42387|HCT116;GSE42387|HT29;GSE42387|LoVo;GSE119603|HCT116,GSE77932|HCT116;GSE77932|DLD1
teriflunomide,salvage_low_DHODH_high,3,3,0.547928913192071,0.5042654868081813,0.04366342638388976,1.084904446251856,GSE77932|DLD1;GSE42387|HCT116;GSE119603|HCT116,GSE77932|HCT116;GSE42387|HT29;GSE42387|LoVo
teriflunomide,salvage_low_RRM2_high,3,3,0.5082565252921202,0.4840135574071459,0.024242967884974265,1.0490734869954068,GSE77932|HCT116;GSE77932|DLD1;GSE119603|HCT116,GSE42387|HCT116;GSE42387|HT29;GSE42387|LoVo
teriflunomide,UPR_low_ERAD_high,4,2,0.6029064685314686,0.5057816850782768,0.09712478345319175,1.1883059950809454,GSE42387|HCT116;GSE42387|HT29;GSE42387|LoVo;GSE119603|HCT116,GSE77932|HCT116;GSE77932|DLD1
bortezomib,salvage_low_DHODH_high,3,3,0.6339029391660971,0.43755250852025046,0.19635043064584662,1.438720433709651,GSE77932|DLD1;GSE42387|HCT116;GSE119603|HCT116,GSE77932|HCT116;GSE42387|HT29;GSE42387|LoVo
bortezomib,salvage_low_RRM2_high,3,3,0.5967204888533489,0.5020577163755363,0.09466277247781263,1.1848673878949774,GSE77932|HCT116;GSE77932|DLD1;GSE119603|HCT116,GSE42387|HCT116;GSE42387|HT29;GSE42387|LoVo
bortezomib,UPR_low_ERAD_high,4,2,0.611451048951049,0.5307291813818282,0.08072186756922073,1.1492833572675638,GSE42387|HCT116;GSE42387|HT29;GSE42387|LoVo;GSE119603|HCT116,GSE77932|HCT116;GSE77932|DLD1
