cohort,modality,gene,n_right,n_left,right_mean,left_mean,right_minus_left,hedges_g,se_g,welch_p,welch_fdr,direction
GSE200997,single_cell_patient_pseudobulk,AL627309.1,8,8,0.17390102710646166,0.11006347042611672,0.06383755668034494,0.29806961773389623,0.5031630485884852,0.5385165828073301,0.8706711160253647,right_high
GSE200997,single_cell_patient_pseudobulk,AL669831.5,8,8,1.988628935263932,2.1576444632177116,-0.16901552795377972,-0.10835530542838098,0.5004191411854695,0.8220645984563181,0.959170610201089,left_high
GSE200997,single_cell_patient_pseudobulk,FAM87B,8,8,0.07459405469118241,0.08566082388619253,-0.011066769195010123,-0.04605769028196817,0.5000757553623433,0.9237920552872896,0.9824784765224813,left_high
GSE200997,single_cell_patient_pseudobulk,LINC00115,8,8,1.5811218801936628,1.9253996197332937,-0.3442777395396308,-0.24608425534638967,0.5021581090200784,0.6108443128935429,0.894744168443174,left_high
GSE200997,single_cell_patient_pseudobulk,FAM41C,8,8,0.4231763928001185,1.4760352271971495,-1.052858834397031,-0.8562000243552731,0.5255296131966702,0.10452429450261859,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,AL645608.3,8,8,0.21153083423188046,0.0,0.21153083423188046,0.786142652470749,0.5216053608823487,0.14026426902828673,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,AL645608.1,8,8,0.15666582556538153,0.0,0.15666582556538153,0.6471955716673743,0.5147420334492754,0.21328675471698966,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,SAMD11,8,8,0.11935704078182086,0.0478694622655039,0.07148757851631696,0.358107044259412,0.5045592367583319,0.4641933147533499,0.8506109087565592,right_high
GSE200997,single_cell_patient_pseudobulk,NOC2L,8,8,4.946281448108577,5.375508623465206,-0.4292271753566288,-0.2814677121494331,0.502821470482269,0.5691125423451814,0.8810871298322779,left_high
GSE200997,single_cell_patient_pseudobulk,KLHL17,8,8,1.2001433513354542,1.2938383950868917,-0.09369504375143745,-0.07985129012752697,0.5002276706137713,0.8684693145758582,0.9702883183627149,left_high
GSE200997,single_cell_patient_pseudobulk,PLEKHN1,8,8,1.453727193083228,1.013887144531913,0.439840048551315,0.3092066352355844,0.5034030174463212,0.5244697185198868,0.8659606788326912,right_high
GSE200997,single_cell_patient_pseudobulk,AL645608.8,8,8,0.8009152188327153,0.7588806216242963,0.04203459720841907,0.04822076351023378,0.5000830374631193,0.920256745837124,0.9824784765224813,right_high
GSE200997,single_cell_patient_pseudobulk,HES4,8,8,3.6414092729188736,3.8681925195383537,-0.22678324661948013,-0.11931979569627175,0.5005082136347943,0.8043993788269489,0.9543450997685492,left_high
GSE200997,single_cell_patient_pseudobulk,ISG15,8,8,5.12705252356808,5.12112654413462,0.005925979433460071,0.0027985892558709882,0.500000279717844,0.9953754043648028,0.9988616724293091,right_high
GSE200997,single_cell_patient_pseudobulk,AL645608.2,8,8,0.0,0.0478694622655039,-0.0478694622655039,-0.4727272727272727,0.5079184086044644,0.3506166628202074,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,AGRN,8,8,4.224960066687007,4.4569489964574585,-0.23198892977045116,-0.13674520756658531,0.5006673850183954,0.7769235892938584,0.9465930593595437,left_high
GSE200997,single_cell_patient_pseudobulk,AL645608.9,8,8,0.0,0.0,0.0,,,,,tie
GSE200997,single_cell_patient_pseudobulk,RNF223,8,8,2.5289800037757795,2.9647935246104122,-0.43581352083463276,-0.2378759032773946,0.5020168233293737,0.622771673282403,0.899541091193247,left_high
GSE200997,single_cell_patient_pseudobulk,C1ORF159,8,8,2.4688866234690523,2.126099165571544,0.3427874578975083,0.21412553131649714,0.5016348181966629,0.6576044846423396,0.9092689944904049,right_high
GSE200997,single_cell_patient_pseudobulk,LINC01342,8,8,0.30110714835437297,0.9193057806821407,-0.6181986323277677,-0.5873173180337883,0.5121712057527529,0.24975804226759454,0.8227348473488143,left_high
GSE200997,single_cell_patient_pseudobulk,AL390719.2,8,8,3.465826535049801,3.3136752049886877,0.15215133006111348,0.071557238713402,0.5001828393702036,0.8823402756123264,0.9744629538595179,right_high
GSE200997,single_cell_patient_pseudobulk,TTLL10,8,8,0.49899849441146116,0.14785483204680536,0.3511436623646558,0.6500849128529993,0.5148720504690979,0.20106036001151237,0.8227348473488143,right_high
GSE200997,single_cell_patient_pseudobulk,TNFRSF18,8,8,0.5028413063652795,0.8995198412197603,-0.3966785348544808,-0.35031248869983866,0.5043637731885261,0.4718038650864098,0.8540039935656883,left_high
GSE200997,single_cell_patient_pseudobulk,TNFRSF4,8,8,0.5753880266439367,0.5668323458312037,0.008555680812733057,0.0096581181744201,0.5000033313905686,0.9840755798268733,0.9976868828042528,right_high
GSE200997,single_cell_patient_pseudobulk,SDF4,8,8,5.821709679646223,6.65893363866573,-0.8372239590195072,-0.4615696123987196,0.5075517745261456,0.3586672444923374,0.825316097399781,left_high
